,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년09월_계_총인구수,"350,337","34,604","35,287","40,313","22,038","24,693","37,631","26,182","27,186","27,657","28,899","45,847"
2021년09월_계_연령구간인구수,"350,337","34,604","35,287","40,313","22,038","24,693","37,631","26,182","27,186","27,657","28,899","45,847"
2021년09월_계_0~9세,"33,448","3,156","1,516","3,407","2,154","2,301","4,809","2,900","2,556","2,375","3,058","5,216"
2021년09월_계_10~19세,"37,602","3,297","1,456","3,172","2,998","3,402","4,573","2,874","3,141","3,020","4,446","5,223"
2021년09월_계_20~29세,"52,643","4,300","8,427","8,693","2,843","3,103","3,777","4,165","4,346","4,219","3,761","5,009"
2021년09월_계_30~39세,"54,834","4,277","6,958","6,296","3,127","3,079","5,956","5,252","4,455","3,992","3,977","7,465"
2021년09월_계_40~49세,"59,913","5,786","4,385","5,616","4,267","4,635","7,435","4,228","4,242","4,681","5,845","8,793"
2021년09월_계_50~59세,"54,338","6,203","5,456","5,808","3,319","4,078","5,379","3,531","4,478","4,737","4,596","6,753"
2021년09월_계_60~69세,"36,000","4,604","4,307","4,683","1,937","2,310","3,625","2,096","2,631","2,659","2,219","4,929"
2021년09월_계_70~79세,"13,744","1,898","1,792","1,731",892,"1,108","1,416",673,750,"1,192",645,"1,647"
2021년09월_계_80~89세,"6,678",949,841,774,431,582,560,403,475,681,299,683
2021년09월_계_90~99세,"1,107",131,140,133,68,94,97,60,110,97,53,124
2021년09월_계_100세 이상,30,3,9,0,2,1,4,0,2,4,0,5
2021년09월_남_총인구수,"176,991","17,607","18,305","21,007","10,947","12,128","18,484","13,717","13,920","14,154","14,792","21,930"
2021년09월_남_연령구간인구수,"176,991","17,607","18,305","21,007","10,947","12,128","18,484","13,717","13,920","14,154","14,792","21,930"
2021년09월_남_0~9세,"17,185","1,596",805,"1,717","1,125","1,204","2,438","1,513","1,342","1,202","1,563","2,680"
2021년09월_남_10~19세,"19,462","1,754",753,"1,638","1,536","1,742","2,337","1,483","1,599","1,562","2,358","2,700"
2021년09월_남_20~29세,"28,282","2,342","4,272","5,067","1,491","1,594","1,993","2,297","2,394","2,349","1,989","2,494"
2021년09월_남_30~39세,"28,720","2,222","4,018","3,451","1,568","1,522","2,829","2,908","2,473","2,163","2,051","3,515"
2021년09월_남_40~49세,"29,479","2,995","2,369","2,831","2,023","2,181","3,614","2,137","2,017","2,362","2,789","4,161"
2021년09월_남_50~59세,"27,081","3,104","2,708","2,823","1,685","2,042","2,621","1,820","2,188","2,477","2,491","3,122"
2021년09월_남_60~69세,"17,851","2,321","2,229","2,318",934,"1,116","1,735","1,090","1,380","1,331","1,136","2,261"
2021년09월_남_70~79세,"6,426",921,819,848,411,491,689,332,361,482,323,749
2021년09월_남_80~89세,"2,257",324,294,278,160,218,209,125,131,207,81,230
2021년09월_남_90~99세,244,27,37,36,13,18,19,12,35,19,11,17
2021년09월_남_100세 이상,4,1,1,0,1,0,0,0,0,0,0,1
2021년09월_여_총인구수,"173,346","16,997","16,982","19,306","11,091","12,565","19,147","12,465","13,266","13,503","14,107","23,917"
2021년09월_여_연령구간인구수,"173,346","16,997","16,982","19,306","11,091","12,565","19,147","12,465","13,266","13,503","14,107","23,917"
2021년09월_여_0~9세,"16,263","1,560",711,"1,690","1,029","1,097","2,371","1,387","1,214","1,173","1,495","2,536"
2021년09월_여_10~19세,"18,140","1,543",703,"1,534","1,462","1,660","2,236","1,391","1,542","1,458","2,088","2,523"
2021년09월_여_20~29세,"24,361","1,958","4,155","3,626","1,352","1,509","1,784","1,868","1,952","1,870","1,772","2,515"
2021년09월_여_30~39세,"26,114","2,055","2,940","2,845","1,559","1,557","3,127","2,344","1,982","1,829","1,926","3,950"
2021년09월_여_40~49세,"30,434","2,791","2,016","2,785","2,244","2,454","3,821","2,091","2,225","2,319","3,056","4,632"
2021년09월_여_50~59세,"27,257","3,099","2,748","2,985","1,634","2,036","2,758","1,711","2,290","2,260","2,105","3,631"
2021년09월_여_60~69세,"18,149","2,283","2,078","2,365","1,003","1,194","1,890","1,006","1,251","1,328","1,083","2,668"
2021년09월_여_70~79세,"7,318",977,973,883,481,617,727,341,389,710,322,898
2021년09월_여_80~89세,"4,421",625,547,496,271,364,351,278,344,474,218,453
2021년09월_여_90~99세,863,104,103,97,55,76,78,48,75,78,42,107
2021년09월_여_100세 이상,26,2,8,0,1,1,4,0,2,4,0,4
