,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년06월_계_총인구수,"147,597","45,082","8,640","4,583","7,602","12,354","2,148","4,769","9,399","6,236","8,182","2,753","2,736","18,658","14,455"
2021년06월_계_연령구간인구수,"147,597","45,082","8,640","4,583","7,602","12,354","2,148","4,769","9,399","6,236","8,182","2,753","2,736","18,658","14,455"
2021년06월_계_0~9세,"8,289","2,904",588,102,204,600,42,172,455,517,604,54,188,"1,181",678
2021년06월_계_10~19세,"11,898","4,896",552,184,383,913,67,228,686,355,433,142,149,"1,787","1,123"
2021년06월_계_20~29세,"17,938","5,975",940,442,776,"1,452",188,407,953,846,970,229,304,"2,480","1,976"
2021년06월_계_30~39세,"14,584","4,485","1,112",339,618,"1,181",124,276,854,886,965,121,338,"1,925","1,360"
2021년06월_계_40~49세,"19,982","7,207","1,113",509,823,"1,593",189,492,"1,181",617,840,240,272,"2,708","2,198"
2021년06월_계_50~59세,"28,989","9,155","1,590","1,118","1,837","2,461",372,968,"1,554",865,"1,220",525,446,"3,600","3,278"
2021년06월_계_60~69세,"25,891","6,342","1,568","1,082","1,737","2,427",597,"1,149","1,910","1,083","1,529",678,550,"2,885","2,354"
2021년06월_계_70~79세,"12,332","2,594",712,493,705,"1,058",342,663,"1,076",676,961,474,286,"1,359",933
2021년06월_계_80~89세,"6,694","1,330",398,278,445,567,204,361,616,354,567,263,177,642,492
2021년06월_계_90~99세,962,186,67,35,72,96,22,51,110,36,91,26,25,87,58
2021년06월_계_100세 이상,38,8,0,1,2,6,1,2,4,1,2,1,1,4,5
2021년06월_남_총인구수,"78,200","22,975","4,646","2,634","4,464","6,810","1,200","2,586","4,908","3,395","4,420","1,441","1,452","9,443","7,826"
2021년06월_남_연령구간인구수,"78,200","22,975","4,646","2,634","4,464","6,810","1,200","2,586","4,908","3,395","4,420","1,441","1,452","9,443","7,826"
2021년06월_남_0~9세,"4,255","1,480",295,61,101,320,28,90,234,255,318,24,90,588,371
2021년06월_남_10~19세,"6,220","2,546",281,100,199,501,40,116,370,168,218,67,69,956,589
2021년06월_남_20~29세,"10,403","3,209",551,272,460,878,129,241,597,585,673,145,177,"1,353","1,133"
2021년06월_남_30~39세,"8,169","2,302",623,210,390,695,84,163,505,537,585,85,189,"1,042",759
2021년06월_남_40~49세,"10,764","3,595",619,318,541,866,111,314,674,361,488,147,162,"1,348","1,220"
2021년06월_남_50~59세,"15,935","4,818",881,658,"1,157","1,454",222,566,826,462,681,279,243,"1,843","1,845"
2021년06월_남_60~69세,"14,029","3,326",880,653,"1,056","1,354",331,643,966,573,797,359,315,"1,483","1,293"
2021년06월_남_70~79세,"5,750","1,194",360,237,364,500,162,303,499,320,417,226,143,587,438
2021년06월_남_80~89세,"2,424",466,143,117,181,213,85,129,206,124,218,102,57,221,162
2021년06월_남_90~99세,237,36,13,7,14,28,8,20,30,9,23,6,7,21,15
2021년06월_남_100세 이상,14,3,0,1,1,1,0,1,1,1,2,1,0,1,1
2021년06월_여_총인구수,"69,397","22,107","3,994","1,949","3,138","5,544",948,"2,183","4,491","2,841","3,762","1,312","1,284","9,215","6,629"
2021년06월_여_연령구간인구수,"69,397","22,107","3,994","1,949","3,138","5,544",948,"2,183","4,491","2,841","3,762","1,312","1,284","9,215","6,629"
2021년06월_여_0~9세,"4,034","1,424",293,41,103,280,14,82,221,262,286,30,98,593,307
2021년06월_여_10~19세,"5,678","2,350",271,84,184,412,27,112,316,187,215,75,80,831,534
2021년06월_여_20~29세,"7,535","2,766",389,170,316,574,59,166,356,261,297,84,127,"1,127",843
2021년06월_여_30~39세,"6,415","2,183",489,129,228,486,40,113,349,349,380,36,149,883,601
2021년06월_여_40~49세,"9,218","3,612",494,191,282,727,78,178,507,256,352,93,110,"1,360",978
2021년06월_여_50~59세,"13,054","4,337",709,460,680,"1,007",150,402,728,403,539,246,203,"1,757","1,433"
2021년06월_여_60~69세,"11,862","3,016",688,429,681,"1,073",266,506,944,510,732,319,235,"1,402","1,061"
2021년06월_여_70~79세,"6,582","1,400",352,256,341,558,180,360,577,356,544,248,143,772,495
2021년06월_여_80~89세,"4,270",864,255,161,264,354,119,232,410,230,349,161,120,421,330
2021년06월_여_90~99세,725,150,54,28,58,68,14,31,80,27,68,20,18,66,43
2021년06월_여_100세 이상,24,5,0,0,1,5,1,1,3,0,0,0,1,3,4
