,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년12월_계_총인구수,"163,795","14,601","29,623","37,780","21,252","23,465","37,074"
2020년12월_계_연령구간인구수,"163,795","14,601","29,623","37,780","21,252","23,465","37,074"
2020년12월_계_0~9세,"13,162",898,"2,230","2,803","1,548","2,378","3,305"
2020년12월_계_10~19세,"14,596",985,"2,429","3,891","2,065","2,108","3,118"
2020년12월_계_20~29세,"23,532","2,534","4,175","4,984","3,341","3,298","5,200"
2020년12월_계_30~39세,"22,922","2,622","4,193","4,725","2,416","3,577","5,389"
2020년12월_계_40~49세,"24,616","1,787","4,434","5,964","3,195","3,590","5,646"
2020년12월_계_50~59세,"29,455","2,066","5,178","6,863","4,258","4,187","6,903"
2020년12월_계_60~69세,"21,419","2,166","3,786","5,373","2,686","2,695","4,713"
2020년12월_계_70~79세,"9,097","1,029","2,015","2,157","1,063","1,014","1,819"
2020년12월_계_80~89세,"4,226",425,"1,031",864,570,521,815
2020년12월_계_90~99세,722,86,139,150,98,92,157
2020년12월_계_100세 이상,48,3,13,6,12,5,9
2020년12월_남_총인구수,"81,470","7,420","15,070","18,753","10,414","11,533","18,280"
2020년12월_남_연령구간인구수,"81,470","7,420","15,070","18,753","10,414","11,533","18,280"
2020년12월_남_0~9세,"6,817",483,"1,157","1,400",812,"1,217","1,748"
2020년12월_남_10~19세,"7,524",514,"1,251","2,020","1,104","1,107","1,528"
2020년12월_남_20~29세,"12,363","1,318","2,270","2,617","1,698","1,705","2,755"
2020년12월_남_30~39세,"11,785","1,452","2,281","2,398","1,191","1,724","2,739"
2020년12월_남_40~49세,"12,152",923,"2,312","2,898","1,514","1,774","2,731"
2020년12월_남_50~59세,"14,174",978,"2,587","3,316","2,021","1,999","3,273"
2020년12월_남_60~69세,"10,746","1,075","1,901","2,700","1,377","1,366","2,327"
2020년12월_남_70~79세,"4,269",511,893,"1,057",482,444,882
2020년12월_남_80~89세,"1,466",149,375,315,194,174,259
2020년12월_남_90~99세,161,15,39,30,20,22,35
2020년12월_남_100세 이상,13,2,4,2,1,1,3
2020년12월_여_총인구수,"82,325","7,181","14,553","19,027","10,838","11,932","18,794"
2020년12월_여_연령구간인구수,"82,325","7,181","14,553","19,027","10,838","11,932","18,794"
2020년12월_여_0~9세,"6,345",415,"1,073","1,403",736,"1,161","1,557"
2020년12월_여_10~19세,"7,072",471,"1,178","1,871",961,"1,001","1,590"
2020년12월_여_20~29세,"11,169","1,216","1,905","2,367","1,643","1,593","2,445"
2020년12월_여_30~39세,"11,137","1,170","1,912","2,327","1,225","1,853","2,650"
2020년12월_여_40~49세,"12,464",864,"2,122","3,066","1,681","1,816","2,915"
2020년12월_여_50~59세,"15,281","1,088","2,591","3,547","2,237","2,188","3,630"
2020년12월_여_60~69세,"10,673","1,091","1,885","2,673","1,309","1,329","2,386"
2020년12월_여_70~79세,"4,828",518,"1,122","1,100",581,570,937
2020년12월_여_80~89세,"2,760",276,656,549,376,347,556
2020년12월_여_90~99세,561,71,100,120,78,70,122
2020년12월_여_100세 이상,35,1,9,4,11,4,6
