,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년09월_계_총인구수,"111,210","10,823","3,979","8,386","8,437","6,803","7,772","6,197","17,737","27,627","3,414","10,035"
2021년09월_계_연령구간인구수,"111,210","10,823","3,979","8,386","8,437","6,803","7,772","6,197","17,737","27,627","3,414","10,035"
2021년09월_계_0~9세,"4,963",380,155,347,213,315,494,320,925,"1,372",165,277
2021년09월_계_10~19세,"7,112",502,224,525,439,382,509,412,"1,370","2,062",174,513
2021년09월_계_20~29세,"11,634","1,073",415,863,741,678,753,540,"1,831","3,335",558,847
2021년09월_계_30~39세,"10,327","1,027",341,801,586,657,841,565,"1,720","2,677",316,796
2021년09월_계_40~49세,"14,700","1,381",508,"1,027","1,001",909,"1,129",888,"2,507","3,755",438,"1,157"
2021년09월_계_50~59세,"18,704","1,856",668,"1,408","1,493","1,081","1,241",999,"3,037","4,754",450,"1,717"
2021년09월_계_60~69세,"22,393","2,298",867,"1,656","1,791","1,440","1,338","1,218","3,396","5,299",664,"2,426"
2021년09월_계_70~79세,"14,505","1,554",546,"1,190","1,403",863,"1,017",862,"2,048","2,990",470,"1,562"
2021년09월_계_80~89세,"6,121",657,232,507,700,404,416,341,813,"1,232",155,664
2021년09월_계_90~99세,697,93,22,60,67,53,33,51,87,143,22,66
2021년09월_계_100세 이상,54,2,1,2,3,21,1,1,3,8,2,10
2021년09월_남_총인구수,"54,786","5,400","1,902","4,069","4,237","3,358","3,778","3,037","8,809","13,498","1,810","4,888"
2021년09월_남_연령구간인구수,"54,786","5,400","1,902","4,069","4,237","3,358","3,778","3,037","8,809","13,498","1,810","4,888"
2021년09월_남_0~9세,"2,525",198,81,179,117,169,234,172,469,668,91,147
2021년09월_남_10~19세,"3,629",262,111,273,232,186,248,217,720,"1,040",86,254
2021년09월_남_20~29세,"6,397",558,213,483,414,360,399,280,"1,003","1,849",363,475
2021년09월_남_30~39세,"5,561",567,172,426,333,357,452,300,942,"1,418",172,422
2021년09월_남_40~49세,"7,678",758,270,507,586,497,589,469,"1,270","1,850",256,626
2021년09월_남_50~59세,"9,626","1,030",318,692,852,566,647,525,"1,535","2,306",245,910
2021년09월_남_60~69세,"10,728","1,116",387,782,874,691,619,573,"1,621","2,559",323,"1,183"
2021년09월_남_70~79세,"6,342",659,254,523,577,384,423,373,937,"1,356",212,644
2021년09월_남_80~89세,"2,152",238,93,189,243,132,159,116,295,420,54,213
2021년09월_남_90~99세,143,14,3,15,8,15,8,12,17,31,7,13
2021년09월_남_100세 이상,5,0,0,0,1,1,0,0,0,1,1,1
2021년09월_여_총인구수,"56,424","5,423","2,077","4,317","4,200","3,445","3,994","3,160","8,928","14,129","1,604","5,147"
2021년09월_여_연령구간인구수,"56,424","5,423","2,077","4,317","4,200","3,445","3,994","3,160","8,928","14,129","1,604","5,147"
2021년09월_여_0~9세,"2,438",182,74,168,96,146,260,148,456,704,74,130
2021년09월_여_10~19세,"3,483",240,113,252,207,196,261,195,650,"1,022",88,259
2021년09월_여_20~29세,"5,237",515,202,380,327,318,354,260,828,"1,486",195,372
2021년09월_여_30~39세,"4,766",460,169,375,253,300,389,265,778,"1,259",144,374
2021년09월_여_40~49세,"7,022",623,238,520,415,412,540,419,"1,237","1,905",182,531
2021년09월_여_50~59세,"9,078",826,350,716,641,515,594,474,"1,502","2,448",205,807
2021년09월_여_60~69세,"11,665","1,182",480,874,917,749,719,645,"1,775","2,740",341,"1,243"
2021년09월_여_70~79세,"8,163",895,292,667,826,479,594,489,"1,111","1,634",258,918
2021년09월_여_80~89세,"3,969",419,139,318,457,272,257,225,518,812,101,451
2021년09월_여_90~99세,554,79,19,45,59,38,25,39,70,112,15,53
2021년09월_여_100세 이상,49,2,1,2,2,20,1,1,3,7,1,9
