,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년06월_계_총인구수,"111,341","15,604","4,609","5,042","2,987","6,413","7,124","4,901","4,178","2,560","22,018","18,596","17,309"
2020년06월_계_연령구간인구수,"111,341","15,604","4,609","5,042","2,987","6,413","7,124","4,901","4,178","2,560","22,018","18,596","17,309"
2020년06월_계_0~9세,"7,624","1,083",176,181,100,301,229,150,144,117,"1,628","1,431","2,084"
2020년06월_계_10~19세,"9,699","1,308",276,283,140,441,436,383,261,143,"2,057","2,288","1,683"
2020년06월_계_20~29세,"12,089","1,648",455,421,239,548,617,401,350,213,"2,830","2,383","1,984"
2020년06월_계_30~39세,"11,750","1,874",296,354,194,517,465,307,315,190,"2,582","2,036","2,620"
2020년06월_계_40~49세,"16,079","2,258",410,518,284,708,733,608,494,273,"3,557","3,187","3,049"
2020년06월_계_50~59세,"20,132","2,827",873,"1,002",589,"1,204","1,368",987,857,453,"3,909","3,310","2,753"
2020년06월_계_60~69세,"17,797","2,444","1,016","1,133",730,"1,282","1,578",980,857,591,"3,128","2,265","1,793"
2020년06월_계_70~79세,"10,176","1,342",670,697,454,856,"1,004",640,550,367,"1,540","1,153",903
2020년06월_계_80~89세,"5,168",709,387,385,214,473,599,384,290,187,675,477,388
2020년06월_계_90~99세,780,101,49,67,42,82,91,56,58,24,102,62,46
2020년06월_계_100세 이상,47,10,1,1,1,1,4,5,2,2,10,4,6
2020년06월_남_총인구수,"56,582","8,083","2,390","2,637","1,545","3,294","3,704","2,537","2,149","1,277","11,016","9,308","8,642"
2020년06월_남_연령구간인구수,"56,582","8,083","2,390","2,637","1,545","3,294","3,704","2,537","2,149","1,277","11,016","9,308","8,642"
2020년06월_남_0~9세,"3,930",534,103,100,54,128,124,78,69,52,842,747,"1,099"
2020년06월_남_10~19세,"5,019",675,155,153,64,233,238,219,138,70,"1,053","1,188",833
2020년06월_남_20~29세,"6,634",925,260,242,151,307,380,226,205,114,"1,497","1,266","1,061"
2020년06월_남_30~39세,"6,138","1,041",164,207,108,279,265,164,168,104,"1,320","1,033","1,285"
2020년06월_남_40~49세,"8,346","1,215",231,293,158,419,389,334,271,150,"1,793","1,551","1,542"
2020년06월_남_50~59세,"10,575","1,508",471,538,318,662,739,564,481,227,"1,964","1,724","1,379"
2020년06월_남_60~69세,"9,051","1,249",516,593,378,668,845,511,421,298,"1,565","1,118",889
2020년06월_남_70~79세,"4,790",648,344,340,223,424,454,282,275,177,709,502,412
2020년06월_남_80~89세,"1,913",258,135,156,84,156,241,141,111,77,248,169,137
2020년06월_남_90~99세,169,25,10,15,7,17,27,17,9,7,21,10,4
2020년06월_남_100세 이상,17,5,1,0,0,1,2,1,1,1,4,0,1
2020년06월_여_총인구수,"54,759","7,521","2,219","2,405","1,442","3,119","3,420","2,364","2,029","1,283","11,002","9,288","8,667"
2020년06월_여_연령구간인구수,"54,759","7,521","2,219","2,405","1,442","3,119","3,420","2,364","2,029","1,283","11,002","9,288","8,667"
2020년06월_여_0~9세,"3,694",549,73,81,46,173,105,72,75,65,786,684,985
2020년06월_여_10~19세,"4,680",633,121,130,76,208,198,164,123,73,"1,004","1,100",850
2020년06월_여_20~29세,"5,455",723,195,179,88,241,237,175,145,99,"1,333","1,117",923
2020년06월_여_30~39세,"5,612",833,132,147,86,238,200,143,147,86,"1,262","1,003","1,335"
2020년06월_여_40~49세,"7,733","1,043",179,225,126,289,344,274,223,123,"1,764","1,636","1,507"
2020년06월_여_50~59세,"9,557","1,319",402,464,271,542,629,423,376,226,"1,945","1,586","1,374"
2020년06월_여_60~69세,"8,746","1,195",500,540,352,614,733,469,436,293,"1,563","1,147",904
2020년06월_여_70~79세,"5,386",694,326,357,231,432,550,358,275,190,831,651,491
2020년06월_여_80~89세,"3,255",451,252,229,130,317,358,243,179,110,427,308,251
2020년06월_여_90~99세,611,76,39,52,35,65,64,39,49,17,81,52,42
2020년06월_여_100세 이상,30,5,0,1,1,0,2,4,1,1,6,4,5
