카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년05월_계_총인구수,"221,629","20,266","28,313","28,599","70,056","19,247","22,108","8,340","7,692","4,175","3,116","7,933","1,784"
2021년05월_계_연령구간인구수,"221,629","20,266","28,313","28,599","70,056","19,247","22,108","8,340","7,692","4,175","3,116","7,933","1,784"
2021년05월_계_0~9세,"17,212","1,453","2,358","2,526","6,417","1,734","1,496",470,286,131,45,257,39
2021년05월_계_10~19세,"22,145","1,630","2,760","3,242","9,809","1,544","1,509",501,377,186,115,406,66
2021년05월_계_20~29세,"26,194","2,485","3,421","3,278","9,182","2,229","2,784",744,807,288,167,704,105
2021년05월_계_30~39세,"25,300","2,766","3,189","3,446","7,453","2,845","2,972",854,636,281,201,544,113
2021년05월_계_40~49세,"36,584","3,676","4,513","5,272","13,426","2,910","3,182","1,165",753,416,241,890,140
2021년05월_계_50~59세,"41,846","3,981","5,213","5,224","12,973","3,481","4,306","1,578","1,634",877,533,"1,685",361
2021년05월_계_60~69세,"30,805","2,609","4,049","3,357","6,917","2,744","3,475","1,664","1,712","1,088",853,"1,859",478
2021년05월_계_70~79세,"13,919","1,125","1,793","1,455","2,622","1,160","1,592",900,921,543,543,983,282
2021년05월_계_80~89세,"6,593",471,876,697,"1,112",511,665,411,487,309,360,519,175
2021년05월_계_90~99세,"1,008",65,133,101,144,88,126,53,78,54,58,84,24
2021년05월_계_100세 이상,23,5,8,1,1,1,1,0,1,2,0,2,1
2021년05월_남_총인구수,"114,508","11,631","14,159","14,890","35,282","9,952","11,383","4,509","3,994","2,169","1,559","4,041",939
2021년05월_남_연령구간인구수,"114,508","11,631","14,159","14,890","35,282","9,952","11,383","4,509","3,994","2,169","1,559","4,041",939
2021년05월_남_0~9세,"8,856",767,"1,169","1,303","3,296",881,796,252,145,65,23,140,19
2021년05월_남_10~19세,"11,517",865,"1,404","1,656","5,141",773,782,269,215,99,57,222,34
2021년05월_남_20~29세,"14,936","1,558","1,921","1,817","5,115","1,222","1,611",459,488,168,96,419,62
2021년05월_남_30~39세,"13,502","1,746","1,651","1,826","3,618","1,557","1,625",460,351,162,119,317,70
2021년05월_남_40~49세,"18,703","2,249","2,221","2,752","6,235","1,502","1,655",727,423,241,143,466,89
2021년05월_남_50~59세,"22,125","2,378","2,619","2,848","6,674","1,843","2,164",921,855,477,294,846,206
2021년05월_남_60~69세,"15,973","1,393","2,032","1,779","3,592","1,442","1,744",843,908,584,447,956,253
2021년05월_남_70~79세,"6,579",519,844,676,"1,233",548,754,414,434,270,252,497,138
2021년05월_남_80~89세,"2,134",149,272,214,353,169,228,155,155,95,118,161,65
2021년05월_남_90~99세,181,5,26,19,25,15,24,9,20,8,10,17,3
2021년05월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"107,121","8,635","14,154","13,709","34,774","9,295","10,725","3,831","3,698","2,006","1,557","3,892",845
2021년05월_여_연령구간인구수,"107,121","8,635","14,154","13,709","34,774","9,295","10,725","3,831","3,698","2,006","1,557","3,892",845
2021년05월_여_0~9세,"8,356",686,"1,189","1,223","3,121",853,700,218,141,66,22,117,20
2021년05월_여_10~19세,"10,628",765,"1,356","1,586","4,668",771,727,232,162,87,58,184,32
2021년05월_여_20~29세,"11,258",927,"1,500","1,461","4,067","1,007","1,173",285,319,120,71,285,43
2021년05월_여_30~39세,"11,798","1,020","1,538","1,620","3,835","1,288","1,347",394,285,119,82,227,43
2021년05월_여_40~49세,"17,881","1,427","2,292","2,520","7,191","1,408","1,527",438,330,175,98,424,51
2021년05월_여_50~59세,"19,721","1,603","2,594","2,376","6,299","1,638","2,142",657,779,400,239,839,155
2021년05월_여_60~69세,"14,832","1,216","2,017","1,578","3,325","1,302","1,731",821,804,504,406,903,225
2021년05월_여_70~79세,"7,340",606,949,779,"1,389",612,838,486,487,273,291,486,144
2021년05월_여_80~89세,"4,459",322,604,483,759,342,437,256,332,214,242,358,110
2021년05월_여_90~99세,827,60,107,82,119,73,102,44,58,46,48,67,21
2021년05월_여_100세 이상,21,3,8,1,1,1,1,0,1,2,0,2,1
