카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년05월_계_총인구수,"80,086","3,850","2,621","1,133","2,027","1,820","2,299","1,619","1,649","1,486",962,"1,484","1,849","2,271","1,861","2,111","2,716","3,432","3,335","6,184","6,664","4,192","7,097","17,424"
2021년05월_계_연령구간인구수,"80,086","3,850","2,621","1,133","2,027","1,820","2,299","1,619","1,649","1,486",962,"1,484","1,849","2,271","1,861","2,111","2,716","3,432","3,335","6,184","6,664","4,192","7,097","17,424"
2021년05월_계_0~9세,"4,814",163,97,46,57,59,66,46,65,55,27,51,65,94,86,79,114,174,175,565,541,209,395,"1,585"
2021년05월_계_10~19세,"7,162",204,160,57,108,97,119,72,87,60,34,64,81,149,114,182,194,340,239,619,761,323,608,"2,490"
2021년05월_계_20~29세,"7,498",263,226,64,146,112,124,75,89,102,59,95,126,178,89,144,165,372,358,689,615,482,760,"2,165"
2021년05월_계_30~39세,"6,234",208,151,55,109,83,105,65,91,71,52,53,91,127,94,87,148,269,276,678,621,397,583,"1,820"
2021년05월_계_40~49세,"10,434",343,267,112,159,158,220,132,147,106,67,128,159,213,160,246,285,440,442,941,"1,088",495,973,"3,153"
2021년05월_계_50~59세,"13,582",684,486,174,371,309,352,237,275,251,161,225,324,404,309,506,519,589,524,992,"1,024",693,"1,291","2,882"
2021년05월_계_60~69세,"13,343",816,565,231,433,372,498,363,373,283,229,277,359,443,393,363,607,554,575,831,981,750,"1,169","1,878"
2021년05월_계_70~79세,"9,758",625,386,191,319,332,449,298,273,289,186,301,344,334,349,288,418,428,487,561,670,522,785,923
2021년05월_계_80~89세,"6,250",468,235,172,274,259,320,280,208,241,128,253,263,273,229,197,227,236,217,273,317,270,456,454
2021년05월_계_90~99세,981,76,44,31,50,39,45,49,41,28,19,36,35,55,35,19,37,30,40,33,46,46,75,72
2021년05월_계_100세 이상,30,0,4,0,1,0,1,2,0,0,0,1,2,1,3,0,2,0,2,2,0,5,2,2
2021년05월_남_총인구수,"39,290","1,847","1,335",559,"1,000",904,"1,096",776,832,767,498,748,914,"1,122",913,"1,042","1,333","1,634","1,571","2,984","3,226","2,045","3,587","8,557"
2021년05월_남_연령구간인구수,"39,290","1,847","1,335",559,"1,000",904,"1,096",776,832,767,498,748,914,"1,122",913,"1,042","1,333","1,634","1,571","2,984","3,226","2,045","3,587","8,557"
2021년05월_남_0~9세,"2,551",88,54,24,25,35,26,28,34,33,20,27,35,52,51,39,61,93,90,299,280,109,203,845
2021년05월_남_10~19세,"3,690",105,73,31,51,54,60,35,50,37,20,33,44,83,57,97,114,172,114,294,368,186,314,"1,298"
2021년05월_남_20~29세,"4,191",135,133,37,84,70,77,42,54,64,34,54,76,89,51,77,107,215,197,374,355,277,426,"1,163"
2021년05월_남_30~39세,"3,181",114,79,25,64,48,59,36,55,33,29,29,49,76,52,51,66,135,140,336,295,226,302,882
2021년05월_남_40~49세,"5,356",182,151,78,93,99,137,85,88,63,48,89,98,111,100,119,154,211,216,453,557,240,512,"1,472"
2021년05월_남_50~59세,"7,250",366,271,94,212,180,200,140,158,168,98,134,191,229,181,282,279,291,277,506,525,333,702,"1,433"
2021년05월_남_60~69세,"6,661",436,293,122,244,195,246,185,201,148,122,138,182,245,196,199,296,249,247,410,462,352,588,905
2021년05월_남_70~79세,"4,152",252,186,93,133,131,185,130,120,130,81,143,155,137,147,123,167,172,205,217,269,219,360,397
2021년05월_남_80~89세,"2,027",156,80,47,82,83,98,82,63,84,39,90,78,87,70,54,82,87,74,88,105,88,158,152
2021년05월_남_90~99세,225,13,15,8,12,9,8,12,9,7,7,10,6,13,7,1,7,9,10,6,10,14,22,10
2021년05월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
2021년05월_여_총인구수,"40,796","2,003","1,286",574,"1,027",916,"1,203",843,817,719,464,736,935,"1,149",948,"1,069","1,383","1,798","1,764","3,200","3,438","2,147","3,510","8,867"
2021년05월_여_연령구간인구수,"40,796","2,003","1,286",574,"1,027",916,"1,203",843,817,719,464,736,935,"1,149",948,"1,069","1,383","1,798","1,764","3,200","3,438","2,147","3,510","8,867"
2021년05월_여_0~9세,"2,263",75,43,22,32,24,40,18,31,22,7,24,30,42,35,40,53,81,85,266,261,100,192,740
2021년05월_여_10~19세,"3,472",99,87,26,57,43,59,37,37,23,14,31,37,66,57,85,80,168,125,325,393,137,294,"1,192"
2021년05월_여_20~29세,"3,307",128,93,27,62,42,47,33,35,38,25,41,50,89,38,67,58,157,161,315,260,205,334,"1,002"
2021년05월_여_30~39세,"3,053",94,72,30,45,35,46,29,36,38,23,24,42,51,42,36,82,134,136,342,326,171,281,938
2021년05월_여_40~49세,"5,078",161,116,34,66,59,83,47,59,43,19,39,61,102,60,127,131,229,226,488,531,255,461,"1,681"
2021년05월_여_50~59세,"6,332",318,215,80,159,129,152,97,117,83,63,91,133,175,128,224,240,298,247,486,499,360,589,"1,449"
2021년05월_여_60~69세,"6,682",380,272,109,189,177,252,178,172,135,107,139,177,198,197,164,311,305,328,421,519,398,581,973
2021년05월_여_70~79세,"5,606",373,200,98,186,201,264,168,153,159,105,158,189,197,202,165,251,256,282,344,401,303,425,526
2021년05월_여_80~89세,"4,223",312,155,125,192,176,222,198,145,157,89,163,185,186,159,143,145,149,143,185,212,182,298,302
2021년05월_여_90~99세,756,63,29,23,38,30,37,37,32,21,12,26,29,42,28,18,30,21,30,27,36,32,53,62
2021년05월_여_100세 이상,24,0,4,0,1,0,1,1,0,0,0,0,2,1,2,0,2,0,1,1,0,4,2,2
