카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년08월_계_총인구수,"809,559","63,639","89,193","41,210","129,882","85,931","80,934","56,414","95,452","83,021","83,883"
2021년08월_계_연령구간인구수,"809,559","63,639","89,193","41,210","129,882","85,931","80,934","56,414","95,452","83,021","83,883"
2021년08월_계_0~9세,"54,270","2,909","5,293","2,617","9,384","7,658","4,416","3,677","9,284","4,245","4,787"
2021년08월_계_10~19세,"68,595","3,801","6,989","3,835","11,040","9,684","6,217","4,191","9,349","6,755","6,734"
2021년08월_계_20~29세,"114,249","9,971","12,704","5,903","18,888","11,965","11,314","7,583","11,091","12,329","12,501"
2021년08월_계_30~39세,"113,003","9,264","11,814","5,310","21,155","12,359","10,923","8,045","13,761","9,677","10,695"
2021년08월_계_40~49세,"126,410","9,402","13,549","6,215","20,387","14,993","12,089","7,776","17,382","12,090","12,527"
2021년08월_계_50~59세,"145,032","11,555","16,358","7,486","22,283","15,272","14,457","9,924","14,297","16,727","16,673"
2021년08월_계_60~69세,"116,965","10,073","13,703","6,181","17,587","9,455","12,943","9,386","12,251","12,802","12,584"
2021년08월_계_70~79세,"47,188","4,614","5,914","2,393","5,979","2,959","5,760","3,977","5,295","5,430","4,867"
2021년08월_계_80~89세,"20,540","1,784","2,528","1,061","2,675","1,339","2,429","1,606","2,335","2,604","2,179"
2021년08월_계_90~99세,"3,150",253,317,196,482,241,368,236,383,352,322
2021년08월_계_100세 이상,157,13,24,13,22,6,18,13,24,10,14
2021년08월_남_총인구수,"401,353","32,413","44,572","20,379","62,692","42,180","40,047","27,847","46,758","41,568","42,897"
2021년08월_남_연령구간인구수,"401,353","32,413","44,572","20,379","62,692","42,180","40,047","27,847","46,758","41,568","42,897"
2021년08월_남_0~9세,"27,926","1,551","2,723","1,353","4,811","3,914","2,274","1,900","4,801","2,147","2,452"
2021년08월_남_10~19세,"35,169","1,932","3,632","1,995","5,584","4,939","3,235","2,091","4,659","3,534","3,568"
2021년08월_남_20~29세,"58,888","5,141","6,611","3,026","9,229","6,104","5,943","3,965","5,696","6,497","6,676"
2021년08월_남_30~39세,"58,194","5,111","6,149","2,722","10,469","5,946","5,827","4,232","6,726","5,182","5,830"
2021년08월_남_40~49세,"63,764","5,142","7,045","3,055","9,743","7,052","6,174","3,915","8,827","6,161","6,650"
2021년08월_남_50~59세,"70,374","5,856","8,091","3,610","10,275","7,383","6,894","4,654","6,844","8,332","8,435"
2021년08월_남_60~69세,"57,442","4,831","6,615","3,047","8,813","4,936","6,075","4,543","5,840","6,407","6,335"
2021년08월_남_70~79세,"21,872","2,169","2,722","1,166","2,812","1,419","2,641","1,908","2,467","2,380","2,188"
2021년08월_남_80~89세,"6,977",634,895,348,856,432,903,576,803,844,686
2021년08월_남_90~99세,707,44,83,53,95,52,76,60,87,83,74
2021년08월_남_100세 이상,40,2,6,4,5,3,5,3,8,1,3
2021년08월_여_총인구수,"408,206","31,226","44,621","20,831","67,190","43,751","40,887","28,567","48,694","41,453","40,986"
2021년08월_여_연령구간인구수,"408,206","31,226","44,621","20,831","67,190","43,751","40,887","28,567","48,694","41,453","40,986"
2021년08월_여_0~9세,"26,344","1,358","2,570","1,264","4,573","3,744","2,142","1,777","4,483","2,098","2,335"
2021년08월_여_10~19세,"33,426","1,869","3,357","1,840","5,456","4,745","2,982","2,100","4,690","3,221","3,166"
2021년08월_여_20~29세,"55,361","4,830","6,093","2,877","9,659","5,861","5,371","3,618","5,395","5,832","5,825"
2021년08월_여_30~39세,"54,809","4,153","5,665","2,588","10,686","6,413","5,096","3,813","7,035","4,495","4,865"
2021년08월_여_40~49세,"62,646","4,260","6,504","3,160","10,644","7,941","5,915","3,861","8,555","5,929","5,877"
2021년08월_여_50~59세,"74,658","5,699","8,267","3,876","12,008","7,889","7,563","5,270","7,453","8,395","8,238"
2021년08월_여_60~69세,"59,523","5,242","7,088","3,134","8,774","4,519","6,868","4,843","6,411","6,395","6,249"
2021년08월_여_70~79세,"25,316","2,445","3,192","1,227","3,167","1,540","3,119","2,069","2,828","3,050","2,679"
2021년08월_여_80~89세,"13,563","1,150","1,633",713,"1,819",907,"1,526","1,030","1,532","1,760","1,493"
2021년08월_여_90~99세,"2,443",209,234,143,387,189,292,176,296,269,248
2021년08월_여_100세 이상,117,11,18,9,17,3,13,10,16,9,11
