,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년10월_계_총인구수,"107,996","4,572","7,693","7,790","13,021","8,710","7,943","7,920","7,126","4,670","10,085","5,108","9,670","13,688"
2020년10월_계_연령구간인구수,"107,996","4,572","7,693","7,790","13,021","8,710","7,943","7,920","7,126","4,670","10,085","5,108","9,670","13,688"
2020년10월_계_0~9세,"5,641",216,340,436,"1,044",611,640,458,106,117,501,140,344,688
2020년10월_계_10~19세,"7,304",286,535,521,"1,005",854,776,581,311,189,533,204,536,973
2020년10월_계_20~29세,"13,515",597,769,"1,195","1,642","1,049",951,"1,566",771,430,"1,384",459,917,"1,785"
2020년10월_계_30~39세,"11,295",494,676,887,"1,769",900,880,992,547,369,"1,226",475,771,"1,309"
2020년10월_계_40~49세,"14,717",598,"1,025","1,071","1,996","1,353","1,258","1,071",841,612,"1,318",601,"1,239","1,734"
2020년10월_계_50~59세,"18,018",757,"1,319","1,163","1,984","1,451","1,281","1,123","1,263",819,"1,732",947,"1,695","2,484"
2020년10월_계_60~69세,"18,982",789,"1,450","1,282","1,773","1,304","1,140","1,141","1,548",991,"1,743","1,140","2,085","2,596"
2020년10월_계_70~79세,"12,329",524,"1,029",798,"1,200",767,650,623,"1,110",754,"1,136",787,"1,480","1,471"
2020년10월_계_80~89세,"5,331",275,487,368,519,366,318,305,525,334,443,304,523,564
2020년10월_계_90~99세,741,32,59,59,84,52,45,53,75,46,54,44,68,70
2020년10월_계_100세 이상,123,4,4,10,5,3,4,7,29,9,15,7,12,14
2020년10월_남_총인구수,"52,306","2,182","3,754","3,638","6,157","4,022","3,862","3,763","3,598","2,342","4,822","2,588","4,834","6,744"
2020년10월_남_연령구간인구수,"52,306","2,182","3,754","3,638","6,157","4,022","3,862","3,763","3,598","2,342","4,822","2,588","4,834","6,744"
2020년10월_남_0~9세,"2,939",109,178,229,543,314,349,232,51,59,261,72,182,360
2020년10월_남_10~19세,"3,685",136,256,248,508,398,404,293,168,94,276,103,284,517
2020년10월_남_20~29세,"6,684",305,421,544,785,508,499,696,399,236,625,247,499,920
2020년10월_남_30~39세,"5,816",263,365,444,853,430,417,491,310,207,632,278,427,699
2020년10월_남_40~49세,"7,614",314,531,530,993,627,599,542,487,362,685,356,674,914
2020년10월_남_50~59세,"9,176",379,649,582,964,667,627,570,702,455,878,517,937,"1,249"
2020년10월_남_60~69세,"8,867",346,684,569,794,604,552,533,782,482,800,534,999,"1,188"
2020년10월_남_70~79세,"5,382",227,463,346,513,341,282,272,481,331,474,350,640,662
2020년10월_남_80~89세,"1,937",93,195,127,182,121,124,122,191,101,169,119,178,215
2020년10월_남_90~99세,172,10,11,17,20,12,9,9,17,13,18,10,12,14
2020년10월_남_100세 이상,34,0,1,2,2,0,0,3,10,2,4,2,2,6
2020년10월_여_총인구수,"55,690","2,390","3,939","4,152","6,864","4,688","4,081","4,157","3,528","2,328","5,263","2,520","4,836","6,944"
2020년10월_여_연령구간인구수,"55,690","2,390","3,939","4,152","6,864","4,688","4,081","4,157","3,528","2,328","5,263","2,520","4,836","6,944"
2020년10월_여_0~9세,"2,702",107,162,207,501,297,291,226,55,58,240,68,162,328
2020년10월_여_10~19세,"3,619",150,279,273,497,456,372,288,143,95,257,101,252,456
2020년10월_여_20~29세,"6,831",292,348,651,857,541,452,870,372,194,759,212,418,865
2020년10월_여_30~39세,"5,479",231,311,443,916,470,463,501,237,162,594,197,344,610
2020년10월_여_40~49세,"7,103",284,494,541,"1,003",726,659,529,354,250,633,245,565,820
2020년10월_여_50~59세,"8,842",378,670,581,"1,020",784,654,553,561,364,854,430,758,"1,235"
2020년10월_여_60~69세,"10,115",443,766,713,979,700,588,608,766,509,943,606,"1,086","1,408"
2020년10월_여_70~79세,"6,947",297,566,452,687,426,368,351,629,423,662,437,840,809
2020년10월_여_80~89세,"3,394",182,292,241,337,245,194,183,334,233,274,185,345,349
2020년10월_여_90~99세,569,22,48,42,64,40,36,44,58,33,36,34,56,56
2020년10월_여_100세 이상,89,4,3,8,3,3,4,4,19,7,11,5,10,8
