,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년05월_계_총인구수,"175,250","15,049","7,429","13,745","16,954","28,467","19,994","11,293","14,459","14,014","6,918","9,924","17,004"
2020년05월_계_연령구간인구수,"175,250","15,049","7,429","13,745","16,954","28,467","19,994","11,293","14,459","14,014","6,918","9,924","17,004"
2020년05월_계_0~9세,"11,427",724,328,778,"1,057","2,193","1,078",567,"1,816",839,540,481,"1,026"
2020년05월_계_10~19세,"17,171","1,054",537,"1,104","1,771","4,066","1,705",953,"1,317","1,352",655,882,"1,775"
2020년05월_계_20~29세,"24,495","2,375",837,"1,661","2,362","4,227","3,014","1,513","1,742","2,048","1,094","1,303","2,319"
2020년05월_계_30~39세,"19,770","1,628",881,"1,356","1,756","2,856","2,326","1,163","2,484","1,650","1,096",932,"1,642"
2020년05월_계_40~49세,"27,847","2,069","1,155","1,964","2,691","5,360","3,247","1,652","2,331","2,268","1,226","1,353","2,531"
2020년05월_계_50~59세,"33,509","2,904","1,410","2,677","3,242","5,552","3,813","2,212","2,328","2,693","1,189","1,982","3,507"
2020년05월_계_60~69세,"23,374","2,508","1,287","2,316","2,349","2,467","2,832","1,735","1,473","1,696",668,"1,564","2,479"
2020년05월_계_70~79세,"11,791","1,255",684,"1,219","1,181","1,111","1,399",992,621,972,293,929,"1,135"
2020년05월_계_80~89세,"5,177",452,268,597,489,565,523,439,313,436,132,447,516
2020년05월_계_90~99세,656,75,40,67,51,68,56,61,33,58,24,50,73
2020년05월_계_100세 이상,33,5,2,6,5,2,1,6,1,2,1,1,1
2020년05월_남_총인구수,"89,154","7,968","3,922","7,002","8,463","14,098","10,390","5,768","7,402","7,421","3,764","4,696","8,260"
2020년05월_남_연령구간인구수,"89,154","7,968","3,922","7,002","8,463","14,098","10,390","5,768","7,402","7,421","3,764","4,696","8,260"
2020년05월_남_0~9세,"5,784",378,172,382,529,"1,110",544,269,930,439,273,239,519
2020년05월_남_10~19세,"8,944",562,296,573,931,"2,080",899,509,686,707,333,452,916
2020년05월_남_20~29세,"13,612","1,311",487,930,"1,292","2,272","1,673",845,965,"1,207",635,725,"1,270"
2020년05월_남_30~39세,"10,746",931,484,721,944,"1,407","1,361",662,"1,290",940,668,484,854
2020년05월_남_40~49세,"14,163","1,181",663,"1,046","1,343","2,407","1,737",871,"1,216","1,223",676,649,"1,151"
2020년05월_남_50~59세,"17,100","1,524",756,"1,372","1,601","2,876","1,947","1,161","1,160","1,448",645,965,"1,645"
2020년05월_남_60~69세,"11,569","1,293",675,"1,165","1,094","1,242","1,371",838,745,842,356,711,"1,237"
2020년05월_남_70~79세,"5,262",604,293,567,529,477,641,453,291,441,128,343,495
2020년05월_남_80~89세,"1,836",172,93,223,183,213,207,154,113,161,44,114,159
2020년05월_남_90~99세,131,10,3,19,16,14,10,6,6,13,6,14,14
2020년05월_남_100세 이상,7,2,0,4,1,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"86,096","7,081","3,507","6,743","8,491","14,369","9,604","5,525","7,057","6,593","3,154","5,228","8,744"
2020년05월_여_연령구간인구수,"86,096","7,081","3,507","6,743","8,491","14,369","9,604","5,525","7,057","6,593","3,154","5,228","8,744"
2020년05월_여_0~9세,"5,643",346,156,396,528,"1,083",534,298,886,400,267,242,507
2020년05월_여_10~19세,"8,227",492,241,531,840,"1,986",806,444,631,645,322,430,859
2020년05월_여_20~29세,"10,883","1,064",350,731,"1,070","1,955","1,341",668,777,841,459,578,"1,049"
2020년05월_여_30~39세,"9,024",697,397,635,812,"1,449",965,501,"1,194",710,428,448,788
2020년05월_여_40~49세,"13,684",888,492,918,"1,348","2,953","1,510",781,"1,115","1,045",550,704,"1,380"
2020년05월_여_50~59세,"16,409","1,380",654,"1,305","1,641","2,676","1,866","1,051","1,168","1,245",544,"1,017","1,862"
2020년05월_여_60~69세,"11,805","1,215",612,"1,151","1,255","1,225","1,461",897,728,854,312,853,"1,242"
2020년05월_여_70~79세,"6,529",651,391,652,652,634,758,539,330,531,165,586,640
2020년05월_여_80~89세,"3,341",280,175,374,306,352,316,285,200,275,88,333,357
2020년05월_여_90~99세,525,65,37,48,35,54,46,55,27,45,18,36,59
2020년05월_여_100세 이상,26,3,2,2,4,2,1,6,1,2,1,1,1
