카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년02월_계_총인구수,"147,480","44,069","8,676","4,610","7,697","12,435","2,153","4,872","9,452","6,271","8,430","2,794","2,771","18,810","14,440"
2021년02월_계_연령구간인구수,"147,480","44,069","8,676","4,610","7,697","12,435","2,153","4,872","9,452","6,271","8,430","2,794","2,771","18,810","14,440"
2021년02월_계_0~9세,"8,421","2,828",614,108,207,630,43,186,488,515,626,58,194,"1,228",696
2021년02월_계_10~19세,"12,063","4,874",567,193,409,949,79,244,681,352,435,147,149,"1,827","1,157"
2021년02월_계_20~29세,"17,934","5,829",947,439,791,"1,476",181,423,965,865,986,227,305,"2,548","1,952"
2021년02월_계_30~39세,"14,566","4,336","1,107",337,616,"1,180",122,299,867,889,991,123,350,"1,956","1,393"
2021년02월_계_40~49세,"20,290","7,154","1,149",529,876,"1,639",204,515,"1,187",639,871,253,271,"2,767","2,236"
2021년02월_계_50~59세,"29,143","9,013","1,609","1,129","1,890","2,485",373,"1,008","1,594",887,"1,290",535,456,"3,619","3,255"
2021년02월_계_60~69세,"24,967","5,976","1,516","1,055","1,673","2,355",573,"1,114","1,848","1,050","1,521",678,548,"2,781","2,279"
2021년02월_계_70~79세,"12,449","2,571",721,504,726,"1,072",361,662,"1,098",677,"1,009",485,296,"1,345",922
2021년02월_계_80~89세,"6,578","1,272",383,282,435,552,197,371,604,356,576,258,175,632,485
2021년02월_계_90~99세,988,204,62,32,72,90,20,47,111,38,106,27,26,95,58
2021년02월_계_100세 이상,81,12,1,2,2,7,0,3,9,3,19,3,1,12,7
2021년02월_남_총인구수,"78,036","22,475","4,671","2,639","4,517","6,846","1,208","2,647","4,896","3,408","4,505","1,453","1,458","9,522","7,791"
2021년02월_남_연령구간인구수,"78,036","22,475","4,671","2,639","4,517","6,846","1,208","2,647","4,896","3,408","4,505","1,453","1,458","9,522","7,791"
2021년02월_남_0~9세,"4,331","1,439",306,64,99,346,27,97,251,263,330,25,93,617,374
2021년02월_남_10~19세,"6,313","2,522",293,110,212,525,50,122,364,168,222,70,69,979,607
2021년02월_남_20~29세,"10,399","3,152",557,269,468,892,122,256,596,591,676,145,171,"1,381","1,123"
2021년02월_남_30~39세,"8,121","2,216",619,207,396,682,81,178,510,528,597,82,203,"1,055",767
2021년02월_남_40~49세,"10,907","3,549",646,336,573,893,119,328,659,375,503,152,154,"1,386","1,234"
2021년02월_남_50~59세,"16,019","4,777",883,665,"1,188","1,449",227,590,837,481,711,283,242,"1,858","1,828"
2021년02월_남_60~69세,"13,504","3,141",859,623,"1,012","1,316",319,623,937,548,787,358,312,"1,424","1,245"
2021년02월_남_70~79세,"5,776","1,188",356,242,380,507,171,297,501,320,422,229,151,576,436
2021년02월_남_80~89세,"2,402",446,139,118,175,210,85,138,208,123,225,100,56,221,158
2021년02월_남_90~99세,233,41,12,4,13,25,7,17,28,11,24,6,7,21,17
2021년02월_남_100세 이상,31,4,1,1,1,1,0,1,5,0,8,3,0,4,2
2021년02월_여_총인구수,"69,444","21,594","4,005","1,971","3,180","5,589",945,"2,225","4,556","2,863","3,925","1,341","1,313","9,288","6,649"
2021년02월_여_연령구간인구수,"69,444","21,594","4,005","1,971","3,180","5,589",945,"2,225","4,556","2,863","3,925","1,341","1,313","9,288","6,649"
2021년02월_여_0~9세,"4,090","1,389",308,44,108,284,16,89,237,252,296,33,101,611,322
2021년02월_여_10~19세,"5,750","2,352",274,83,197,424,29,122,317,184,213,77,80,848,550
2021년02월_여_20~29세,"7,535","2,677",390,170,323,584,59,167,369,274,310,82,134,"1,167",829
2021년02월_여_30~39세,"6,445","2,120",488,130,220,498,41,121,357,361,394,41,147,901,626
2021년02월_여_40~49세,"9,383","3,605",503,193,303,746,85,187,528,264,368,101,117,"1,381","1,002"
2021년02월_여_50~59세,"13,124","4,236",726,464,702,"1,036",146,418,757,406,579,252,214,"1,761","1,427"
2021년02월_여_60~69세,"11,463","2,835",657,432,661,"1,039",254,491,911,502,734,320,236,"1,357","1,034"
2021년02월_여_70~79세,"6,673","1,383",365,262,346,565,190,365,597,357,587,256,145,769,486
2021년02월_여_80~89세,"4,176",826,244,164,260,342,112,233,396,233,351,158,119,411,327
2021년02월_여_90~99세,755,163,50,28,59,65,13,30,83,27,82,21,19,74,41
2021년02월_여_100세 이상,50,8,0,1,1,6,0,2,4,3,11,0,1,8,5
