카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년05월_계_총인구수,"1,794,682","656,934","337,822","319,112","266,345","280,152","107,489","80,086","81,593","91,126","25,233","23,917","21,902","27,019","27,321","54,018","51,547"
2021년05월_계_연령구간인구수,"1,794,682","656,934","337,822","319,112","266,345","280,152","107,489","80,086","81,593","91,126","25,233","23,917","21,902","27,019","27,321","54,018","51,547"
2021년05월_계_0~9세,"124,523","52,871","24,057","28,814","20,321","18,388","6,124","4,814","4,139","6,622","1,221","1,137","1,089","1,326","1,395","2,593","2,483"
2021년05월_계_10~19세,"172,288","70,738","35,409","35,329","26,439","27,479","9,463","7,162","6,086","8,180","1,637","1,802","1,641","1,646","2,161","4,208","3,646"
2021년05월_계_20~29세,"209,564","92,972","49,166","43,806","29,495","35,674","10,430","7,498","7,036","8,844","1,901","1,742","1,618","2,009","2,027","4,146","4,172"
2021년05월_계_30~39세,"185,440","81,442","39,513","41,929","29,831","27,804","8,652","6,234","6,432","9,087","1,581","1,669","1,495","1,847","1,873","3,727","3,766"
2021년05월_계_40~49세,"264,055","106,019","52,499","53,520","43,023","41,108","14,463","10,434","9,767","13,356","2,640","2,798","2,491","2,726","3,208","6,042","5,980"
2021년05월_계_50~59세,"298,283","106,500","57,116","49,384","44,025","48,541","18,228","13,582","13,408","15,166","4,458","4,156","3,635","4,597","4,415","8,873","8,699"
2021년05월_계_60~69세,"262,317","78,933","43,397","35,536","38,220","41,600","17,382","13,343","14,875","14,327","5,039","4,539","4,324","5,121","4,940","9,904","9,770"
2021년05월_계_70~79세,"170,496","44,465","24,153","20,312","23,064","24,744","13,208","9,758","11,373","9,297","3,806","3,336","3,100","4,237","4,117","8,286","7,705"
2021년05월_계_80~89세,"93,082","20,036","10,818","9,218","10,264","12,650","8,286","6,250","7,215","5,393","2,547","2,378","2,193","3,051","2,783","5,362","4,674"
2021년05월_계_90~99세,"14,093","2,866","1,638","1,228","1,607","2,074","1,191",981,"1,223",824,386,338,305,442,381,845,630
2021년05월_계_100세 이상,541,92,56,36,56,90,62,30,39,30,17,22,11,17,21,32,22
2021년05월_남_총인구수,"892,833","323,271","164,537","158,734","134,736","139,577","53,394","39,290","40,518","46,841","12,748","11,909","10,925","13,839","13,356","26,800","25,629"
2021년05월_남_연령구간인구수,"892,833","323,271","164,537","158,734","134,736","139,577","53,394","39,290","40,518","46,841","12,748","11,909","10,925","13,839","13,356","26,800","25,629"
2021년05월_남_0~9세,"63,920","27,087","12,382","14,705","10,356","9,466","3,133","2,551","2,154","3,301",590,606,568,710,727,"1,368","1,303"
2021년05월_남_10~19세,"89,253","36,594","18,453","18,141","13,640","14,084","5,029","3,690","3,105","4,278",870,920,831,867,"1,114","2,319","1,912"
2021년05월_남_20~29세,"113,292","48,745","25,417","23,328","16,222","19,432","5,780","4,191","3,949","4,942","1,087",962,913,"1,188","1,141","2,377","2,363"
2021년05월_남_30~39세,"95,730","41,210","20,055","21,155","15,597","14,547","4,610","3,181","3,441","4,709",766,912,782,"1,019",912,"2,010","2,034"
2021년05월_남_40~49세,"135,999","51,917","25,154","26,763","22,551","20,982","7,610","5,356","5,489","7,351","1,540","1,554","1,407","1,656","1,815","3,425","3,346"
2021년05월_남_50~59세,"154,800","52,379","27,627","24,752","23,182","24,745","9,846","7,250","7,360","8,458","2,521","2,311","2,057","2,618","2,399","4,889","4,785"
2021년05월_남_60~69세,"129,661","37,581","20,444","17,137","18,860","20,572","8,639","6,661","7,509","7,460","2,681","2,331","2,209","2,785","2,541","4,939","4,893"
2021년05월_남_70~79세,"75,685","19,820","10,773","9,047","10,467","11,122","5,757","4,152","4,969","4,328","1,763","1,403","1,363","1,864","1,702","3,616","3,359"
