,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년10월_계_총인구수,"219,513","14,715","35,978","13,739","11,214","6,380","14,767","14,461","4,432","4,783","2,682","17,270","53,986","14,837","10,269"
2020년10월_계_연령구간인구수,"219,513","14,715","35,978","13,739","11,214","6,380","14,767","14,461","4,432","4,783","2,682","17,270","53,986","14,837","10,269"
2020년10월_계_0~9세,"19,031",992,"3,345","1,058",807,316,"1,476","1,249",151,186,63,"1,004","6,853",956,575
2020년10월_계_10~19세,"23,551","1,382","4,487","1,118",864,817,"1,876","1,230",253,230,121,"1,542","7,882",946,803
2020년10월_계_20~29세,"30,026","1,539","4,967","1,653","1,284",781,"2,160","2,482",383,401,187,"2,836","6,802","3,044","1,507"
2020년10월_계_30~39세,"30,529","1,524","5,127","1,835","1,268",653,"2,392","2,523",356,393,147,"2,207","8,355","2,397","1,352"
2020년10월_계_40~49세,"34,759","2,036","6,724","1,954","1,619",728,"1,953","2,114",503,507,249,"2,581","10,438","1,868","1,485"
2020년10월_계_50~59세,"35,375","2,531","5,522","2,562","2,169","1,103","1,999","2,003",876,902,453,"3,024","7,937","2,333","1,961"
2020년10월_계_60~69세,"25,502","2,390","3,338","2,027","1,699","1,036","1,554","1,512",950,"1,007",669,"2,394","3,516","1,872","1,538"
2020년10월_계_70~79세,"13,047","1,418","1,584",998,910,587,860,872,561,672,401,"1,126","1,416",933,709
2020년10월_계_80~89세,"6,682",801,782,445,502,311,425,401,355,416,340,494,691,424,295
2020년10월_계_90~99세,948,91,98,83,88,47,66,70,42,63,48,58,94,59,41
2020년10월_계_100세 이상,63,11,4,6,4,1,6,5,2,6,4,4,2,5,3
2020년10월_남_총인구수,"113,667","7,503","18,861","7,232","5,712","3,456","8,025","7,392","2,381","2,516","1,377","8,567","27,014","8,398","5,233"
2020년10월_남_연령구간인구수,"113,667","7,503","18,861","7,232","5,712","3,456","8,025","7,392","2,381","2,516","1,377","8,567","27,014","8,398","5,233"
2020년10월_남_0~9세,"9,834",511,"1,696",546,417,163,742,655,86,88,37,521,"3,567",502,303
2020년10월_남_10~19세,"12,380",730,"2,322",622,459,505,"1,028",610,142,124,65,790,"4,109",502,372
2020년10월_남_20~29세,"17,023",932,"2,908",906,700,435,"1,308","1,241",241,232,105,"1,514","3,613","2,097",791
2020년10월_남_30~39세,"16,353",801,"2,739",991,643,387,"1,354","1,336",226,241,95,"1,222","4,042","1,489",787
2020년10월_남_40~49세,"17,947","1,056","3,456","1,073",863,425,"1,118","1,166",289,308,154,"1,257","4,998","1,022",762
2020년10월_남_50~59세,"18,409","1,311","2,958","1,347","1,099",612,"1,086","1,067",485,499,239,"1,435","4,061","1,213",997
2020년10월_남_60~69세,"13,005","1,191","1,737","1,082",873,536,813,763,499,528,348,"1,116","1,782",944,793
2020년10월_남_70~79세,"6,012",652,733,468,426,269,407,391,268,328,195,527,599,443,306
2020년10월_남_80~89세,"2,451",289,290,176,206,113,147,147,133,157,126,166,223,169,109
2020년10월_남_90~99세,235,26,22,19,26,11,20,14,12,9,12,19,19,14,12
2020년10월_남_100세 이상,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020년10월_여_총인구수,"105,846","7,212","17,117","6,507","5,502","2,924","6,742","7,069","2,051","2,267","1,305","8,703","26,972","6,439","5,036"
2020년10월_여_연령구간인구수,"105,846","7,212","17,117","6,507","5,502","2,924","6,742","7,069","2,051","2,267","1,305","8,703","26,972","6,439","5,036"
2020년10월_여_0~9세,"9,197",481,"1,649",512,390,153,734,594,65,98,26,483,"3,286",454,272
2020년10월_여_10~19세,"11,171",652,"2,165",496,405,312,848,620,111,106,56,752,"3,773",444,431
2020년10월_여_20~29세,"13,003",607,"2,059",747,584,346,852,"1,241",142,169,82,"1,322","3,189",947,716
2020년10월_여_30~39세,"14,176",723,"2,388",844,625,266,"1,038","1,187",130,152,52,985,"4,313",908,565
2020년10월_여_40~49세,"16,812",980,"3,268",881,756,303,835,948,214,199,95,"1,324","5,440",846,723
2020년10월_여_50~59세,"16,966","1,220","2,564","1,215","1,070",491,913,936,391,403,214,"1,589","3,876","1,120",964
2020년10월_여_60~69세,"12,497","1,199","1,601",945,826,500,741,749,451,479,321,"1,278","1,734",928,745
2020년10월_여_70~79세,"7,035",766,851,530,484,318,453,481,293,344,206,599,817,490,403
2020년10월_여_80~89세,"4,231",512,492,269,296,198,278,254,222,259,214,328,468,255,186
2020년10월_여_90~99세,713,65,76,64,62,36,46,56,30,54,36,39,75,45,29
2020년10월_여_100세 이상,45,7,4,4,4,1,4,3,2,4,3,4,1,2,2
