카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년05월_계_총인구수,"404,804","11,019","6,569","15,447","4,666","32,894","28,758","11,076","15,969","7,255","27,534","43,449","18,630","31,244","77,785","24,905","2,128","1,918","4,081","2,215","2,063","35,199"
2021년05월_계_연령구간인구수,"404,804","11,019","6,569","15,447","4,666","32,894","28,758","11,076","15,969","7,255","27,534","43,449","18,630","31,244","77,785","24,905","2,128","1,918","4,081","2,215","2,063","35,199"
2021년05월_계_0~9세,"38,785",660,313,"1,399",303,"3,865","2,317",701,"1,062",649,"1,981","3,740","2,021","2,824","9,926","3,072",60,42,135,49,28,"3,638"
2021년05월_계_10~19세,"51,825","1,130",371,"1,614",420,"3,697","2,135","1,113","1,990",758,"3,436","5,558","2,844","3,901","13,573","3,293",107,75,141,117,101,"5,451"
2021년05월_계_20~29세,"58,750","1,732",982,"2,143",598,"4,010","4,349","1,883","2,459",860,"5,119","7,882","2,644","4,676","9,616","3,300",161,166,432,163,150,"5,425"
2021년05월_계_30~39세,"53,846","1,178",875,"2,116",547,"5,391","4,537","1,237","1,735",894,"3,459","5,792","2,312","3,944","10,175","3,717",112,138,452,150,122,"4,963"
2021년05월_계_40~49세,"75,828","1,833",835,"2,669",708,"6,111","4,246","1,610","2,809","1,353","4,297","7,977","3,904","5,740","17,935","5,035",180,182,489,200,221,"7,494"
2021년05월_계_50~59세,"64,930","1,867","1,101","2,479",788,"4,605","5,075","2,203","3,031","1,369","5,509","7,667","2,871","5,579","10,147","3,555",387,316,655,368,323,"5,035"
2021년05월_계_60~69세,"34,565","1,346",948,"1,551",644,"3,116","3,518","1,445","1,771",718,"2,427","2,966","1,164","2,553","4,027","1,985",467,415,806,466,394,"1,838"
2021년05월_계_70~79세,"17,156",891,781,"1,010",455,"1,392","1,604",572,771,407,821,"1,166",613,"1,363","1,729",633,340,366,575,369,368,930
2021년05월_계_80~89세,"7,893",332,316,403,170,614,844,271,303,219,410,614,221,594,561,271,263,188,331,289,306,373
2021년05월_계_90~99세,"1,176",47,41,61,30,87,133,41,37,28,73,83,34,67,94,42,50,27,62,43,48,48
2021년05월_계_100세 이상,50,3,6,2,3,6,0,0,1,0,2,4,2,3,2,2,1,3,3,1,2,4
2021년05월_남_총인구수,"203,996","5,574","3,314","7,801","2,357","16,825","14,616","5,580","8,067","3,829","13,659","21,910","9,491","15,312","38,391","12,782","1,106",989,"2,269","1,144","1,026","17,954"
2021년05월_남_연령구간인구수,"203,996","5,574","3,314","7,801","2,357","16,825","14,616","5,580","8,067","3,829","13,659","21,910","9,491","15,312","38,391","12,782","1,106",989,"2,269","1,144","1,026","17,954"
2021년05월_남_0~9세,"19,874",342,172,744,160,"2,012","1,179",354,541,328,"1,002","1,920","1,045","1,433","5,076","1,579",24,23,69,21,14,"1,836"
2021년05월_남_10~19세,"26,636",578,188,864,221,"1,869","1,097",593,"1,027",405,"1,738","2,878","1,451","2,036","6,782","1,721",61,45,74,61,55,"2,892"
2021년05월_남_20~29세,"31,242",970,522,"1,156",324,"2,217","2,310","1,021","1,306",485,"2,707","4,180","1,425","2,403","4,991","1,764",94,96,257,107,82,"2,825"
2021년05월_남_30~39세,"27,401",626,502,"1,094",301,"2,766","2,459",658,882,471,"1,769","3,033","1,136","1,955","4,721","1,867",67,91,284,94,64,"2,561"
2021년05월_남_40~49세,"37,742",942,458,"1,377",366,"3,302","2,212",795,"1,400",733,"1,958","3,774","1,930","2,773","8,615","2,628",113,115,344,121,139,"3,647"
2021년05월_남_50~59세,"33,731",980,572,"1,269",406,"2,308","2,605","1,077","1,557",779,"2,662","3,906","1,590","2,777","5,417","1,823",237,182,423,231,192,"2,738"
2021년05월_남_60~69세,"17,378",641,431,727,301,"1,537","1,835",726,884,379,"1,303","1,557",572,"1,226","1,903","1,031",261,213,441,254,228,928
2021년05월_남_70~79세,"7,431",364,350,431,215,615,698,267,355,183,362,472,271,513,719,292,158,170,271,176,143,406
2021년05월_남_80~89세,"2,339",119,108,125,56,185,207,79,108,59,147,178,63,177,153,69,85,50,93,72,97,109
2021년05월_남_90~99세,217,11,11,14,7,13,14,10,7,7,10,12,7,19,14,8,6,3,13,7,12,12
2021년05월_남_100세 이상,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021년05월_여_총인구수,"200,808","5,445","3,255","7,646","2,309","16,069","14,142","5,496","7,902","3,426","13,875","21,539","9,139","15,932","39,394","12,123","1,022",929,"1,812","1,071","1,037","17,245"
2021년05월_여_연령구간인구수,"200,808","5,445","3,255","7,646","2,309","16,069","14,142","5,496","7,902","3,426","13,875","21,539","9,139","15,932","39,394","12,123","1,022",929,"1,812","1,071","1,037","17,245"
2021년05월_여_0~9세,"18,911",318,141,655,143,"1,853","1,138",347,521,321,979,"1,820",976,"1,391","4,850","1,493",36,19,66,28,14,"1,802"
2021년05월_여_10~19세,"25,189",552,183,750,199,"1,828","1,038",520,963,353,"1,698","2,680","1,393","1,865","6,791","1,572",46,30,67,56,46,"2,559"
2021년05월_여_20~29세,"27,508",762,460,987,274,"1,793","2,039",862,"1,153",375,"2,412","3,702","1,219","2,273","4,625","1,536",67,70,175,56,68,"2,600"
2021년05월_여_30~39세,"26,445",552,373,"1,022",246,"2,625","2,078",579,853,423,"1,690","2,759","1,176","1,989","5,454","1,850",45,47,168,56,58,"2,402"
2021년05월_여_40~49세,"38,086",891,377,"1,292",342,"2,809","2,034",815,"1,409",620,"2,339","4,203","1,974","2,967","9,320","2,407",67,67,145,79,82,"3,847"
2021년05월_여_50~59세,"31,199",887,529,"1,210",382,"2,297","2,470","1,126","1,474",590,"2,847","3,761","1,281","2,802","4,730","1,732",150,134,232,137,131,"2,297"
2021년05월_여_60~69세,"17,187",705,517,824,343,"1,579","1,683",719,887,339,"1,124","1,409",592,"1,327","2,124",954,206,202,365,212,166,910
2021년05월_여_70~79세,"9,725",527,431,579,240,777,906,305,416,224,459,694,342,850,"1,010",341,182,196,304,193,225,524
2021년05월_여_80~89세,"5,554",213,208,278,114,429,637,192,195,160,263,436,158,417,408,202,178,138,238,217,209,264
2021년05월_여_90~99세,959,36,30,47,23,74,119,31,30,21,63,71,27,48,80,34,44,24,49,36,36,36
2021년05월_여_100세 이상,45,2,6,2,3,5,0,0,1,0,1,4,1,3,2,2,1,2,3,1,2,4
