카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년08월_계_총인구수,"315,748","20,332","14,575","13,166","11,482","27,654","22,092","25,743","17,855","16,273","11,508","28,238","40,299","28,481","11,758","19,702","6,590"
2020년08월_계_연령구간인구수,"315,748","20,332","14,575","13,166","11,482","27,654","22,092","25,743","17,855","16,273","11,508","28,238","40,299","28,481","11,758","19,702","6,590"
2020년08월_계_0~9세,"20,823","1,157",950,595,558,"1,746","1,290","1,504","1,151","1,175","1,037","2,093","3,277","1,792","1,343","1,007",148
2020년08월_계_10~19세,"25,959","1,617","1,142",783,798,"2,405","1,733","2,131","1,205","1,355",992,"2,498","4,084","2,599",849,"1,490",278
2020년08월_계_20~29세,"40,529","2,358","1,601","1,519","1,453","3,558","3,680","5,045","2,000","2,273","1,108","3,616","4,595","3,440","1,337","2,352",594
2020년08월_계_30~39세,"38,312","2,395","1,610","1,616","1,192","3,210","3,002","3,307","2,263","2,298","1,620","3,848","4,571","2,853","2,103","1,936",488
2020년08월_계_40~49세,"46,825","2,805","2,219","1,690","1,593","3,999","3,062","3,571","2,650","2,451","2,070","4,508","6,690","4,219","1,812","2,683",803
2020년08월_계_50~59세,"55,790","3,495","2,409","2,267","2,007","4,933","3,748","4,254","3,282","2,964","1,832","4,932","7,212","5,534","1,847","3,781","1,293"
2020년08월_계_60~69세,"50,460","3,462","2,545","2,572","2,142","4,614","3,291","3,497","3,048","2,391","1,647","4,227","5,701","4,693","1,554","3,714","1,362"
2020년08월_계_70~79세,"26,071","2,041","1,519","1,480","1,242","2,267","1,612","1,762","1,608",965,893,"1,903","2,856","2,240",659,"1,953","1,071"
2020년08월_계_80~89세,"9,508",842,502,558,435,823,592,603,542,341,281,537,"1,141",947,207,684,473
2020년08월_계_90~99세,"1,308",132,69,73,55,89,72,65,84,58,26,72,161,157,41,89,65
2020년08월_계_100세 이상,163,28,9,13,7,10,10,4,22,2,2,4,11,7,6,13,15
2020년08월_남_총인구수,"157,389","9,827","7,166","6,336","5,563","13,581","11,064","12,835","9,165","8,145","5,979","14,374","20,216","14,016","5,989","9,742","3,391"
2020년08월_남_연령구간인구수,"157,389","9,827","7,166","6,336","5,563","13,581","11,064","12,835","9,165","8,145","5,979","14,374","20,216","14,016","5,989","9,742","3,391"
2020년08월_남_0~9세,"10,654",609,492,312,296,910,657,775,583,607,519,"1,111","1,632",897,696,494,64
2020년08월_남_10~19세,"13,530",866,576,405,396,"1,261",892,"1,033",629,725,539,"1,304","2,199","1,335",461,764,145
2020년08월_남_20~29세,"21,800","1,214",852,781,788,"1,892","1,971","2,820","1,093","1,134",615,"1,946","2,520","1,913",687,"1,229",345
2020년08월_남_30~39세,"20,229","1,248",822,889,642,"1,660","1,640","1,763","1,267","1,226",860,"2,042","2,307","1,450","1,084","1,032",297
2020년08월_남_40~49세,"23,969","1,392","1,162",897,764,"1,962","1,512","1,803","1,443","1,253","1,147","2,361","3,311","2,054",970,"1,446",492
