카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년03월_계_총인구수,"98,628","4,489","3,783","6,026","8,199","8,891","10,649","4,400","4,824","3,168","8,475","12,221","8,211","15,292"
2020년03월_계_연령구간인구수,"98,628","4,489","3,783","6,026","8,199","8,891","10,649","4,400","4,824","3,168","8,475","12,221","8,211","15,292"
2020년03월_계_0~9세,"6,640",73,126,185,759,566,634,229,239,93,795,679,561,"1,701"
2020년03월_계_10~19세,"7,323",156,222,281,764,679,886,343,418,141,601,"1,016",685,"1,131"
2020년03월_계_20~29세,"13,914",951,639,774,988,"1,189","1,418",781,880,747,"1,176","1,472",994,"1,905"
2020년03월_계_30~39세,"12,406",602,375,648,980,"1,160","1,147",474,432,374,"1,240","1,176","1,079","2,719"
2020년03월_계_40~49세,"13,630",537,520,828,"1,234","1,309","1,407",633,664,352,"1,168","1,601","1,119","2,258"
2020년03월_계_50~59세,"15,400",692,517,"1,129","1,180","1,462","1,819",634,764,465,"1,297","1,892","1,365","2,184"
2020년03월_계_60~69세,"14,086",772,589,"1,112","1,018","1,172","1,613",602,633,465,"1,057","2,005","1,242","1,806"
2020년03월_계_70~79세,"10,074",494,506,704,868,904,"1,166",452,502,348,784,"1,508",808,"1,030"
2020년03월_계_80~89세,"4,474",178,246,320,362,392,504,215,255,160,313,758,307,464
2020년03월_계_90~99세,620,30,40,41,43,53,52,30,34,21,33,109,49,85
2020년03월_계_100세 이상,61,4,3,4,3,5,3,7,3,2,11,5,2,9
2020년03월_남_총인구수,"48,750","2,319","1,879","3,253","4,030","4,433","5,197","2,218","2,467","1,606","4,063","5,799","3,979","7,507"
2020년03월_남_연령구간인구수,"48,750","2,319","1,879","3,253","4,030","4,433","5,197","2,218","2,467","1,606","4,063","5,799","3,979","7,507"
2020년03월_남_0~9세,"3,436",36,64,92,407,290,318,141,131,47,422,335,296,857
2020년03월_남_10~19세,"3,812",70,116,154,410,361,454,177,235,66,283,540,349,597
2020년03월_남_20~29세,"7,155",376,325,428,548,620,727,412,506,371,575,774,517,976
2020년03월_남_30~39세,"6,462",355,214,376,487,618,594,257,222,211,612,599,551,"1,366"
2020년03월_남_40~49세,"7,125",326,269,504,605,708,724,329,360,211,603,759,579,"1,148"
2020년03월_남_50~59세,"7,607",393,267,662,582,741,858,330,377,243,633,877,627,"1,017"
2020년03월_남_60~69세,"6,638",409,282,568,455,555,758,270,292,226,474,894,573,882
2020년03월_남_70~79세,"4,467",266,208,323,364,374,524,200,222,151,334,654,371,476
2020년03월_남_80~89세,"1,868",79,124,135,157,153,222,93,110,73,118,330,105,169
2020년03월_남_90~99세,169,9,10,11,14,12,18,6,12,6,7,35,11,18
2020년03월_남_100세 이상,11,0,0,0,1,1,0,3,0,1,2,2,0,1
2020년03월_여_총인구수,"49,878","2,170","1,904","2,773","4,169","4,458","5,452","2,182","2,357","1,562","4,412","6,422","4,232","7,785"
2020년03월_여_연령구간인구수,"49,878","2,170","1,904","2,773","4,169","4,458","5,452","2,182","2,357","1,562","4,412","6,422","4,232","7,785"
2020년03월_여_0~9세,"3,204",37,62,93,352,276,316,88,108,46,373,344,265,844
2020년03월_여_10~19세,"3,511",86,106,127,354,318,432,166,183,75,318,476,336,534
2020년03월_여_20~29세,"6,759",575,314,346,440,569,691,369,374,376,601,698,477,929
2020년03월_여_30~39세,"5,944",247,161,272,493,542,553,217,210,163,628,577,528,"1,353"
2020년03월_여_40~49세,"6,505",211,251,324,629,601,683,304,304,141,565,842,540,"1,110"
2020년03월_여_50~59세,"7,793",299,250,467,598,721,961,304,387,222,664,"1,015",738,"1,167"
2020년03월_여_60~69세,"7,448",363,307,544,563,617,855,332,341,239,583,"1,111",669,924
2020년03월_여_70~79세,"5,607",228,298,381,504,530,642,252,280,197,450,854,437,554
2020년03월_여_80~89세,"2,606",99,122,185,205,239,282,122,145,87,195,428,202,295
2020년03월_여_90~99세,451,21,30,30,29,41,34,24,22,15,26,74,38,67
2020년03월_여_100세 이상,50,4,3,4,2,4,3,4,3,1,9,3,2,8
