,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년01월_계_총인구수,"80,570","3,850","2,633","1,145","2,037","1,836","2,312","1,617","1,660","1,502",979,"1,523","1,865","2,266","1,893","2,113","2,730","3,485","3,369","6,226","6,771","4,123","7,186","17,449"
2021년01월_계_연령구간인구수,"80,570","3,850","2,633","1,145","2,037","1,836","2,312","1,617","1,660","1,502",979,"1,523","1,865","2,266","1,893","2,113","2,730","3,485","3,369","6,226","6,771","4,123","7,186","17,449"
2021년01월_계_0~9세,"4,960",167,97,50,58,68,72,47,63,53,24,56,65,93,86,80,122,178,178,581,581,207,406,"1,628"
2021년01월_계_10~19세,"7,283",184,162,53,111,102,116,74,89,61,36,66,86,152,117,189,197,353,240,631,773,324,632,"2,535"
2021년01월_계_20~29세,"7,589",276,234,67,143,115,127,72,99,112,66,102,129,181,103,139,169,372,365,688,618,461,786,"2,165"
2021년01월_계_30~39세,"6,392",221,149,63,115,81,112,68,93,69,55,60,95,122,98,92,152,272,279,698,644,395,604,"1,855"
2021년01월_계_40~49세,"10,700",350,282,109,168,163,225,134,148,114,72,135,162,217,169,265,297,458,458,962,"1,114",507,989,"3,202"
2021년01월_계_50~59세,"13,695",700,493,183,373,305,351,235,291,261,170,242,334,416,318,498,526,614,537,982,"1,024",683,"1,317","2,842"
2021년01월_계_60~69세,"13,007",786,544,228,420,367,496,359,359,277,221,266,351,424,392,350,597,534,573,808,976,707,"1,159","1,813"
2021년01월_계_70~79세,"9,789",619,394,193,325,337,455,307,272,290,185,302,343,331,349,288,409,446,483,572,683,534,774,898
2021년01월_계_80~89세,"6,160",465,230,170,275,259,312,272,205,239,129,255,261,280,221,190,225,231,216,269,311,257,451,437
2021년01월_계_90~99세,953,79,44,29,48,38,44,47,40,26,21,34,36,48,37,21,34,27,39,33,45,45,65,73
2021년01월_계_100세 이상,42,3,4,0,1,1,2,2,1,0,0,5,3,2,3,1,2,0,1,2,2,3,3,1
2021년01월_남_총인구수,"39,507","1,848","1,340",557,"1,005",904,"1,099",773,841,772,504,768,922,"1,124",931,"1,042","1,345","1,646","1,590","3,006","3,278","2,005","3,636","8,571"
2021년01월_남_연령구간인구수,"39,507","1,848","1,340",557,"1,005",904,"1,099",773,841,772,504,768,922,"1,124",931,"1,042","1,345","1,646","1,590","3,006","3,278","2,005","3,636","8,571"
2021년01월_남_0~9세,"2,627",89,56,23,26,40,31,29,34,31,19,30,35,52,49,41,62,95,95,312,291,107,209,871
2021년01월_남_10~19세,"3,753",93,70,28,54,58,59,37,49,36,21,32,48,87,60,98,120,175,114,294,381,187,323,"1,329"
2021년01월_남_20~29세,"4,241",143,138,38,81,73,77,36,61,69,40,56,76,90,58,80,108,211,204,380,362,268,433,"1,159"
2021년01월_남_30~39세,"3,270",123,80,32,68,47,62,38,56,32,31,32,51,70,57,50,71,135,144,351,308,222,317,893
2021년01월_남_40~49세,"5,463",190,154,74,101,100,142,85,92,71,47,93,99,119,105,127,159,211,227,454,560,245,522,"1,486"
2021년01월_남_50~59세,"7,317",373,281,99,210,178,195,140,163,170,106,148,200,233,185,284,280,307,274,500,524,325,720,"1,422"
2021년01월_남_60~69세,"6,481",423,280,120,237,188,249,185,196,143,112,127,177,240,195,188,288,240,246,394,463,332,589,869
