,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년03월_남_70~79세,"6,216","1,317",121,187,277,516,264,406,300,254,120,220,395,363,202,371,354,235,209,105
2020년03월_남_80~89세,"2,312",553,56,95,139,218,140,215,178,117,66,56,73,110,49,86,70,32,39,20
2020년03월_남_90~99세,250,58,1,13,16,22,17,17,11,9,3,11,8,17,10,11,12,7,4,3
2020년03월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년03월_여_총인구수,"172,841","20,891","1,145","1,538","2,811","4,107","2,766","3,460","2,740","1,697","1,207","9,886","28,079","16,653","12,040","15,469","17,423","15,601","9,949","5,379"
2020년03월_여_연령구간인구수,"172,841","20,891","1,145","1,538","2,811","4,107","2,766","3,460","2,740","1,697","1,207","9,886","28,079","16,653","12,040","15,469","17,423","15,601","9,949","5,379"
2020년03월_여_0~9세,"23,163","1,653",42,54,181,166,98,204,112,52,58,"1,360","4,444","2,139","1,884","2,466","3,078","2,743","1,641",788
2020년03월_여_10~19세,"20,292","2,081",55,64,173,196,154,205,180,64,95,"1,682","3,444","2,248","2,056","2,070","2,259","1,573","1,193",500
2020년03월_여_20~29세,"17,972","2,801",123,123,264,351,360,307,251,132,123,839,"3,270","2,056",849,"1,440","1,348","1,651","1,023",661
2020년03월_여_30~39세,"31,502","2,494",98,120,257,326,243,289,210,99,85,"1,505","6,396","3,143","2,097","3,210","3,714","3,862","2,153","1,201"
2020년03월_여_40~49세,"32,082","3,259",113,135,338,394,306,361,303,145,154,"2,345","5,411","3,517","3,038","3,093","3,588","2,801","1,884",897
2020년03월_여_50~59세,"20,804","3,224",226,244,468,737,541,578,480,309,197,"1,163","2,872","1,793","1,162","1,547","1,731","1,698","1,088",746
2020년03월_여_60~69세,"14,108","2,590",209,309,494,811,487,622,442,374,193,569,"1,489",960,571,981,"1,154",831,628,394
2020년03월_여_70~79세,"7,444","1,713",145,228,370,611,299,501,391,264,155,253,457,456,236,412,384,260,205,104
2020년03월_여_80~89세,"4,582",909,113,212,237,436,241,336,297,216,128,148,242,284,115,217,131,142,108,70
2020년03월_여_90~99세,845,156,19,46,28,73,35,53,69,37,18,20,53,57,31,33,35,39,25,18
2020년03월_여_100세 이상,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0
