카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년11월_계_총인구수,"233,303","5,984","9,884","11,466","8,292","8,664","16,929","16,285","13,301","17,972","27,368","2,374","10,132","29,784","19,876","33,900","1,092"
2020년11월_계_연령구간인구수,"233,303","5,984","9,884","11,466","8,292","8,664","16,929","16,285","13,301","17,972","27,368","2,374","10,132","29,784","19,876","33,900","1,092"
2020년11월_계_0~9세,"13,081",114,337,344,278,306,898,"1,178",538,925,"2,654",69,516,"1,248","1,357","2,243",76
2020년11월_계_10~19세,"17,837",287,502,577,365,463,"1,440","1,363",837,"1,200","2,484",109,716,"2,148","1,917","3,315",114
2020년11월_계_20~29세,"33,455",568,"1,144","1,242",851,907,"2,550","2,321","1,596","5,692","3,430",207,"1,133","4,604","2,603","4,525",82
2020년11월_계_30~39세,"25,426",507,977,"1,119",832,822,"1,813","2,013","1,484","2,008","3,788",201,962,"3,078","2,246","3,497",79
2020년11월_계_40~49세,"32,342",771,"1,207","1,359",992,"1,137","2,406","2,321","1,793","2,202","4,734",231,"1,273","3,769","3,024","4,949",174
2020년11월_계_50~59세,"40,808","1,178","2,016","2,340","1,629","1,484","3,007","2,826","2,342","2,276","3,783",494,"1,808","5,636","3,655","6,162",172
2020년11월_계_60~69세,"38,627","1,353","2,161","2,424","1,910","1,787","2,661","2,436","2,637","1,979","3,352",533,"1,928","5,071","2,910","5,262",223
2020년11월_계_70~79세,"21,670",827,"1,101","1,462","1,055","1,239","1,440","1,176","1,512","1,138","2,025",351,"1,217","2,925","1,476","2,618",108
2020년11월_계_80~89세,"8,681",334,379,533,327,468,623,565,496,486,857,158,505,"1,153",600,"1,146",51
2020년11월_계_90~99세,"1,176",34,46,55,49,48,84,81,63,55,163,17,70,146,80,174,11
2020년11월_계_100세 이상,200,11,14,11,4,3,7,5,3,11,98,4,4,6,8,9,2
2020년11월_남_총인구수,"113,883","3,038","4,930","5,732","4,386","4,179","8,105","7,775","6,388","9,209","13,166","1,263","4,957","14,580","9,431","16,212",532
2020년11월_남_연령구간인구수,"113,883","3,038","4,930","5,732","4,386","4,179","8,105","7,775","6,388","9,209","13,166","1,263","4,957","14,580","9,431","16,212",532
2020년11월_남_0~9세,"6,694",59,166,180,153,167,486,595,270,442,"1,381",39,265,645,687,"1,124",35
2020년11월_남_10~19세,"9,173",154,254,284,197,227,749,679,456,612,"1,368",60,375,"1,081",935,"1,679",63
2020년11월_남_20~29세,"18,004",321,630,694,478,500,"1,292","1,209",844,"3,231","1,790",120,642,"2,515","1,356","2,334",48
2020년11월_남_30~39세,"13,216",309,537,637,477,447,919,"1,012",788,"1,117","1,793",125,500,"1,687","1,110","1,721",37
2020년11월_남_40~49세,"16,085",453,658,758,606,633,"1,133","1,095",916,"1,130","2,329",129,611,"1,864","1,404","2,280",86
2020년11월_남_50~59세,"19,346",622,987,"1,160",842,698,"1,394","1,307","1,072","1,084","1,742",266,860,"2,643","1,691","2,891",87
2020년11월_남_60~69세,"18,016",618,"1,027","1,167",979,799,"1,250","1,123","1,161",888,"1,498",285,875,"2,384","1,350","2,501",111
2020년11월_남_70~79세,"9,884",382,523,636,522,540,632,533,681,502,902,178,588,"1,310",680,"1,228",47
2020년11월_남_80~89세,"3,142",114,134,205,120,149,227,200,190,186,306,53,214,417,205,408,14
2020년11월_남_90~99세,281,5,10,11,11,17,22,20,10,15,34,7,27,33,12,44,3
2020년11월_남_100세 이상,42,1,4,0,1,2,1,2,0,2,23,1,0,1,1,2,1
2020년11월_여_총인구수,"119,420","2,946","4,954","5,734","3,906","4,485","8,824","8,510","6,913","8,763","14,202","1,111","5,175","15,204","10,445","17,688",560
2020년11월_여_연령구간인구수,"119,420","2,946","4,954","5,734","3,906","4,485","8,824","8,510","6,913","8,763","14,202","1,111","5,175","15,204","10,445","17,688",560
2020년11월_여_0~9세,"6,387",55,171,164,125,139,412,583,268,483,"1,273",30,251,603,670,"1,119",41
2020년11월_여_10~19세,"8,664",133,248,293,168,236,691,684,381,588,"1,116",49,341,"1,067",982,"1,636",51
2020년11월_여_20~29세,"15,451",247,514,548,373,407,"1,258","1,112",752,"2,461","1,640",87,491,"2,089","1,247","2,191",34
