카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년01월_계_총인구수,"27,946","12,585","2,873","2,320","2,568","3,017","4,583"
2021년01월_계_연령구간인구수,"27,946","12,585","2,873","2,320","2,568","3,017","4,583"
2021년01월_계_0~9세,"1,358",857,74,72,80,91,184
2021년01월_계_10~19세,"1,818","1,134",168,91,90,117,218
2021년01월_계_20~29세,"2,419","1,268",221,189,156,161,424
2021년01월_계_30~39세,"2,336","1,267",161,147,196,216,349
2021년01월_계_40~49세,"3,522","1,934",312,244,232,313,487
2021년01월_계_50~59세,"5,056","2,169",532,459,475,518,903
2021년01월_계_60~69세,"5,590","2,021",658,487,644,724,"1,056"
2021년01월_계_70~79세,"3,638","1,221",465,376,435,512,629
2021년01월_계_80~89세,"1,870",603,239,225,222,304,277
2021년01월_계_90~99세,323,108,43,26,35,57,54
2021년01월_계_100세 이상,16,3,0,4,3,4,2
2021년01월_남_총인구수,"14,210","6,349","1,477","1,179","1,323","1,557","2,325"
2021년01월_남_연령구간인구수,"14,210","6,349","1,477","1,179","1,323","1,557","2,325"
2021년01월_남_0~9세,689,427,42,38,40,50,92
2021년01월_남_10~19세,971,615,93,37,52,61,113
2021년01월_남_20~29세,"1,423",736,130,114,100,99,244
2021년01월_남_30~39세,"1,256",643,97,77,117,122,200
2021년01월_남_40~49세,"1,926",979,172,147,144,202,282
2021년01월_남_50~59세,"2,707","1,138",307,254,230,296,482
2021년01월_남_60~69세,"2,803",992,321,255,340,375,520
2021년01월_남_70~79세,"1,684",572,208,165,203,243,293
2021년01월_남_80~89세,686,220,101,86,88,104,87
2021년01월_남_90~99세,64,26,6,6,9,5,12
2021년01월_남_100세 이상,1,1,0,0,0,0,0
2021년01월_여_총인구수,"13,736","6,236","1,396","1,141","1,245","1,460","2,258"
2021년01월_여_연령구간인구수,"13,736","6,236","1,396","1,141","1,245","1,460","2,258"
2021년01월_여_0~9세,669,430,32,34,40,41,92
2021년01월_여_10~19세,847,519,75,54,38,56,105
2021년01월_여_20~29세,996,532,91,75,56,62,180
2021년01월_여_30~39세,"1,080",624,64,70,79,94,149
2021년01월_여_40~49세,"1,596",955,140,97,88,111,205
2021년01월_여_50~59세,"2,349","1,031",225,205,245,222,421
2021년01월_여_60~69세,"2,787","1,029",337,232,304,349,536
2021년01월_여_70~79세,"1,954",649,257,211,232,269,336
2021년01월_여_80~89세,"1,184",383,138,139,134,200,190
2021년01월_여_90~99세,259,82,37,20,26,52,42
2021년01월_여_100세 이상,15,2,0,4,3,4,2
