카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년07월_계_총인구수,"27,859","12,348","2,890","2,351","2,548","3,075","4,647"
2020년07월_계_연령구간인구수,"27,859","12,348","2,890","2,351","2,548","3,075","4,647"
2020년07월_계_0~9세,"1,370",877,70,68,76,87,192
2020년07월_계_10~19세,"1,898","1,138",179,108,91,137,245
2020년07월_계_20~29세,"2,389","1,225",220,196,159,161,428
2020년07월_계_30~39세,"2,382","1,262",174,152,190,240,364
2020년07월_계_40~49세,"3,547","1,909",318,249,233,326,512
2020년07월_계_50~59세,"5,108","2,132",543,464,496,537,936
2020년07월_계_60~69세,"5,390","1,911",643,481,619,713,"1,023"
2020년07월_계_70~79세,"3,663","1,213",468,391,437,526,628
2020년07월_계_80~89세,"1,786",573,236,214,212,286,265
2020년07월_계_90~99세,310,105,39,23,32,58,53
2020년07월_계_100세 이상,16,3,0,5,3,4,1
2020년07월_남_총인구수,"14,159","6,217","1,486","1,194","1,316","1,584","2,362"
2020년07월_남_연령구간인구수,"14,159","6,217","1,486","1,194","1,316","1,584","2,362"
2020년07월_남_0~9세,704,451,37,35,38,47,96
2020년07월_남_10~19세,995,605,100,44,52,71,123
2020년07월_남_20~29세,"1,401",701,136,113,98,98,255
2020년07월_남_30~39세,"1,285",627,107,80,118,139,214
2020년07월_남_40~49세,"1,942",971,177,149,143,210,292
2020년07월_남_50~59세,"2,756","1,131",309,265,245,309,497
2020년07월_남_60~69세,"2,680",933,313,251,328,360,495
2020년07월_남_70~79세,"1,688",562,209,166,203,251,297
2020년07월_남_80~89세,645,208,93,85,83,95,81
2020년07월_남_90~99세,62,27,5,6,8,4,12
2020년07월_남_100세 이상,1,1,0,0,0,0,0
2020년07월_여_총인구수,"13,700","6,131","1,404","1,157","1,232","1,491","2,285"
2020년07월_여_연령구간인구수,"13,700","6,131","1,404","1,157","1,232","1,491","2,285"
2020년07월_여_0~9세,666,426,33,33,38,40,96
2020년07월_여_10~19세,903,533,79,64,39,66,122
2020년07월_여_20~29세,988,524,84,83,61,63,173
2020년07월_여_30~39세,"1,097",635,67,72,72,101,150
2020년07월_여_40~49세,"1,605",938,141,100,90,116,220
2020년07월_여_50~59세,"2,352","1,001",234,199,251,228,439
2020년07월_여_60~69세,"2,710",978,330,230,291,353,528
2020년07월_여_70~79세,"1,975",651,259,225,234,275,331
2020년07월_여_80~89세,"1,141",365,143,129,129,191,184
2020년07월_여_90~99세,248,78,34,17,24,54,41
2020년07월_여_100세 이상,15,2,0,5,3,4,1
