카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년11월_계_총인구수,"219,525","14,692","36,020","13,795","11,253","6,356","14,803","14,431","4,424","4,778","2,674","17,242","53,898","14,876","10,283"
2020년11월_계_연령구간인구수,"219,525","14,692","36,020","13,795","11,253","6,356","14,803","14,431","4,424","4,778","2,674","17,242","53,898","14,876","10,283"
2020년11월_계_0~9세,"18,905",973,"3,326","1,068",805,313,"1,475","1,237",147,182,62,"1,000","6,792",959,566
2020년11월_계_10~19세,"23,437","1,390","4,480","1,104",867,797,"1,865","1,218",249,232,118,"1,539","7,840",943,795
2020년11월_계_20~29세,"30,172","1,546","5,017","1,665","1,295",794,"2,156","2,496",387,398,188,"2,829","6,833","3,054","1,514"
2020년11월_계_30~39세,"30,498","1,509","5,112","1,845","1,271",654,"2,431","2,508",355,389,150,"2,198","8,297","2,415","1,364"
2020년11월_계_40~49세,"34,722","2,037","6,693","1,953","1,623",717,"1,966","2,120",500,509,244,"2,588","10,420","1,867","1,485"
2020년11월_계_50~59세,"35,298","2,515","5,546","2,562","2,176","1,102","1,988","1,975",873,899,454,"2,984","7,958","2,312","1,954"
2020년11월_계_60~69세,"25,710","2,394","3,372","2,051","1,706","1,039","1,561","1,531",953,"1,010",667,"2,420","3,553","1,897","1,556"
2020년11월_계_70~79세,"13,061","1,419","1,587","1,001",910,581,862,874,562,672,398,"1,127","1,423",935,710
2020년11월_계_80~89세,"6,716",805,785,458,511,313,428,400,354,416,342,495,684,429,296
2020년11월_계_90~99세,943,93,98,81,85,45,65,68,42,65,47,58,96,60,40
2020년11월_계_100세 이상,63,11,4,7,4,1,6,4,2,6,4,4,2,5,3
2020년11월_남_총인구수,"113,668","7,478","18,896","7,252","5,729","3,440","8,051","7,354","2,384","2,517","1,375","8,556","26,963","8,424","5,249"
2020년11월_남_연령구간인구수,"113,668","7,478","18,896","7,252","5,729","3,440","8,051","7,354","2,384","2,517","1,375","8,556","26,963","8,424","5,249"
2020년11월_남_0~9세,"9,782",506,"1,691",555,415,161,749,646,83,87,36,516,"3,530",507,300
2020년11월_남_10~19세,"12,326",736,"2,330",612,457,486,"1,018",607,143,123,63,789,"4,093",502,367
2020년11월_남_20~29세,"17,071",923,"2,921",911,707,452,"1,309","1,239",243,233,108,"1,501","3,624","2,101",799
2020년11월_남_30~39세,"16,350",794,"2,732",989,649,387,"1,371","1,329",227,239,96,"1,226","4,012","1,506",793
2020년11월_남_40~49세,"17,938","1,058","3,442","1,073",862,420,"1,129","1,163",290,312,152,"1,271","4,985","1,015",766
2020년11월_남_50~59세,"18,357","1,299","2,982","1,345","1,101",608,"1,080","1,039",481,495,242,"1,413","4,075","1,207",990
2020년11월_남_60~69세,"13,106","1,188","1,750","1,094",880,537,818,776,502,533,342,"1,126","1,801",955,804
2020년11월_남_70~79세,"6,018",656,736,469,422,264,406,393,268,329,195,527,604,443,306
2020년11월_남_80~89세,"2,466",288,289,183,212,114,149,146,135,155,128,168,217,171,111
2020년11월_남_90~99세,235,26,23,18,24,11,20,14,12,9,12,19,21,14,12
2020년11월_남_100세 이상,19,4,0,3,0,0,2,2,0,2,1,0,1,3,1
2020년11월_여_총인구수,"105,857","7,214","17,124","6,543","5,524","2,916","6,752","7,077","2,040","2,261","1,299","8,686","26,935","6,452","5,034"
2020년11월_여_연령구간인구수,"105,857","7,214","17,124","6,543","5,524","2,916","6,752","7,077","2,040","2,261","1,299","8,686","26,935","6,452","5,034"
2020년11월_여_0~9세,"9,123",467,"1,635",513,390,152,726,591,64,95,26,484,"3,262",452,266
2020년11월_여_10~19세,"11,111",654,"2,150",492,410,311,847,611,106,109,55,750,"3,747",441,428
2020년11월_여_20~29세,"13,101",623,"2,096",754,588,342,847,"1,257",144,165,80,"1,328","3,209",953,715
2020년11월_여_30~39세,"14,148",715,"2,380",856,622,267,"1,060","1,179",128,150,54,972,"4,285",909,571
2020년11월_여_40~49세,"16,784",979,"3,251",880,761,297,837,957,210,197,92,"1,317","5,435",852,719
2020년11월_여_50~59세,"16,941","1,216","2,564","1,217","1,075",494,908,936,392,404,212,"1,571","3,883","1,105",964
2020년11월_여_60~69세,"12,604","1,206","1,622",957,826,502,743,755,451,477,325,"1,294","1,752",942,752
2020년11월_여_70~79세,"7,043",763,851,532,488,317,456,481,294,343,203,600,819,492,404
2020년11월_여_80~89세,"4,250",517,496,275,299,199,279,254,219,261,214,327,467,258,185
2020년11월_여_90~99세,708,67,75,63,61,34,45,54,30,56,35,39,75,46,28
2020년11월_여_100세 이상,44,7,4,4,4,1,4,2,2,4,3,4,1,2,2
