,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년09월_계_총인구수,"147,803","43,942","8,625","4,622","7,803","12,597","2,172","4,887","9,480","6,262","8,539","2,811","2,765","18,861","14,437"
2020년09월_계_연령구간인구수,"147,803","43,942","8,625","4,622","7,803","12,597","2,172","4,887","9,480","6,262","8,539","2,811","2,765","18,861","14,437"
2020년09월_계_0~9세,"8,770","2,917",608,123,226,691,50,198,512,518,662,63,206,"1,270",726
2020년09월_계_10~19세,"12,498","4,975",584,204,495,978,80,272,697,367,443,150,158,"1,886","1,209"
2020년09월_계_20~29세,"17,943","5,797",958,441,796,"1,507",192,422,961,878,991,232,290,"2,570","1,908"
2020년09월_계_30~39세,"14,714","4,357","1,106",351,623,"1,234",120,289,880,856,"1,018",121,340,"2,004","1,415"
2020년09월_계_40~49세,"20,722","7,290","1,141",560,904,"1,700",209,534,"1,203",626,887,274,281,"2,794","2,319"
2020년09월_계_50~59세,"29,339","8,945","1,640","1,106","1,940","2,541",390,"1,028","1,600",942,"1,348",542,469,"3,619","3,229"
2020년09월_계_60~69세,"23,889","5,661","1,425","1,024","1,614","2,224",556,"1,082","1,815","1,004","1,472",658,527,"2,652","2,175"
2020년09월_계_70~79세,"12,493","2,562",724,502,708,"1,082",370,669,"1,095",691,"1,023",492,302,"1,341",932
2020년09월_계_80~89세,"6,372","1,223",383,280,422,539,186,341,593,342,567,248,170,620,458
2020년09월_계_90~99세,988,202,55,29,73,93,19,49,117,34,113,28,21,95,60
2020년09월_계_100세 이상,75,13,1,2,2,8,0,3,7,4,15,3,1,10,6
2020년09월_남_총인구수,"78,196","22,432","4,645","2,650","4,558","6,930","1,212","2,655","4,907","3,400","4,549","1,463","1,456","9,565","7,774"
2020년09월_남_연령구간인구수,"78,196","22,432","4,645","2,650","4,558","6,930","1,212","2,655","4,907","3,400","4,549","1,463","1,456","9,565","7,774"
2020년09월_남_0~9세,"4,542","1,498",315,74,110,368,29,97,264,274,346,28,102,638,399
2020년09월_남_10~19세,"6,547","2,581",296,115,251,545,50,139,381,174,228,73,73,"1,008",633
2020년09월_남_20~29세,"10,399","3,135",562,277,476,908,128,253,571,592,672,149,164,"1,414","1,098"
2020년09월_남_30~39세,"8,160","2,219",621,220,391,707,81,170,531,503,605,80,195,"1,059",778
2020년09월_남_40~49세,"11,162","3,617",646,350,586,939,119,329,672,373,514,161,164,"1,420","1,272"
2020년09월_남_50~59세,"16,120","4,757",891,649,"1,217","1,470",234,610,836,504,743,295,247,"1,851","1,816"
2020년09월_남_60~69세,"12,936","2,973",808,603,981,"1,253",312,609,925,528,761,345,303,"1,361","1,174"
2020년09월_남_70~79세,"5,760","1,178",349,237,369,518,171,299,491,330,429,227,147,578,437
2020년09월_남_80~89세,"2,314",428,144,120,166,199,81,130,203,112,219,95,56,213,148
2020년09월_남_90~99세,227,42,12,4,10,22,7,17,28,10,27,7,5,19,17
2020년09월_남_100세 이상,29,4,1,1,1,1,0,2,5,0,5,3,0,4,2
2020년09월_여_총인구수,"69,607","21,510","3,980","1,972","3,245","5,667",960,"2,232","4,573","2,862","3,990","1,348","1,309","9,296","6,663"
2020년09월_여_연령구간인구수,"69,607","21,510","3,980","1,972","3,245","5,667",960,"2,232","4,573","2,862","3,990","1,348","1,309","9,296","6,663"
2020년09월_여_0~9세,"4,228","1,419",293,49,116,323,21,101,248,244,316,35,104,632,327
2020년09월_여_10~19세,"5,951","2,394",288,89,244,433,30,133,316,193,215,77,85,878,576
2020년09월_여_20~29세,"7,544","2,662",396,164,320,599,64,169,390,286,319,83,126,"1,156",810
2020년09월_여_30~39세,"6,554","2,138",485,131,232,527,39,119,349,353,413,41,145,945,637
2020년09월_여_40~49세,"9,560","3,673",495,210,318,761,90,205,531,253,373,113,117,"1,374","1,047"
2020년09월_여_50~59세,"13,219","4,188",749,457,723,"1,071",156,418,764,438,605,247,222,"1,768","1,413"
2020년09월_여_60~69세,"10,953","2,688",617,421,633,971,244,473,890,476,711,313,224,"1,291","1,001"
2020년09월_여_70~79세,"6,733","1,384",375,265,339,564,199,370,604,361,594,265,155,763,495
2020년09월_여_80~89세,"4,058",795,239,160,256,340,105,211,390,230,348,153,114,407,310
2020년09월_여_90~99세,761,160,43,25,63,71,12,32,89,24,86,21,16,76,43
2020년09월_여_100세 이상,46,9,0,1,1,7,0,1,2,4,10,0,1,6,4
