카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년05월_계_총인구수,"27,787","12,242","2,905","2,368","2,532","3,071","4,669"
2020년05월_계_연령구간인구수,"27,787","12,242","2,905","2,368","2,532","3,071","4,669"
2020년05월_계_0~9세,"1,380",871,78,71,75,87,198
2020년05월_계_10~19세,"1,912","1,140",178,112,98,135,249
2020년05월_계_20~29세,"2,390","1,204",222,200,156,168,440
2020년05월_계_30~39세,"2,379","1,265",183,153,175,243,360
2020년05월_계_40~49세,"3,551","1,887",325,262,240,317,520
2020년05월_계_50~59세,"5,094","2,113",545,458,496,534,948
2020년05월_계_60~69세,"5,305","1,878",633,478,610,705,"1,001"
2020년05월_계_70~79세,"3,670","1,205",471,395,436,528,635
2020년05월_계_80~89세,"1,776",571,233,209,210,290,263
2020년05월_계_90~99세,314,106,37,25,33,60,53
2020년05월_계_100세 이상,16,2,0,5,3,4,2
2020년05월_남_총인구수,"14,140","6,182","1,494","1,203","1,307","1,575","2,379"
2020년05월_남_연령구간인구수,"14,140","6,182","1,494","1,203","1,307","1,575","2,379"
2020년05월_남_0~9세,713,449,43,38,36,48,99
2020년05월_남_10~19세,999,607,97,47,54,69,125
2020년05월_남_20~29세,"1,416",696,134,116,99,103,268
2020년05월_남_30~39세,"1,286",634,115,79,110,139,209
2020년05월_남_40~49세,"1,948",966,181,154,147,205,295
2020년05월_남_50~59세,"2,744","1,117",307,266,248,303,503
2020년05월_남_60~69세,"2,636",924,307,245,322,353,485
2020년05월_남_70~79세,"1,683",550,214,168,202,250,299
2020년05월_남_80~89세,648,211,91,83,81,99,83
2020년05월_남_90~99세,66,27,5,7,8,6,13
2020년05월_남_100세 이상,1,1,0,0,0,0,0
2020년05월_여_총인구수,"13,647","6,060","1,411","1,165","1,225","1,496","2,290"
2020년05월_여_연령구간인구수,"13,647","6,060","1,411","1,165","1,225","1,496","2,290"
2020년05월_여_0~9세,667,422,35,33,39,39,99
2020년05월_여_10~19세,913,533,81,65,44,66,124
2020년05월_여_20~29세,974,508,88,84,57,65,172
2020년05월_여_30~39세,"1,093",631,68,74,65,104,151
2020년05월_여_40~49세,"1,603",921,144,108,93,112,225
2020년05월_여_50~59세,"2,350",996,238,192,248,231,445
2020년05월_여_60~69세,"2,669",954,326,233,288,352,516
2020년05월_여_70~79세,"1,987",655,257,227,234,278,336
2020년05월_여_80~89세,"1,128",360,142,126,129,191,180
2020년05월_여_90~99세,248,79,32,18,25,54,40
2020년05월_여_100세 이상,15,1,0,5,3,4,2
