카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년11월_계_총인구수,"163,978","14,618","29,596","37,870","21,300","23,541","37,053"
2020년11월_계_연령구간인구수,"163,978","14,618","29,596","37,870","21,300","23,541","37,053"
2020년11월_계_0~9세,"13,210",902,"2,224","2,831","1,560","2,378","3,315"
2020년11월_계_10~19세,"14,694",998,"2,454","3,899","2,078","2,129","3,136"
2020년11월_계_20~29세,"23,519","2,526","4,164","5,020","3,349","3,298","5,162"
2020년11월_계_30~39세,"22,961","2,619","4,191","4,750","2,429","3,570","5,402"
2020년11월_계_40~49세,"24,688","1,794","4,431","5,998","3,218","3,606","5,641"
2020년11월_계_50~59세,"29,526","2,096","5,165","6,866","4,260","4,223","6,916"
2020년11월_계_60~69세,"21,341","2,144","3,775","5,357","2,671","2,690","4,704"
2020년11월_계_70~79세,"9,061","1,031","2,014","2,136","1,061","1,018","1,801"
2020년11월_계_80~89세,"4,218",422,"1,026",858,569,533,810
2020년11월_계_90~99세,712,83,139,149,93,91,157
2020년11월_계_100세 이상,48,3,13,6,12,5,9
2020년11월_남_총인구수,"81,584","7,437","15,053","18,808","10,437","11,571","18,278"
2020년11월_남_연령구간인구수,"81,584","7,437","15,053","18,808","10,437","11,571","18,278"
2020년11월_남_0~9세,"6,843",488,"1,155","1,411",815,"1,216","1,758"
2020년11월_남_10~19세,"7,599",524,"1,266","2,032","1,107","1,135","1,535"
2020년11월_남_20~29세,"12,348","1,310","2,267","2,637","1,712","1,687","2,735"
2020년11월_남_30~39세,"11,776","1,445","2,275","2,409","1,193","1,718","2,736"
2020년11월_남_40~49세,"12,196",931,"2,317","2,913","1,522","1,784","2,729"
2020년11월_남_50~59세,"14,223",993,"2,564","3,330","2,031","2,016","3,289"
2020년11월_남_60~69세,"10,719","1,068","1,903","2,693","1,367","1,363","2,325"
2020년11월_남_70~79세,"4,250",513,888,"1,043",476,452,878
2020년11월_남_80~89세,"1,458",149,373,308,195,177,256
2020년11월_남_90~99세,159,14,41,30,18,22,34
2020년11월_남_100세 이상,13,2,4,2,1,1,3
2020년11월_여_총인구수,"82,394","7,181","14,543","19,062","10,863","11,970","18,775"
2020년11월_여_연령구간인구수,"82,394","7,181","14,543","19,062","10,863","11,970","18,775"
2020년11월_여_0~9세,"6,367",414,"1,069","1,420",745,"1,162","1,557"
2020년11월_여_10~19세,"7,095",474,"1,188","1,867",971,994,"1,601"
2020년11월_여_20~29세,"11,171","1,216","1,897","2,383","1,637","1,611","2,427"
2020년11월_여_30~39세,"11,185","1,174","1,916","2,341","1,236","1,852","2,666"
2020년11월_여_40~49세,"12,492",863,"2,114","3,085","1,696","1,822","2,912"
2020년11월_여_50~59세,"15,303","1,103","2,601","3,536","2,229","2,207","3,627"
2020년11월_여_60~69세,"10,622","1,076","1,872","2,664","1,304","1,327","2,379"
2020년11월_여_70~79세,"4,811",518,"1,126","1,093",585,566,923
2020년11월_여_80~89세,"2,760",273,653,550,374,356,554
2020년11월_여_90~99세,553,69,98,119,75,69,123
2020년11월_여_100세 이상,35,1,9,4,11,4,6
