,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년04월_계_총인구수,"399,821","22,814","31,197","28,735","26,927","15,938","18,216","32,274","16,211","23,351","9,980","34,949","12,927","8,802","16,323","14,181","23,782","38,125","25,089"
2021년04월_계_연령구간인구수,"399,821","22,814","31,197","28,735","26,927","15,938","18,216","32,274","16,211","23,351","9,980","34,949","12,927","8,802","16,323","14,181","23,782","38,125","25,089"
2021년04월_계_0~9세,"28,044","1,265","2,876","2,881","2,101","1,245","1,237","2,043","1,065","1,765",506,"2,574",482,238,"1,248",370,896,"3,978","1,274"
2021년04월_계_10~19세,"37,608","1,560","3,141","3,123","2,472","1,171","2,006","2,876","1,803","2,957",504,"4,191",629,507,"1,556",748,"1,467","4,919","1,978"
2021년04월_계_20~29세,"48,205","2,981","3,483","2,812","3,393","1,691","2,808","5,066","1,915","2,949","1,157","4,133","1,428",970,"2,077","1,603","2,417","4,142","3,180"
2021년04월_계_30~39세,"46,134","2,944","3,799","3,437","3,383","2,224","2,082","4,475","1,620","2,419","1,267","3,634","1,516",793,"1,953","1,155","1,936","4,678","2,819"
2021년04월_계_40~49세,"65,277","3,409","5,335","5,023","4,608","2,743","3,225","4,964","2,506","4,027","1,328","6,176","1,729","1,132","2,620","1,730","3,109","7,759","3,854"
2021년04월_계_50~59세,"69,679","3,855","5,408","4,794","4,700","2,776","3,154","5,745","2,982","4,280","1,727","6,260","2,361","1,673","2,953","2,685","4,189","5,510","4,627"
2021년04월_계_60~69세,"58,799","3,685","4,003","3,872","3,476","2,460","1,887","3,939","2,284","2,733","1,963","4,738","2,574","1,876","2,499","2,852","5,129","4,312","4,517"
2021년04월_계_70~79세,"30,925","2,146","2,098","1,873","1,866","1,138","1,089","1,982","1,214","1,360",995,"2,231","1,537","1,095","1,038","2,063","3,159","2,052","1,989"
2021년04월_계_80~89세,"13,309",828,901,800,814,408,651,"1,049",718,764,469,876,618,472,332,868,"1,306",682,753
2021년04월_계_90~99세,"1,751",115,148,117,95,75,75,133,104,95,63,134,51,46,45,102,170,89,94
2021년04월_계_100세 이상,90,26,5,3,19,7,2,2,0,2,1,2,2,0,2,5,4,4,4
2021년04월_남_총인구수,"192,392","10,850","14,841","13,635","12,966","7,564","8,510","14,871","7,621","11,110","4,833","17,293","6,282","4,319","8,021","7,119","11,576","18,761","12,220"
2021년04월_남_연령구간인구수,"192,392","10,850","14,841","13,635","12,966","7,564","8,510","14,871","7,621","11,110","4,833","17,293","6,282","4,319","8,021","7,119","11,576","18,761","12,220"
2021년04월_남_0~9세,"14,467",631,"1,492","1,485","1,100",604,617,"1,059",533,928,285,"1,318",238,132,643,187,470,"2,089",656
2021년04월_남_10~19세,"19,400",795,"1,593","1,564","1,282",607,"1,065","1,465",940,"1,502",275,"2,209",330,275,798,383,774,"2,531","1,012"
2021년04월_남_20~29세,"25,226","1,461","1,814","1,499","1,749",888,"1,321","2,379","1,036","1,546",629,"2,247",798,544,"1,104",914,"1,327","2,200","1,770"
2021년04월_남_30~39세,"22,520","1,472","1,729","1,482","1,608","1,053",966,"2,134",774,"1,134",681,"1,760",845,461,978,680,"1,089","2,210","1,464"
2021년04월_남_40~49세,"31,012","1,618","2,431","2,319","2,137","1,327","1,396","2,186","1,107","1,772",707,"2,881",923,603,"1,297",984,"1,694","3,673","1,957"
2021년04월_남_50~59세,"33,186","1,816","2,578","2,191","2,259","1,275","1,554","2,553","1,380","2,023",778,"3,133","1,128",829,"1,379","1,393","2,060","2,753","2,104"
2021년04월_남_60~69세,"27,765","1,692","1,865","1,852","1,664","1,145",896,"1,871","1,072","1,340",892,"2,346","1,156",842,"1,201","1,406","2,408","2,033","2,084"
2021년04월_남_70~79세,"13,652",991,963,878,817,496,437,804,493,568,419,"1,057",648,472,513,833,"1,328","1,010",925
2021년04월_남_80~89세,"4,748",341,344,331,324,146,225,384,256,274,156,313,203,153,99,320,398,246,235
2021년04월_남_90~99세,389,25,31,33,22,21,32,35,30,22,11,27,12,8,8,17,28,15,12
2021년04월_남_100세 이상,27,8,1,1,4,2,1,1,0,1,0,2,1,0,1,2,0,1,1
2021년04월_여_총인구수,"207,429","11,964","16,356","15,100","13,961","8,374","9,706","17,403","8,590","12,241","5,147","17,656","6,645","4,483","8,302","7,062","12,206","19,364","12,869"
2021년04월_여_연령구간인구수,"207,429","11,964","16,356","15,100","13,961","8,374","9,706","17,403","8,590","12,241","5,147","17,656","6,645","4,483","8,302","7,062","12,206","19,364","12,869"
2021년04월_여_0~9세,"13,577",634,"1,384","1,396","1,001",641,620,984,532,837,221,"1,256",244,106,605,183,426,"1,889",618
2021년04월_여_10~19세,"18,208",765,"1,548","1,559","1,190",564,941,"1,411",863,"1,455",229,"1,982",299,232,758,365,693,"2,388",966
2021년04월_여_20~29세,"22,979","1,520","1,669","1,313","1,644",803,"1,487","2,687",879,"1,403",528,"1,886",630,426,973,689,"1,090","1,942","1,410"
2021년04월_여_30~39세,"23,614","1,472","2,070","1,955","1,775","1,171","1,116","2,341",846,"1,285",586,"1,874",671,332,975,475,847,"2,468","1,355"
2021년04월_여_40~49세,"34,265","1,791","2,904","2,704","2,471","1,416","1,829","2,778","1,399","2,255",621,"3,295",806,529,"1,323",746,"1,415","4,086","1,897"
2021년04월_여_50~59세,"36,493","2,039","2,830","2,603","2,441","1,501","1,600","3,192","1,602","2,257",949,"3,127","1,233",844,"1,574","1,292","2,129","2,757","2,523"
2021년04월_여_60~69세,"31,034","1,993","2,138","2,020","1,812","1,315",991,"2,068","1,212","1,393","1,071","2,392","1,418","1,034","1,298","1,446","2,721","2,279","2,433"
2021년04월_여_70~79세,"17,273","1,155","1,135",995,"1,049",642,652,"1,178",721,792,576,"1,174",889,623,525,"1,230","1,831","1,042","1,064"
2021년04월_여_80~89세,"8,561",487,557,469,490,262,426,665,462,490,313,563,415,319,233,548,908,436,518
2021년04월_여_90~99세,"1,362",90,117,84,73,54,43,98,74,73,52,107,39,38,37,85,142,74,82
2021년04월_여_100세 이상,63,18,4,2,15,5,1,1,0,1,1,0,1,0,1,3,4,3,3
