,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년11월_계_총인구수,"80,784","3,848","2,621","1,162","2,050","1,834","2,312","1,632","1,662","1,518",941,"1,532","1,875","2,300","1,924","2,119","2,735","3,535","3,386","6,187","6,815","4,118","7,241","17,437"
2020년11월_계_연령구간인구수,"80,784","3,848","2,621","1,162","2,050","1,834","2,312","1,632","1,662","1,518",941,"1,532","1,875","2,300","1,924","2,119","2,735","3,535","3,386","6,187","6,815","4,118","7,241","17,437"
2020년11월_계_0~9세,"5,030",160,95,48,63,70,77,52,63,56,23,62,62,98,92,87,119,188,177,582,600,215,413,"1,628"
2020년11월_계_10~19세,"7,363",186,167,55,109,100,107,73,91,63,35,71,93,164,116,187,201,365,243,613,771,330,646,"2,577"
2020년11월_계_20~29세,"7,615",285,226,75,146,118,126,75,101,113,56,99,123,183,114,139,175,377,368,701,627,451,794,"2,143"
2020년11월_계_30~39세,"6,446",217,145,58,121,78,112,69,98,74,55,60,97,130,104,98,148,284,266,701,669,387,607,"1,868"
2020년11월_계_40~49세,"10,776",350,292,110,170,165,227,136,142,115,62,140,168,222,173,270,298,464,463,950,"1,115",517,"1,003","3,224"
2020년11월_계_50~59세,"13,752",700,495,189,376,305,356,241,301,267,164,240,333,423,321,490,531,623,544,985,"1,030",692,"1,333","2,813"
2020년11월_계_60~69세,"12,888",783,529,228,417,360,491,355,355,273,215,262,355,417,391,351,590,537,589,796,966,695,"1,147","1,786"
2020년11월_계_70~79세,"9,822",626,401,196,325,341,458,311,267,296,183,306,346,336,351,283,412,450,479,565,687,530,780,893
2020년11월_계_80~89세,"6,102",461,223,172,273,258,313,270,204,235,128,255,259,279,221,192,223,221,217,260,303,251,450,434
2020년11월_계_90~99세,950,77,44,31,49,38,44,48,39,26,20,33,36,46,38,21,36,26,39,32,45,47,65,70
2020년11월_계_100세 이상,40,3,4,0,1,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,1
2020년11월_남_총인구수,"39,616","1,846","1,328",570,"1,012",908,"1,096",786,841,778,476,767,935,"1,136",949,"1,039","1,340","1,677","1,591","2,986","3,297","2,010","3,670","8,578"
2020년11월_남_연령구간인구수,"39,616","1,846","1,328",570,"1,012",908,"1,096",786,841,778,476,767,935,"1,136",949,"1,039","1,340","1,677","1,591","2,986","3,297","2,010","3,670","8,578"
2020년11월_남_0~9세,"2,666",86,56,23,28,40,31,34,34,33,18,31,34,55,54,45,61,101,90,311,306,110,214,871
2020년11월_남_10~19세,"3,799",88,73,31,54,58,55,37,49,37,20,35,52,92,60,95,116,186,116,287,384,193,330,"1,351"
2020년11월_남_20~29세,"4,255",152,134,43,83,76,76,37,62,66,31,50,76,94,61,79,112,213,200,383,362,269,438,"1,158"
2020년11월_남_30~39세,"3,289",121,76,29,71,46,64,39,58,35,33,33,54,70,62,53,66,143,136,353,311,215,326,895
2020년11월_남_40~49세,"5,504",190,162,74,99,102,143,88,89,72,40,96,101,121,106,131,163,213,230,452,567,251,519,"1,495"
2020년11월_남_50~59세,"7,318",374,277,101,212,183,194,142,169,172,98,144,198,239,185,277,276,310,279,504,524,328,727,"1,405"
2020년11월_남_60~69세,"6,446",419,273,120,237,181,248,183,195,141,111,127,183,234,197,190,290,237,256,383,459,331,586,865
2020년11월_남_70~79세,"4,122",247,188,93,130,128,179,129,117,131,79,144,154,134,147,113,167,184,199,224,271,219,360,385
2020년11월_남_80~89세,"1,985",155,73,48,87,85,98,84,59,84,39,96,75,87,66,55,83,81,72,81,101,82,151,143
2020년11월_남_90~99세,221,13,16,8,11,9,8,12,8,7,7,8,7,10,10,1,6,9,13,7,11,11,19,10
2020년11월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년11월_여_총인구수,"41,168","2,002","1,293",592,"1,038",926,"1,216",846,821,740,465,765,940,"1,164",975,"1,080","1,395","1,858","1,795","3,201","3,518","2,108","3,571","8,859"
2020년11월_여_연령구간인구수,"41,168","2,002","1,293",592,"1,038",926,"1,216",846,821,740,465,765,940,"1,164",975,"1,080","1,395","1,858","1,795","3,201","3,518","2,108","3,571","8,859"
2020년11월_여_0~9세,"2,364",74,39,25,35,30,46,18,29,23,5,31,28,43,38,42,58,87,87,271,294,105,199,757
2020년11월_여_10~19세,"3,564",98,94,24,55,42,52,36,42,26,15,36,41,72,56,92,85,179,127,326,387,137,316,"1,226"
2020년11월_여_20~29세,"3,360",133,92,32,63,42,50,38,39,47,25,49,47,89,53,60,63,164,168,318,265,182,356,985
2020년11월_여_30~39세,"3,157",96,69,29,50,32,48,30,40,39,22,27,43,60,42,45,82,141,130,348,358,172,281,973
2020년11월_여_40~49세,"5,272",160,130,36,71,63,84,48,53,43,22,44,67,101,67,139,135,251,233,498,548,266,484,"1,729"
2020년11월_여_50~59세,"6,434",326,218,88,164,122,162,99,132,95,66,96,135,184,136,213,255,313,265,481,506,364,606,"1,408"
2020년11월_여_60~69세,"6,442",364,256,108,180,179,243,172,160,132,104,135,172,183,194,161,300,300,333,413,507,364,561,921
