카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년01월_계_총인구수,"373,274","108,520","43,498","22,862","9,077","14,427","1,484","2,689","43,529","60,768","66,420"
2020년01월_계_연령구간인구수,"373,274","108,520","43,498","22,862","9,077","14,427","1,484","2,689","43,529","60,768","66,420"
2020년01월_계_0~9세,"36,137","11,395","3,825","1,464",528,"1,062",41,154,"4,234","5,182","8,252"
2020년01월_계_10~19세,"33,533","8,637","4,599","1,905",604,"1,170",69,217,"4,103","5,768","6,461"
2020년01월_계_20~29세,"43,908","12,912","5,067","2,838",975,"1,141",113,198,"5,682","7,846","7,136"
2020년01월_계_30~39세,"59,500","20,689","5,928","2,804",985,"1,482",87,240,"6,767","8,651","11,867"
2020년01월_계_40~49세,"64,822","18,828","7,852","3,653","1,313","2,320",165,398,"7,419","10,577","12,297"
2020년01월_계_50~59세,"61,699","16,588","7,405","4,534","1,785","2,488",270,506,"7,400","11,008","9,715"
2020년01월_계_60~69세,"43,938","11,662","5,172","3,197","1,612","2,667",362,490,"4,789","7,296","6,691"
2020년01월_계_70~79세,"20,868","5,586","2,525","1,578",820,"1,463",240,305,"2,231","3,198","2,922"
2020년01월_계_80~89세,"7,642","1,910",990,764,390,537,118,152,779,"1,076",926
2020년01월_계_90~99세,"1,131",297,132,106,58,91,19,26,110,144,148
2020년01월_계_100세 이상,96,16,3,19,7,6,0,3,15,22,5
2020년01월_남_총인구수,"191,127","55,113","22,663","12,218","5,010","7,362",765,"1,431","22,177","30,735","33,653"
2020년01월_남_연령구간인구수,"191,127","55,113","22,663","12,218","5,010","7,362",765,"1,431","22,177","30,735","33,653"
2020년01월_남_0~9세,"18,574","5,859","1,964",746,281,549,20,75,"2,240","2,612","4,228"
2020년01월_남_10~19세,"17,181","4,458","2,328",998,319,624,41,113,"2,083","2,886","3,331"
2020년01월_남_20~29세,"23,137","6,720","2,701","1,584",574,632,57,96,"2,959","4,165","3,649"
2020년01월_남_30~39세,"31,096","10,854","3,143","1,562",576,761,44,133,"3,460","4,585","5,978"
2020년01월_남_40~49세,"34,435","10,055","4,211","1,997",778,"1,293",93,235,"3,871","5,471","6,431"
2020년01월_남_50~59세,"31,377","8,075","3,996","2,517","1,013","1,243",145,284,"3,778","5,416","4,910"
2020년01월_남_60~69세,"22,119","5,652","2,718","1,725",888,"1,299",195,275,"2,430","3,665","3,272"
2020년01월_남_70~79세,"10,101","2,670","1,211",768,415,739,116,151,"1,046","1,506","1,479"
2020년01월_남_80~89세,"2,843",699,371,291,151,202,46,63,285,392,343
2020년01월_남_90~99세,244,67,20,25,14,19,8,6,19,34,32
2020년01월_남_100세 이상,20,4,0,5,1,1,0,0,6,3,0
2020년01월_여_총인구수,"182,147","53,407","20,835","10,644","4,067","7,065",719,"1,258","21,352","30,033","32,767"
2020년01월_여_연령구간인구수,"182,147","53,407","20,835","10,644","4,067","7,065",719,"1,258","21,352","30,033","32,767"
2020년01월_여_0~9세,"17,563","5,536","1,861",718,247,513,21,79,"1,994","2,570","4,024"
2020년01월_여_10~19세,"16,352","4,179","2,271",907,285,546,28,104,"2,020","2,882","3,130"
2020년01월_여_20~29세,"20,771","6,192","2,366","1,254",401,509,56,102,"2,723","3,681","3,487"
2020년01월_여_30~39세,"28,404","9,835","2,785","1,242",409,721,43,107,"3,307","4,066","5,889"
2020년01월_여_40~49세,"30,387","8,773","3,641","1,656",535,"1,027",72,163,"3,548","5,106","5,866"
2020년01월_여_50~59세,"30,322","8,513","3,409","2,017",772,"1,245",125,222,"3,622","5,592","4,805"
2020년01월_여_60~69세,"21,819","6,010","2,454","1,472",724,"1,368",167,215,"2,359","3,631","3,419"
2020년01월_여_70~79세,"10,767","2,916","1,314",810,405,724,124,154,"1,185","1,692","1,443"
2020년01월_여_80~89세,"4,799","1,211",619,473,239,335,72,89,494,684,583
2020년01월_여_90~99세,887,230,112,81,44,72,11,20,91,110,116
2020년01월_여_100세 이상,76,12,3,14,6,5,0,3,9,19,5
