카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년10월_계_총인구수,"150,461","48,753","2,144","3,033","2,814","2,834","2,799","1,792","1,662","57,983","12,509","12,320","1,818"
2020년10월_계_연령구간인구수,"150,461","48,753","2,144","3,033","2,814","2,834","2,799","1,792","1,662","57,983","12,509","12,320","1,818"
2020년10월_계_0~9세,"13,500","4,497",69,87,60,72,67,44,36,"6,619",977,914,58
2020년10월_계_10~19세,"15,995","5,130",136,137,112,123,84,95,65,"7,375","1,196","1,412",130
2020년10월_계_20~29세,"19,819","6,172",191,251,249,203,193,111,124,"8,240","1,702","2,187",196
2020년10월_계_30~39세,"18,501","5,999",138,155,170,159,163,100,131,"8,686","1,340","1,332",128
2020년10월_계_40~49세,"23,781","8,017",206,263,259,223,264,162,168,"10,619","1,976","1,420",204
2020년10월_계_50~59세,"28,778","8,460",435,659,569,545,508,346,311,"10,747","2,860","2,938",400
2020년10월_계_60~69세,"16,601","5,760",386,600,577,577,587,401,308,"3,799","1,601","1,674",331
2020년10월_계_70~79세,"8,091","2,884",312,486,463,507,534,295,283,"1,242",568,309,208
2020년10월_계_80~89세,"4,638","1,565",228,342,309,361,327,212,206,577,254,112,145
2020년10월_계_90~99세,735,259,42,51,45,62,70,25,30,76,35,22,18
2020년10월_계_100세 이상,22,10,1,2,1,2,2,1,0,3,0,0,0
2020년10월_남_총인구수,"78,387","24,947","1,111","1,497","1,435","1,416","1,382",895,917,"30,450","6,638","6,690","1,009"
2020년10월_남_연령구간인구수,"78,387","24,947","1,111","1,497","1,435","1,416","1,382",895,917,"30,450","6,638","6,690","1,009"
2020년10월_남_0~9세,"6,867","2,285",44,40,31,32,30,18,18,"3,347",515,475,32
2020년10월_남_10~19세,"8,271","2,681",81,69,57,69,46,51,37,"3,805",602,700,73
2020년10월_남_20~29세,"11,509","3,401",110,155,147,131,118,66,80,"4,712","1,010","1,445",134
2020년10월_남_30~39세,"9,899","3,072",83,82,103,89,98,55,81,"4,632",744,775,85
2020년10월_남_40~49세,"12,151","4,232",127,139,152,135,161,106,118,"5,245","1,041",558,137
2020년10월_남_50~59세,"15,787","4,483",250,384,315,314,298,194,208,"5,947","1,548","1,610",236
2020년10월_남_60~69세,"8,734","2,980",200,308,306,294,289,208,163,"2,045",848,913,180
2020년10월_남_70~79세,"3,582","1,279",133,202,203,220,228,114,130,534,264,184,91
2020년10월_남_80~89세,"1,456",487,70,107,113,122,106,79,76,171,61,25,39
2020년10월_남_90~99세,126,46,12,10,8,10,8,4,6,10,5,5,2
2020년10월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년10월_여_총인구수,"72,074","23,806","1,033","1,536","1,379","1,418","1,417",897,745,"27,533","5,871","5,630",809
2020년10월_여_연령구간인구수,"72,074","23,806","1,033","1,536","1,379","1,418","1,417",897,745,"27,533","5,871","5,630",809
2020년10월_여_0~9세,"6,633","2,212",25,47,29,40,37,26,18,"3,272",462,439,26
2020년10월_여_10~19세,"7,724","2,449",55,68,55,54,38,44,28,"3,570",594,712,57
2020년10월_여_20~29세,"8,310","2,771",81,96,102,72,75,45,44,"3,528",692,742,62
2020년10월_여_30~39세,"8,602","2,927",55,73,67,70,65,45,50,"4,054",596,557,43
2020년10월_여_40~49세,"11,630","3,785",79,124,107,88,103,56,50,"5,374",935,862,67
2020년10월_여_50~59세,"12,991","3,977",185,275,254,231,210,152,103,"4,800","1,312","1,328",164
2020년10월_여_60~69세,"7,867","2,780",186,292,271,283,298,193,145,"1,754",753,761,151
2020년10월_여_70~79세,"4,509","1,605",179,284,260,287,306,181,153,708,304,125,117
2020년10월_여_80~89세,"3,182","1,078",158,235,196,239,221,133,130,406,193,87,106
2020년10월_여_90~99세,609,213,30,41,37,52,62,21,24,66,30,17,16
2020년10월_여_100세 이상,17,9,0,1,1,2,2,1,0,1,0,0,0
