카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년02월_계_총인구수,"275,384","7,718","6,443","45,764","16,445","19,506","25,608","28,811","7,500","19,212","4,079","3,703","42,375","48,220"
2020년02월_계_연령구간인구수,"275,384","7,718","6,443","45,764","16,445","19,506","25,608","28,811","7,500","19,212","4,079","3,703","42,375","48,220"
2020년02월_계_0~9세,"29,743",367,314,"3,983",995,"1,141","2,235","4,652",864,"2,617",144,172,"4,953","7,306"
2020년02월_계_10~19세,"23,835",443,409,"4,080","1,192","1,313","2,646","2,734",568,"1,735",209,199,"3,489","4,818"
2020년02월_계_20~29세,"32,722",979,975,"5,250","2,249","2,574","3,041","3,042",742,"2,258",485,450,"6,581","4,096"
2020년02월_계_30~39세,"47,137","1,015",981,"6,816","2,349","2,917","3,477","5,513","1,353","3,511",449,449,"9,695","8,612"
2020년02월_계_40~49세,"48,090","1,026",871,"7,364","2,354","2,652","4,434","5,512","1,205","3,623",579,512,"7,865","10,093"
2020년02월_계_50~59세,"40,540","1,513","1,247","7,253","3,054","3,666","4,169","3,646","1,200","2,871",811,773,"4,562","5,775"
2020년02월_계_60~69세,"32,123","1,446",948,"6,482","2,577","3,163","3,262","2,316",905,"1,805",767,689,"3,212","4,551"
2020년02월_계_70~79세,"14,863",613,480,"3,280","1,179","1,443","1,649",879,425,590,393,309,"1,462","2,161"
2020년02월_계_80~89세,"5,285",259,189,"1,070",420,530,595,385,203,162,204,135,463,670
2020년02월_계_90~99세,939,49,23,172,62,98,93,108,26,38,31,13,91,135
2020년02월_계_100세 이상,107,8,6,14,14,9,7,24,9,2,7,2,2,3
2020년02월_남_총인구수,"138,362","4,220","3,318","22,578","8,323","9,815","12,763","14,335","3,917","9,359","2,292","2,125","21,546","23,771"
2020년02월_남_연령구간인구수,"138,362","4,220","3,318","22,578","8,323","9,815","12,763","14,335","3,917","9,359","2,292","2,125","21,546","23,771"
2020년02월_남_0~9세,"15,167",182,160,"1,989",520,591,"1,170","2,368",432,"1,290",70,92,"2,570","3,733"
2020년02월_남_10~19세,"12,173",233,217,"2,122",645,661,"1,374","1,389",293,842,115,102,"1,756","2,424"
2020년02월_남_20~29세,"16,854",553,521,"2,707","1,198","1,397","1,638","1,544",405,"1,134",269,256,"3,163","2,069"
2020년02월_남_30~39세,"23,748",604,574,"3,473","1,273","1,601","1,790","2,556",694,"1,549",283,281,"5,104","3,966"
2020년02월_남_40~49세,"25,286",615,467,"3,706","1,228","1,363","2,196","2,909",662,"1,871",368,328,"4,254","5,319"
2020년02월_남_50~59세,"19,981",857,634,"3,425","1,422","1,798","1,999","1,787",638,"1,364",484,447,"2,323","2,803"
2020년02월_남_60~69세,"15,660",768,459,"3,083","1,261","1,548","1,560","1,145",497,929,419,400,"1,452","2,139"
2020년02월_남_70~79세,"7,415",302,213,"1,614",591,683,789,473,215,321,191,162,753,"1,108"
2020년02월_남_80~89세,"1,837",93,68,412,166,156,222,131,69,49,86,53,149,183
2020년02월_남_90~99세,211,11,3,43,16,14,24,23,9,10,6,4,22,26
2020년02월_남_100세 이상,30,2,2,4,3,3,1,10,3,0,1,0,0,1
2020년02월_여_총인구수,"137,022","3,498","3,125","23,186","8,122","9,691","12,845","14,476","3,583","9,853","1,787","1,578","20,829","24,449"
2020년02월_여_연령구간인구수,"137,022","3,498","3,125","23,186","8,122","9,691","12,845","14,476","3,583","9,853","1,787","1,578","20,829","24,449"
2020년02월_여_0~9세,"14,576",185,154,"1,994",475,550,"1,065","2,284",432,"1,327",74,80,"2,383","3,573"
2020년02월_여_10~19세,"11,662",210,192,"1,958",547,652,"1,272","1,345",275,893,94,97,"1,733","2,394"
2020년02월_여_20~29세,"15,868",426,454,"2,543","1,051","1,177","1,403","1,498",337,"1,124",216,194,"3,418","2,027"
2020년02월_여_30~39세,"23,389",411,407,"3,343","1,076","1,316","1,687","2,957",659,"1,962",166,168,"4,591","4,646"
2020년02월_여_40~49세,"22,804",411,404,"3,658","1,126","1,289","2,238","2,603",543,"1,752",211,184,"3,611","4,774"
2020년02월_여_50~59세,"20,559",656,613,"3,828","1,632","1,868","2,170","1,859",562,"1,507",327,326,"2,239","2,972"
2020년02월_여_60~69세,"16,463",678,489,"3,399","1,316","1,615","1,702","1,171",408,876,348,289,"1,760","2,412"
2020년02월_여_70~79세,"7,448",311,267,"1,666",588,760,860,406,210,269,202,147,709,"1,053"
2020년02월_여_80~89세,"3,448",166,121,658,254,374,373,254,134,113,118,82,314,487
2020년02월_여_90~99세,728,38,20,129,46,84,69,85,17,28,25,9,69,109
2020년02월_여_100세 이상,77,6,4,10,11,6,6,14,6,2,6,2,2,2
