,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년07월_계_총인구수,"210,005","5,811","28,244","10,670","8,759","12,954","22,332","13,512","15,299","23,269","13,163","28,520","27,472"
2021년07월_계_연령구간인구수,"210,005","5,811","28,244","10,670","8,759","12,954","22,332","13,512","15,299","23,269","13,163","28,520","27,472"
2021년07월_계_0~9세,"11,705",229,"1,516",256,487,680,"1,036",494,938,"1,395",696,"1,814","2,164"
2021년07월_계_10~19세,"14,674",281,"1,977",427,630,919,"1,034",668,"1,083","1,830","1,056","2,201","2,568"
2021년07월_계_20~29세,"28,338",629,"3,591",816,"1,032","1,654","4,291","1,617","2,067","4,019","1,755","3,322","3,545"
2021년07월_계_30~39세,"24,581",562,"3,291",735,970,"1,469","3,264","1,557","1,751","3,020","1,464","3,278","3,220"
2021년07월_계_40~49세,"28,801",679,"3,749","1,239","1,188","1,680","2,718","1,729","1,983","3,408","1,771","4,275","4,382"
2021년07월_계_50~59세,"39,568","1,239","5,361","2,077","1,730","2,535","4,111","2,739","3,020","3,794","2,393","5,261","5,308"
2021년07월_계_60~69세,"38,047","1,264","5,431","2,572","1,587","2,546","3,790","2,814","2,852","3,440","2,411","5,254","4,086"
2021년07월_계_70~79세,"17,413",661,"2,391","1,696",825,"1,089","1,582","1,388","1,164","1,660","1,102","2,257","1,598"
2021년07월_계_80~89세,"6,173",240,823,777,282,336,454,446,397,630,472,778,538
2021년07월_계_90~99세,661,23,97,72,28,44,47,57,44,68,43,77,61
2021년07월_계_100세 이상,44,4,17,3,0,2,5,3,0,5,0,3,2
2021년07월_남_총인구수,"106,013","3,110","14,119","5,095","4,480","6,550","11,598","7,160","7,830","11,635","6,434","14,272","13,730"
2021년07월_남_연령구간인구수,"106,013","3,110","14,119","5,095","4,480","6,550","11,598","7,160","7,830","11,635","6,434","14,272","13,730"
2021년07월_남_0~9세,"5,974",125,755,131,253,345,538,251,490,687,360,933,"1,106"
2021년07월_남_10~19세,"7,646",149,"1,033",223,329,483,553,358,566,940,541,"1,166","1,305"
2021년07월_남_20~29세,"15,126",363,"1,925",483,609,885,"2,081",880,"1,125","2,053",918,"1,853","1,951"
2021년07월_남_30~39세,"13,269",308,"1,788",402,529,772,"1,820",898,950,"1,629",794,"1,732","1,647"
2021년07월_남_40~49세,"15,147",395,"1,926",748,618,903,"1,508","1,010","1,014","1,780",900,"2,199","2,146"
2021년07월_남_50~59세,"19,736",711,"2,618","1,090",906,"1,212","2,163","1,484","1,477","1,813","1,091","2,549","2,622"
2021년07월_남_60~69세,"18,854",669,"2,619","1,184",771,"1,281","1,980","1,448","1,465","1,710","1,150","2,562","2,015"
2021년07월_남_70~79세,"8,057",302,"1,143",620,362,542,772,648,587,787,506,"1,016",772
2021년07월_남_80~89세,"2,087",84,292,202,99,120,177,175,151,223,165,240,159
2021년07월_남_90~99세,113,4,20,12,4,6,5,7,5,12,9,22,7
2021년07월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년07월_여_총인구수,"103,992","2,701","14,125","5,575","4,279","6,404","10,734","6,352","7,469","11,634","6,729","14,248","13,742"
2021년07월_여_연령구간인구수,"103,992","2,701","14,125","5,575","4,279","6,404","10,734","6,352","7,469","11,634","6,729","14,248","13,742"
2021년07월_여_0~9세,"5,731",104,761,125,234,335,498,243,448,708,336,881,"1,058"
2021년07월_여_10~19세,"7,028",132,944,204,301,436,481,310,517,890,515,"1,035","1,263"
2021년07월_여_20~29세,"13,212",266,"1,666",333,423,769,"2,210",737,942,"1,966",837,"1,469","1,594"
2021년07월_여_30~39세,"11,312",254,"1,503",333,441,697,"1,444",659,801,"1,391",670,"1,546","1,573"
2021년07월_여_40~49세,"13,654",284,"1,823",491,570,777,"1,210",719,969,"1,628",871,"2,076","2,236"
2021년07월_여_50~59세,"19,832",528,"2,743",987,824,"1,323","1,948","1,255","1,543","1,981","1,302","2,712","2,686"
2021년07월_여_60~69세,"19,193",595,"2,812","1,388",816,"1,265","1,810","1,366","1,387","1,730","1,261","2,692","2,071"
2021년07월_여_70~79세,"9,356",359,"1,248","1,076",463,547,810,740,577,873,596,"1,241",826
2021년07월_여_80~89세,"4,086",156,531,575,183,216,277,271,246,407,307,538,379
2021년07월_여_90~99세,548,19,77,60,24,38,42,50,39,56,34,55,54
2021년07월_여_100세 이상,40,4,17,3,0,1,4,2,0,4,0,3,2
