,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년07월_계_80~89세,"6,035",452,224,172,275,258,307,272,205,227,128,250,261,276,223,190,217,219,219,257,295,252,439,417
2020년07월_계_90~99세,937,77,42,34,42,41,43,48,40,29,17,34,33,48,39,19,37,24,38,28,46,47,63,68
2020년07월_계_100세 이상,43,3,4,0,3,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,2,2,2
2020년07월_남_총인구수,"39,702","1,850","1,317",579,"1,014",916,"1,111",784,837,792,484,785,952,"1,135",934,"1,035","1,352","1,695","1,626","3,006","3,280","2,042","3,708","8,468"
2020년07월_남_연령구간인구수,"39,702","1,850","1,317",579,"1,014",916,"1,111",784,837,792,484,785,952,"1,135",934,"1,035","1,352","1,695","1,626","3,006","3,280","2,042","3,708","8,468"
2020년07월_남_0~9세,"2,742",86,56,24,30,40,34,35,35,34,22,34,39,54,57,48,61,103,91,314,308,127,223,887
2020년07월_남_10~19세,"3,841",97,73,34,58,57,71,38,50,36,19,38,54,92,59,91,119,190,122,298,384,193,341,"1,327"
2020년07월_남_20~29세,"4,243",149,136,42,83,78,71,38,57,70,37,54,81,95,62,78,113,209,204,384,362,272,442,"1,126"
2020년07월_남_30~39세,"3,358",119,74,35,77,46,70,40,59,38,34,37,53,72,62,57,69,147,141,364,313,224,334,893
2020년07월_남_40~49세,"5,619",192,172,77,104,111,152,93,92,74,40,103,108,123,103,133,168,230,243,460,561,267,533,"1,480"
2020년07월_남_50~59세,"7,302",374,271,96,215,175,191,138,173,174,97,149,200,240,182,275,280,306,280,506,527,325,733,"1,395"
2020년07월_남_60~69세,"6,340",416,267,121,218,188,243,181,189,143,110,125,181,229,194,181,285,241,261,369,452,326,580,840
2020년07월_남_70~79세,"4,089",249,181,90,136,124,174,128,116,134,79,147,154,132,137,116,171,182,198,226,262,218,363,372
2020년07월_남_80~89세,"1,939",156,72,51,84,88,96,81,58,79,40,87,74,87,66,54,80,78,73,78,98,79,143,137
2020년07월_남_90~99세,218,11,15,9,9,9,9,11,7,10,6,8,7,11,11,2,6,9,13,6,12,10,16,11
2020년07월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년07월_여_총인구수,"41,326","2,019","1,295",589,"1,050",937,"1,221",862,836,758,478,783,949,"1,162",978,"1,088","1,391","1,883","1,818","3,219","3,523","2,155","3,616","8,716"
2020년07월_여_연령구간인구수,"41,326","2,019","1,295",589,"1,050",937,"1,221",862,836,758,478,783,949,"1,162",978,"1,088","1,391","1,883","1,818","3,219","3,523","2,155","3,616","8,716"
2020년07월_여_0~9세,"2,419",74,41,22,36,30,50,20,31,22,6,36,31,43,40,43,58,88,88,285,292,110,212,761
2020년07월_여_10~19세,"3,601",103,94,23,55,43,58,39,47,27,17,38,40,74,56,95,86,187,137,328,401,141,321,"1,191"
2020년07월_여_20~29세,"3,377",137,85,38,63,44,50,36,42,50,25,48,52,81,51,65,59,166,167,314,266,208,361,969
2020년07월_여_30~39세,"3,243",101,75,27,56,34,52,30,36,41,28,29,46,64,40,45,85,148,134,365,366,190,298,953
2020년07월_여_40~49세,"5,316",163,136,38,76,63,87,51,57,47,22,52,67,105,67,140,139,259,235,496,544,260,498,"1,714"
2020년07월_여_50~59세,"6,478",331,219,84,166,126,159,107,136,101,67,99,139,183,144,214,256,314,271,483,515,365,605,"1,394"
2020년07월_여_60~69세,"6,360",372,247,108,172,172,241,170,160,133,104,131,173,183,188,164,295,305,337,406,495,357,557,890
2020년07월_여_70~79세,"5,685",374,215,103,199,222,278,180,147,168,110,160,186,201,205,168,243,260,277,340,412,313,419,505
2020년07월_여_80~89세,"4,096",296,152,121,191,170,211,191,147,148,88,163,187,189,157,136,137,141,146,179,197,173,296,280
2020년07월_여_90~99세,719,66,27,25,33,32,34,37,33,19,11,26,26,37,28,17,31,15,25,22,34,37,47,57
2020년07월_여_100세 이상,32,2,4,0,3,1,1,1,0,2,0,1,2,2,2,1,2,0,1,1,1,1,2,2
