카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년10월_계_총인구수,"42,767","6,903","18,417","8,854","8,593"
2020년10월_계_연령구간인구수,"42,767","6,903","18,417","8,854","8,593"
2020년10월_계_0~9세,"3,932",620,"1,264","1,310",738
2020년10월_계_10~19세,"6,339",898,"2,369","1,990","1,082"
2020년10월_계_20~29세,"4,849",712,"2,363",794,980
2020년10월_계_30~39세,"4,624",665,"1,678","1,361",920
2020년10월_계_40~49세,"8,436","1,166","3,203","2,523","1,544"
2020년10월_계_50~59세,"6,910","1,264","3,468",704,"1,474"
2020년10월_계_60~69세,"4,397",964,"2,171",91,"1,171"
2020년10월_계_70~79세,"2,016",402,"1,107",57,450
2020년10월_계_80~89세,"1,079",165,691,22,201
2020년10월_계_90~99세,174,44,97,2,31
2020년10월_계_100세 이상,11,3,6,0,2
2020년10월_남_총인구수,"21,306","3,377","9,009","4,612","4,308"
2020년10월_남_연령구간인구수,"21,306","3,377","9,009","4,612","4,308"
2020년10월_남_0~9세,"1,996",312,669,653,362
2020년10월_남_10~19세,"3,321",448,"1,247","1,053",573
2020년10월_남_20~29세,"2,697",383,"1,276",459,579
2020년10월_남_30~39세,"2,294",320,842,674,458
2020년10월_남_40~49세,"4,099",546,"1,530","1,299",724
2020년10월_남_50~59세,"3,482",637,"1,687",430,728
2020년10월_남_60~69세,"2,128",474,"1,050",22,582
2020년10월_남_70~79세,898,197,465,14,222
2020년10월_남_80~89세,351,53,222,7,69
2020년10월_남_90~99세,40,7,21,1,11
2020년10월_남_100세 이상,0,0,0,0,0
2020년10월_여_총인구수,"21,461","3,526","9,408","4,242","4,285"
2020년10월_여_연령구간인구수,"21,461","3,526","9,408","4,242","4,285"
2020년10월_여_0~9세,"1,936",308,595,657,376
2020년10월_여_10~19세,"3,018",450,"1,122",937,509
2020년10월_여_20~29세,"2,152",329,"1,087",335,401
2020년10월_여_30~39세,"2,330",345,836,687,462
2020년10월_여_40~49세,"4,337",620,"1,673","1,224",820
2020년10월_여_50~59세,"3,428",627,"1,781",274,746
2020년10월_여_60~69세,"2,269",490,"1,121",69,589
2020년10월_여_70~79세,"1,118",205,642,43,228
2020년10월_여_80~89세,728,112,469,15,132
2020년10월_여_90~99세,134,37,76,1,20
2020년10월_여_100세 이상,11,3,6,0,2
