,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년03월_계_총인구수,"164,602","11,938","29,358","38,381","21,283","27,935","35,707"
2020년03월_계_연령구간인구수,"164,602","11,938","29,358","38,381","21,283","27,935","35,707"
2020년03월_계_0~9세,"13,544",814,"2,280","3,015","1,622","2,553","3,260"
2020년03월_계_10~19세,"15,160",985,"2,537","4,036","2,153","2,332","3,117"
2020년03월_계_20~29세,"23,184","1,504","4,128","5,098","3,314","4,165","4,975"
2020년03월_계_30~39세,"22,849","1,588","4,278","5,042","2,537","4,142","5,262"
2020년03월_계_40~49세,"25,375","1,701","4,400","6,192","3,281","4,187","5,614"
2020년03월_계_50~59세,"30,033","2,063","5,098","6,843","4,279","5,149","6,601"
2020년03월_계_60~69세,"20,520","1,922","3,504","5,075","2,466","3,286","4,267"
2020년03월_계_70~79세,"9,015",911,"1,987","2,110",993,"1,320","1,694"
2020년03월_계_80~89세,"4,155",372,989,813,538,678,765
2020년03월_계_90~99세,718,74,145,152,88,117,142
2020년03월_계_100세 이상,49,4,12,5,12,6,10
2020년03월_남_총인구수,"82,016","6,046","14,965","19,105","10,417","13,828","17,655"
2020년03월_남_연령구간인구수,"82,016","6,046","14,965","19,105","10,417","13,828","17,655"
2020년03월_남_0~9세,"7,022",438,"1,203","1,517",842,"1,306","1,716"
2020년03월_남_10~19세,"7,836",499,"1,297","2,104","1,148","1,233","1,555"
2020년03월_남_20~29세,"12,267",831,"2,259","2,697","1,681","2,186","2,613"
2020년03월_남_30~39세,"11,734",852,"2,338","2,546","1,250","2,064","2,684"
2020년03월_남_40~49세,"12,483",874,"2,299","2,987","1,531","2,068","2,724"
2020년03월_남_50~59세,"14,563",977,"2,514","3,366","2,049","2,509","3,148"
2020년03월_남_60~69세,"10,310",980,"1,762","2,545","1,269","1,645","2,109"
2020년03월_남_70~79세,"4,219",453,896,"1,025",445,572,828
2020년03월_남_80~89세,"1,402",124,355,287,180,219,237
2020년03월_남_90~99세,166,16,38,29,22,24,37
2020년03월_남_100세 이상,14,2,4,2,0,2,4
2020년03월_여_총인구수,"82,586","5,892","14,393","19,276","10,866","14,107","18,052"
2020년03월_여_연령구간인구수,"82,586","5,892","14,393","19,276","10,866","14,107","18,052"
2020년03월_여_0~9세,"6,522",376,"1,077","1,498",780,"1,247","1,544"
2020년03월_여_10~19세,"7,324",486,"1,240","1,932","1,005","1,099","1,562"
2020년03월_여_20~29세,"10,917",673,"1,869","2,401","1,633","1,979","2,362"
2020년03월_여_30~39세,"11,115",736,"1,940","2,496","1,287","2,078","2,578"
2020년03월_여_40~49세,"12,892",827,"2,101","3,205","1,750","2,119","2,890"
2020년03월_여_50~59세,"15,470","1,086","2,584","3,477","2,230","2,640","3,453"
2020년03월_여_60~69세,"10,210",942,"1,742","2,530","1,197","1,641","2,158"
2020년03월_여_70~79세,"4,796",458,"1,091","1,085",548,748,866
2020년03월_여_80~89세,"2,753",248,634,526,358,459,528
2020년03월_여_90~99세,552,58,107,123,66,93,105
2020년03월_여_100세 이상,35,2,8,3,12,4,6
