,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년09월_계_총인구수,"79,673","3,834","2,610","1,109","2,015","1,799","2,288","1,589","1,653","1,485",938,"1,469","1,821","2,266","1,865","2,094","2,716","3,399","3,296","6,157","6,602","4,213","7,011","17,444"
2021년09월_계_연령구간인구수,"79,673","3,834","2,610","1,109","2,015","1,799","2,288","1,589","1,653","1,485",938,"1,469","1,821","2,266","1,865","2,094","2,716","3,399","3,296","6,157","6,602","4,213","7,011","17,444"
2021년09월_계_0~9세,"4,696",165,99,42,57,59,58,38,64,49,27,51,52,88,85,79,112,169,181,559,518,209,383,"1,552"
2021년09월_계_10~19세,"7,138",196,158,55,108,101,115,67,87,60,32,65,78,147,111,176,189,327,232,636,764,327,585,"2,522"
2021년09월_계_20~29세,"7,341",261,223,60,140,107,120,75,86,99,52,89,121,165,94,139,170,356,341,659,607,490,743,"2,144"
2021년09월_계_30~39세,"6,098",218,153,54,108,72,107,58,86,69,52,50,81,126,90,88,133,263,277,665,587,389,577,"1,795"
2021년09월_계_40~49세,"10,222",329,253,104,150,158,217,126,146,111,63,120,160,210,164,225,288,430,416,948,"1,052",500,949,"3,103"
2021년09월_계_50~59세,"13,574",683,484,171,365,304,351,227,268,243,158,222,320,402,311,514,519,594,526,983,"1,033",696,"1,267","2,933"
2021년09월_계_60~69세,"13,467",822,563,235,432,374,503,367,386,290,222,282,370,460,390,368,608,558,571,836,997,746,"1,175","1,912"
2021년09월_계_70~79세,"9,733",617,385,184,326,333,446,297,270,289,188,290,341,330,353,278,420,433,483,554,673,535,776,932
2021년09월_계_80~89세,"6,341",463,244,168,278,251,319,280,215,244,128,261,261,278,231,207,236,235,224,282,321,268,476,471
2021년09월_계_90~99세,"1,030",80,45,36,48,40,51,52,45,31,16,36,35,57,33,20,39,34,43,35,50,48,78,78
2021년09월_계_100세 이상,33,0,3,0,3,0,1,2,0,0,0,3,2,3,3,0,2,0,2,0,0,5,2,2
2021년09월_남_총인구수,"39,071","1,847","1,331",552,996,882,"1,099",756,838,770,483,740,911,"1,122",915,"1,030","1,329","1,612","1,557","2,967","3,187","2,055","3,553","8,539"
2021년09월_남_연령구간인구수,"39,071","1,847","1,331",552,996,882,"1,099",756,838,770,483,740,911,"1,122",915,"1,030","1,329","1,612","1,557","2,967","3,187","2,055","3,553","8,539"
2021년09월_남_0~9세,"2,490",88,58,21,25,33,25,22,34,30,21,28,29,47,51,39,62,88,98,291,263,111,203,823
2021년09월_남_10~19세,"3,673",101,74,31,53,54,59,33,51,37,18,33,44,84,56,97,107,167,113,307,369,182,305,"1,298"
2021년09월_남_20~29세,"4,108",141,133,38,83,64,76,40,53,63,30,53,74,89,52,71,113,200,186,355,350,277,404,"1,163"
2021년09월_남_30~39세,"3,126",120,78,26,62,40,62,32,54,37,26,27,45,72,51,52,57,133,142,333,279,223,311,864
2021년09월_남_40~49세,"5,207",175,141,71,87,96,134,80,88,59,45,80,95,112,103,106,155,207,203,454,529,249,488,"1,450"
2021년09월_남_50~59세,"7,256",368,266,96,207,177,198,137,153,165,97,134,192,226,181,285,277,298,275,507,535,332,700,"1,450"
2021년09월_남_60~69세,"6,743",437,293,124,247,198,255,183,207,152,117,143,195,254,194,201,295,249,250,410,472,351,599,917
2021년09월_남_70~79세,"4,144",250,188,91,139,130,183,132,121,134,82,134,151,133,151,119,170,172,201,210,272,228,352,401
2021년09월_남_80~89세,"2,077",153,84,45,81,81,99,84,67,85,40,95,79,91,70,57,87,87,76,93,107,86,169,161
2021년09월_남_90~99세,241,14,16,9,11,9,8,12,10,8,7,12,7,14,5,3,6,11,12,7,11,15,22,12
2021년09월_남_100세 이상,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2021년09월_여_총인구수,"40,602","1,987","1,279",557,"1,019",917,"1,189",833,815,715,455,729,910,"1,144",950,"1,064","1,387","1,787","1,739","3,190","3,415","2,158","3,458","8,905"
