카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년03월_계_총인구수,"436,847","4,126","23,640","4,318","19,717","20,874","9,837","11,486","8,998","8,782","18,739","7,428","27,841","7,048","29,531","37,920","22,561","25,202","37,228","17,505","27,400","29,588","12,676","24,402"
2020년03월_계_연령구간인구수,"436,847","4,126","23,640","4,318","19,717","20,874","9,837","11,486","8,998","8,782","18,739","7,428","27,841","7,048","29,531","37,920","22,561","25,202","37,228","17,505","27,400","29,588","12,676","24,402"
2020년03월_계_0~9세,"34,989",149,"2,516",182,"2,401","1,885",279,638,313,334,"1,356",208,"2,167",388,"2,769","4,719","1,504","1,745","2,923","1,067","1,844","2,509",710,"2,383"
2020년03월_계_10~19세,"44,726",246,"2,105",246,"2,277","2,410",526,"1,004",511,514,"1,223",405,"3,027",475,"3,566","3,189","1,860","2,638","5,364","1,748","2,670","4,722",685,"3,315"
2020년03월_계_20~29세,"60,368",492,"2,703",492,"2,163","2,466","1,127","1,747","2,297","1,277","2,701","2,070","4,029",803,"3,097","4,133","3,728","3,742","5,400","2,502","4,395","4,175","1,476","3,353"
2020년03월_계_30~39세,"54,449",387,"3,825",458,"3,013","2,534",795,"1,204","1,124","1,047","2,366",986,"3,420",884,"3,628","6,843","2,743","2,875","3,709","1,718","3,184","2,990","1,698","3,018"
2020년03월_계_40~49세,"73,506",514,"4,061",508,"3,717","3,626","1,216","1,594","1,116","1,089","2,737",863,"4,542",954,"5,998","6,435","3,338","4,118","7,289","2,699","4,059","6,403","1,729","4,901"
2020년03월_계_50~59세,"77,328",792,"3,351",959,"2,794","3,511","1,998","2,377","1,335","1,660","3,044","1,217","5,063","1,305","4,725","6,003","4,271","4,783","7,124","3,605","5,533","5,246","2,539","4,093"
2020년03월_계_60~69세,"50,888",770,"2,581",866,"1,846","2,335","2,010","1,641","1,195","1,552","2,680",975,"3,345","1,245","3,328","4,029","2,891","3,058","3,051","2,444","3,293","1,817","2,198","1,738"
2020년03월_계_70~79세,"27,630",513,"1,612",425,"1,037","1,436","1,278",888,750,914,"1,752",484,"1,488",675,"1,774","1,848","1,461","1,600","1,560","1,125","1,570","1,129","1,244","1,067"
2020년03월_계_80~89세,"11,603",221,773,152,415,613,562,346,322,358,765,204,666,292,591,645,685,575,717,545,771,558,349,478
2020년03월_계_90~99세,"1,278",37,102,29,52,54,41,47,31,37,101,15,87,26,54,72,76,68,90,49,77,38,41,54
2020년03월_계_100세 이상,82,5,11,1,2,4,5,0,4,0,14,1,7,1,1,4,4,0,1,3,4,1,7,2
2020년03월_남_총인구수,"217,669","2,038","11,450","2,300","9,551","10,099","4,883","5,690","4,637","4,591","9,424","4,010","13,789","3,538","15,073","18,902","11,338","12,362","18,427","8,783","13,634","14,435","6,613","12,102"
2020년03월_남_연령구간인구수,"217,669","2,038","11,450","2,300","9,551","10,099","4,883","5,690","4,637","4,591","9,424","4,010","13,789","3,538","15,073","18,902","11,338","12,362","18,427","8,783","13,634","14,435","6,613","12,102"
2020년03월_남_0~9세,"17,919",84,"1,254",94,"1,206",971,141,322,157,178,688,105,"1,114",202,"1,433","2,412",764,915,"1,471",545,966,"1,309",359,"1,229"
2020년03월_남_10~19세,"23,300",126,"1,057",144,"1,173","1,203",284,527,268,285,624,216,"1,577",248,"1,853","1,642","1,011","1,391","2,817",892,"1,449","2,453",346,"1,714"
2020년03월_남_20~29세,"32,864",268,"1,345",290,"1,111","1,325",658,"1,000","1,252",754,"1,614","1,248","2,234",471,"1,643","2,200","1,981","1,983","2,919","1,417","2,369","2,200",822,"1,760"
2020년03월_남_30~39세,"28,268",213,"1,887",261,"1,415","1,222",471,651,676,633,"1,307",607,"1,765",495,"1,833","3,498","1,521","1,479","1,846",954,"1,677","1,414",966,"1,477"
2020년03월_남_40~49세,"36,045",301,"2,048",295,"1,792","1,706",674,744,638,603,"1,428",481,"2,130",502,"3,080","3,297","1,663","2,004","3,353","1,291","1,891","2,805",973,"2,346"
