,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년04월_계_총인구수,"51,702,100","9,588,711","3,369,704","2,406,296","2,936,214","1,444,787","1,457,619","1,128,163","361,396","13,479,798","1,536,175","1,596,303","2,116,452","1,796,331","1,844,148","2,635,896","3,329,623","674,484"
2021년04월_계_연령구간인구수,"51,702,100","9,588,711","3,369,704","2,406,296","2,936,214","1,444,787","1,457,619","1,128,163","361,396","13,479,798","1,536,175","1,596,303","2,116,452","1,796,331","1,844,148","2,635,896","3,329,623","674,484"
2021년04월_계_0~9세,"3,891,405","607,863","227,645","174,060","223,789","117,272","111,757","95,855","47,239","1,130,520","103,764","120,958","169,094","125,253","129,089","185,360","262,156","59,731"
2021년04월_계_10~19세,"4,753,626","770,905","269,088","222,409","272,335","154,930","144,580","110,894","43,710","1,325,369","135,834","147,753","201,400","172,628","165,294","224,452","321,732","70,313"
2021년04월_계_20~29세,"6,761,949","1,448,195","426,109","317,686","397,230","208,208","211,361","142,012","38,010","1,812,656","177,456","197,283","240,595","209,487","198,752","281,555","373,293","82,061"
2021년04월_계_30~39세,"6,802,386","1,458,508","413,070","290,180","402,023","183,705","192,055","148,949","61,490","1,901,856","164,049","192,675","264,398","185,964","182,942","286,646","392,090","81,786"
2021년04월_계_40~49세,"8,244,087","1,508,768","507,314","379,728","481,422","239,431","234,618","186,142","70,245","2,298,715","221,735","239,112","327,136","265,638","257,603","381,057","533,055","112,368"
2021년04월_계_50~59세,"8,604,370","1,511,117","560,443","422,181","509,335","233,781","239,844","207,341","46,140","2,242,984","264,796","270,275","337,664","298,144","312,389","456,550","578,495","112,891"
2021년04월_계_60~69세,"6,918,145","1,259,839","538,609","333,756","380,258","166,786","184,422","149,602","31,569","1,587,742","248,600","231,704","288,630","261,328","277,277","420,500","476,254","81,269"
2021년04월_계_70~79세,"3,693,918","697,684","293,433","175,962","177,642","93,666","91,427","61,003","14,422","767,606","134,410","119,962","170,950","170,497","191,492","241,463","246,804","45,495"
2021년04월_계_80~89세,"1,766,149","282,213","118,489","79,992","79,183","40,716","41,422","23,183","7,284","357,086","73,713","66,910","101,393","92,815","112,032","138,128","127,294","24,296"
2021년04월_계_90~99세,"254,459","40,883","14,737","9,815","12,477","6,001","5,932","3,096","1,251","52,864","11,331","9,348","14,668","14,018","16,622","19,467","17,871","4,078"
2021년04월_계_100세 이상,"11,606","2,736",767,527,520,291,201,86,36,"2,400",487,323,524,559,656,718,579,196
2021년04월_남_총인구수,"25,784,538","4,661,711","1,650,252","1,186,663","1,470,490","714,834","727,522","579,853","180,462","6,784,466","773,037","809,679","1,081,275","893,415","927,667","1,328,240","1,676,550","338,422"
2021년04월_남_연령구간인구수,"25,784,538","4,661,711","1,650,252","1,186,663","1,470,490","714,834","727,522","579,853","180,462","6,784,466","773,037","809,679","1,081,275","893,415","927,667","1,328,240","1,676,550","338,422"
