카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년09월_계_총인구수,"230,644","23,431","44,275","18,809","24,195","15,267","32,855","21,328","10,851","20,348","19,285"
2021년09월_계_연령구간인구수,"230,644","23,431","44,275","18,809","24,195","15,267","32,855","21,328","10,851","20,348","19,285"
2021년09월_계_0~9세,"11,869",657,"3,258",813,951,613,"1,689","1,458",518,"1,019",893
2021년09월_계_10~19세,"14,115",666,"2,337","1,142","1,296",926,"2,182","2,067",684,"1,440","1,375"
2021년09월_계_20~29세,"37,183","6,686","7,845","2,810","3,903","2,234","4,824","2,377","1,374","2,645","2,485"
2021년09월_계_30~39세,"36,090","5,698","9,105","2,529","3,585","1,985","4,709","2,363","1,377","2,535","2,204"
2021년09월_계_40~49세,"31,940","2,756","6,474","2,518","3,076","1,985","4,679","3,396","1,472","2,813","2,771"
2021년09월_계_50~59세,"39,312","2,868","6,421","3,687","4,568","3,135","5,781","3,661","1,963","3,783","3,445"
2021년09월_계_60~69세,"34,440","2,458","5,143","3,151","4,038","2,569","5,024","3,389","1,979","3,516","3,173"
2021년09월_계_70~79세,"17,932","1,175","2,611","1,547","1,919","1,333","2,738","1,782","1,050","1,829","1,948"
2021년09월_계_80~89세,"6,851",410,969,536,742,432,"1,072",734,395,685,876
2021년09월_계_90~99세,865,54,104,72,114,52,152,97,38,80,102
2021년09월_계_100세 이상,47,3,8,4,3,3,5,4,1,3,13
2021년09월_남_총인구수,"116,588","12,780","22,716","9,537","12,110","7,691","16,370","10,269","5,396","10,086","9,633"
2021년09월_남_연령구간인구수,"116,588","12,780","22,716","9,537","12,110","7,691","16,370","10,269","5,396","10,086","9,633"
2021년09월_남_0~9세,"6,105",314,"1,675",428,505,318,868,744,263,515,475
2021년09월_남_10~19세,"7,144",318,"1,152",617,632,465,"1,184","1,020",334,730,692
2021년09월_남_20~29세,"18,473","3,105","3,832","1,467","1,908","1,124","2,404","1,216",739,"1,350","1,328"
2021년09월_남_30~39세,"19,959","3,519","5,032","1,358","2,010","1,087","2,514","1,162",737,"1,346","1,194"
2021년09월_남_40~49세,"16,856","1,727","3,572","1,307","1,607","1,004","2,387","1,656",754,"1,410","1,432"
2021년09월_남_50~59세,"19,761","1,682","3,248","1,852","2,243","1,596","2,843","1,737",957,"1,831","1,772"
2021년09월_남_60~69세,"16,903","1,335","2,577","1,539","1,960","1,275","2,424","1,613",938,"1,722","1,520"
2021년09월_남_70~79세,"8,427",592,"1,176",745,922,625,"1,282",824,513,882,866
2021년09월_남_80~89세,"2,736",178,423,204,294,185,415,279,156,274,328
2021년09월_남_90~99세,211,9,27,20,28,12,46,17,5,24,23
2021년09월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년09월_여_총인구수,"114,056","10,651","21,559","9,272","12,085","7,576","16,485","11,059","5,455","10,262","9,652"
2021년09월_여_연령구간인구수,"114,056","10,651","21,559","9,272","12,085","7,576","16,485","11,059","5,455","10,262","9,652"
2021년09월_여_0~9세,"5,764",343,"1,583",385,446,295,821,714,255,504,418
2021년09월_여_10~19세,"6,971",348,"1,185",525,664,461,998,"1,047",350,710,683
2021년09월_여_20~29세,"18,710","3,581","4,013","1,343","1,995","1,110","2,420","1,161",635,"1,295","1,157"
2021년09월_여_30~39세,"16,131","2,179","4,073","1,171","1,575",898,"2,195","1,201",640,"1,189","1,010"
2021년09월_여_40~49세,"15,084","1,029","2,902","1,211","1,469",981,"2,292","1,740",718,"1,403","1,339"
2021년09월_여_50~59세,"19,551","1,186","3,173","1,835","2,325","1,539","2,938","1,924","1,006","1,952","1,673"
2021년09월_여_60~69세,"17,537","1,123","2,566","1,612","2,078","1,294","2,600","1,776","1,041","1,794","1,653"
2021년09월_여_70~79세,"9,505",583,"1,435",802,997,708,"1,456",958,537,947,"1,082"
2021년09월_여_80~89세,"4,115",232,546,332,448,247,657,455,239,411,548
2021년09월_여_90~99세,654,45,77,52,86,40,106,80,33,56,79
2021년09월_여_100세 이상,34,2,6,4,2,3,2,3,1,1,10
