,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년03월_계_총인구수,"346,156","30,926","24,888","30,587","19,415","29,204","30,066","38,633","33,074","21,017","10,261","14,346","24,355","18,680","20,704"
2020년03월_계_연령구간인구수,"346,156","30,926","24,888","30,587","19,415","29,204","30,066","38,633","33,074","21,017","10,261","14,346","24,355","18,680","20,704"
2020년03월_계_0~9세,"21,750","1,366","1,076","1,985","1,310","2,785","1,919","2,647","2,968",918,505,804,"1,343",759,"1,365"
2020년03월_계_10~19세,"25,089","1,516","1,453","2,067","1,822","2,024","2,173","2,690","2,936","1,234",743,882,"2,186","1,432","1,931"
2020년03월_계_20~29세,"55,488","5,826","4,206","4,689","2,414","4,032","4,079","5,215","3,920","2,470","2,951","3,150","5,142","4,569","2,825"
2020년03월_계_30~39세,"51,236","5,280","3,368","4,497","2,351","5,512","4,518","6,446","5,224","2,475","1,452","2,231","3,067","2,207","2,608"
2020년03월_계_40~49세,"52,086","4,311","3,217","4,483","3,144","4,680","4,547","6,427","5,813","2,770","1,364","1,839","3,604","2,568","3,319"
2020년03월_계_50~59세,"54,332","4,767","3,891","4,999","3,346","4,341","5,124","6,125","5,006","3,752","1,191","2,201","3,550","2,640","3,399"
2020년03월_계_60~69세,"45,248","3,993","3,817","4,110","2,609","3,126","4,110","5,215","4,122","3,759",960,"1,640","2,898","2,187","2,702"
2020년03월_계_70~79세,"28,093","2,599","2,591","2,517","1,616","1,833","2,497","2,836","2,238","2,481",705,"1,073","1,801","1,523","1,783"
2020년03월_계_80~89세,"10,985","1,087","1,103","1,053",720,743,963,859,717,988,321,448,648,661,674
2020년03월_계_90~99세,"1,559",157,141,146,74,98,116,151,114,139,58,70,106,99,90
2020년03월_계_100세 이상,290,24,25,41,9,30,20,22,16,31,11,8,10,35,8
2020년03월_남_총인구수,"171,896","15,810","12,785","15,370","9,326","14,170","14,666","19,240","16,582","10,513","4,901","7,070","12,090","9,279","10,094"
2020년03월_남_연령구간인구수,"171,896","15,810","12,785","15,370","9,326","14,170","14,666","19,240","16,582","10,513","4,901","7,070","12,090","9,279","10,094"
2020년03월_남_0~9세,"11,126",696,560,"1,026",660,"1,418",987,"1,332","1,542",463,264,414,698,375,691
2020년03월_남_10~19세,"12,682",808,740,"1,024",893,"1,027","1,087","1,391","1,561",659,322,442,"1,040",699,989
2020년03월_남_20~29세,"27,933","2,865","2,319","2,392","1,230","1,903","2,027","2,524","2,060","1,305","1,422","1,455","2,735","2,331","1,365"
2020년03월_남_30~39세,"26,543","2,780","1,877","2,343","1,165","2,634","2,319","3,316","2,622","1,331",762,"1,200","1,631","1,236","1,327"
2020년03월_남_40~49세,"26,824","2,353","1,764","2,340","1,497","2,401","2,310","3,348","2,952","1,474",678,953,"1,803","1,309","1,642"
2020년03월_남_50~59세,"27,341","2,533","2,029","2,569","1,642","2,122","2,504","3,044","2,519","1,895",587,"1,129","1,713","1,355","1,700"
2020년03월_남_60~69세,"21,857","2,034","1,844","2,080","1,222","1,516","1,929","2,535","1,969","1,846",426,791,"1,372","1,013","1,280"
2020년03월_남_70~79세,"12,689","1,228","1,160","1,116",672,839,"1,112","1,356","1,053","1,130",291,478,816,646,792
2020년03월_남_80~89세,"4,359",455,437,423,316,271,359,349,272,362,132,183,237,283,280
2020년03월_남_90~99세,456,51,50,43,25,28,22,37,27,43,16,20,42,26,26
2020년03월_남_100세 이상,86,7,5,14,4,11,10,8,5,5,1,5,3,6,2
2020년03월_여_총인구수,"174,260","15,116","12,103","15,217","10,089","15,034","15,400","19,393","16,492","10,504","5,360","7,276","12,265","9,401","10,610"
2020년03월_여_연령구간인구수,"174,260","15,116","12,103","15,217","10,089","15,034","15,400","19,393","16,492","10,504","5,360","7,276","12,265","9,401","10,610"
2020년03월_여_0~9세,"10,624",670,516,959,650,"1,367",932,"1,315","1,426",455,241,390,645,384,674
2020년03월_여_10~19세,"12,407",708,713,"1,043",929,997,"1,086","1,299","1,375",575,421,440,"1,146",733,942
2020년03월_여_20~29세,"27,555","2,961","1,887","2,297","1,184","2,129","2,052","2,691","1,860","1,165","1,529","1,695","2,407","2,238","1,460"
2020년03월_여_30~39세,"24,693","2,500","1,491","2,154","1,186","2,878","2,199","3,130","2,602","1,144",690,"1,031","1,436",971,"1,281"
2020년03월_여_40~49세,"25,262","1,958","1,453","2,143","1,647","2,279","2,237","3,079","2,861","1,296",686,886,"1,801","1,259","1,677"
2020년03월_여_50~59세,"26,991","2,234","1,862","2,430","1,704","2,219","2,620","3,081","2,487","1,857",604,"1,072","1,837","1,285","1,699"
2020년03월_여_60~69세,"23,391","1,959","1,973","2,030","1,387","1,610","2,181","2,680","2,153","1,913",534,849,"1,526","1,174","1,422"
2020년03월_여_70~79세,"15,404","1,371","1,431","1,401",944,994,"1,385","1,480","1,185","1,351",414,595,985,877,991
2020년03월_여_80~89세,"6,626",632,666,630,404,472,604,510,445,626,189,265,411,378,394
2020년03월_여_90~99세,"1,103",106,91,103,49,70,94,114,87,96,42,50,64,73,64
2020년03월_여_100세 이상,204,17,20,27,5,19,10,14,11,26,10,3,7,29,6
