,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년05월_계_총인구수,"176,886","14,101","12,462","15,158","28,224","11,819","26,221","18,839","10,361","11,078","28,623"
2020년05월_계_연령구간인구수,"176,886","14,101","12,462","15,158","28,224","11,819","26,221","18,839","10,361","11,078","28,623"
2020년05월_계_0~9세,"10,538",722,899,673,"1,764",736,"1,401","1,199",357,523,"2,264"
2020년05월_계_10~19세,"12,130","1,216","1,226",695,"1,988",919,"1,696","1,299",499,745,"1,847"
2020년05월_계_20~29세,"24,226","1,899","1,445","1,822","3,244","1,306","4,953","2,805","1,901","1,501","3,350"
2020년05월_계_30~39세,"24,144","1,659","1,286","1,884","3,583","1,520","4,104","2,725","1,559","1,559","4,265"
2020년05월_계_40~49세,"25,650","2,052","2,032","1,949","3,778","1,796","3,747","2,938","1,335","1,671","4,352"
2020년05월_계_50~59세,"27,883","2,439","2,196","2,413","4,538","1,901","3,610","2,763","1,509","1,770","4,744"
2020년05월_계_60~69세,"27,915","2,098","1,859","2,929","5,006","1,970","3,618","2,622","1,693","1,655","4,465"
2020년05월_계_70~79세,"16,938","1,303","1,050","1,938","2,928","1,220","2,183","1,757","1,068","1,102","2,389"
2020년05월_계_80~89세,"6,528",606,380,767,"1,215",398,793,657,390,493,829
2020년05월_계_90~99세,871,101,80,83,171,49,109,66,45,54,113
2020년05월_계_100세 이상,63,6,9,5,9,4,7,8,5,5,5
2020년05월_남_총인구수,"83,672","6,512","5,788","7,259","13,565","5,799","12,310","8,788","4,919","4,931","13,801"
2020년05월_남_연령구간인구수,"83,672","6,512","5,788","7,259","13,565","5,799","12,310","8,788","4,919","4,931","13,801"
2020년05월_남_0~9세,"5,407",355,440,352,922,382,759,605,184,271,"1,137"
2020년05월_남_10~19세,"6,245",615,625,345,"1,029",495,896,655,258,385,942
2020년05월_남_20~29세,"11,842",964,741,918,"1,684",716,"2,208","1,310",842,702,"1,757"
2020년05월_남_30~39세,"12,050",813,606,989,"1,830",766,"2,056","1,327",811,725,"2,127"
2020년05월_남_40~49세,"12,612",921,916,"1,019","1,903",938,"1,834","1,446",704,742,"2,189"
2020년05월_남_50~59세,"12,706","1,126",956,"1,129","2,082",900,"1,606","1,257",708,771,"2,171"
2020년05월_남_60~69세,"12,479",908,850,"1,304","2,239",884,"1,614","1,161",785,673,"2,061"
2020년05월_남_70~79세,"7,641",551,487,884,"1,367",556,"1,008",745,472,476,"1,095"
2020년05월_남_80~89세,"2,470",226,151,300,461,154,297,260,145,177,299
2020년05월_남_90~99세,207,33,13,19,45,8,29,20,10,9,21
2020년05월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년05월_여_총인구수,"93,214","7,589","6,674","7,899","14,659","6,020","13,911","10,051","5,442","6,147","14,822"
2020년05월_여_연령구간인구수,"93,214","7,589","6,674","7,899","14,659","6,020","13,911","10,051","5,442","6,147","14,822"
2020년05월_여_0~9세,"5,131",367,459,321,842,354,642,594,173,252,"1,127"
2020년05월_여_10~19세,"5,885",601,601,350,959,424,800,644,241,360,905
2020년05월_여_20~29세,"12,384",935,704,904,"1,560",590,"2,745","1,495","1,059",799,"1,593"
2020년05월_여_30~39세,"12,094",846,680,895,"1,753",754,"2,048","1,398",748,834,"2,138"
2020년05월_여_40~49세,"13,038","1,131","1,116",930,"1,875",858,"1,913","1,492",631,929,"2,163"
2020년05월_여_50~59세,"15,177","1,313","1,240","1,284","2,456","1,001","2,004","1,506",801,999,"2,573"
2020년05월_여_60~69세,"15,436","1,190","1,009","1,625","2,767","1,086","2,004","1,461",908,982,"2,404"
2020년05월_여_70~79세,"9,297",752,563,"1,054","1,561",664,"1,175","1,012",596,626,"1,294"
2020년05월_여_80~89세,"4,058",380,229,467,754,244,496,397,245,316,530
2020년05월_여_90~99세,664,68,67,64,126,41,80,46,35,45,92
2020년05월_여_100세 이상,50,6,6,5,6,4,4,6,5,5,3
