카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년10월_계_총인구수,"210,191","29,925","12,628","10,288","10,800","16,537","20,852","7,502","16,980","16,536","17,246","14,558","36,339"
2020년10월_계_연령구간인구수,"210,191","29,925","12,628","10,288","10,800","16,537","20,852","7,502","16,980","16,536","17,246","14,558","36,339"
2020년10월_계_0~9세,"15,018","2,663","1,110",490,759,"1,260","1,989",234,750,790,"1,074","1,309","2,590"
2020년10월_계_10~19세,"16,560","3,573","1,564",724,973,"1,261","1,298",392,901,694,"1,019","1,129","3,032"
2020년10월_계_20~29세,"26,341","3,269","1,338","1,172","1,261","1,879","2,558",811,"2,441","3,453","1,930","1,652","4,577"
2020년10월_계_30~39세,"27,682","3,232","1,292","1,106","1,193","2,220","3,708",739,"2,092","3,166","2,385","1,905","4,644"
2020년10월_계_40~49세,"32,030","5,599","2,385","1,356","1,629","2,480","3,006",994,"2,314","2,322","2,301","2,255","5,389"
2020년10월_계_50~59세,"34,332","4,767","1,970","1,673","1,888","2,680","3,106","1,332","2,893","2,344","2,733","2,495","6,451"
2020년10월_계_60~69세,"32,356","3,617","1,651","1,810","1,764","2,739","2,826","1,587","3,150","2,116","3,065","2,240","5,791"
2020년10월_계_70~79세,"18,136","2,235",916,"1,276",914,"1,457","1,646","1,016","1,734","1,191","1,905","1,153","2,693"
2020년10월_계_80~89세,"6,810",857,358,587,365,507,621,351,628,420,742,366,"1,008"
2020년10월_계_90~99세,837,110,35,87,52,46,85,41,72,31,80,47,151
2020년10월_계_100세 이상,89,3,9,7,2,8,9,5,5,9,12,7,13
2020년10월_남_총인구수,"101,317","14,488","6,035","4,860","5,300","8,066","10,009","3,561","8,161","7,877","8,350","7,138","17,472"
2020년10월_남_연령구간인구수,"101,317","14,488","6,035","4,860","5,300","8,066","10,009","3,561","8,161","7,877","8,350","7,138","17,472"
2020년10월_남_0~9세,"7,658","1,391",522,270,383,644,"1,018",122,355,395,561,687,"1,310"
2020년10월_남_10~19세,"8,516","1,879",749,387,537,670,638,195,460,359,539,569,"1,534"
2020년10월_남_20~29세,"13,371","1,719",705,568,706,"1,004","1,255",420,"1,164","1,459","1,029",890,"2,452"
2020년10월_남_30~39세,"13,907","1,511",609,565,620,"1,139","1,829",398,"1,102","1,600","1,249",927,"2,358"
2020년10월_남_40~49세,"15,649","2,594","1,145",673,769,"1,206","1,506",492,"1,171","1,209","1,200","1,136","2,548"
2020년10월_남_50~59세,"16,216","2,363",962,780,884,"1,231","1,449",618,"1,402","1,116","1,311","1,202","2,898"
2020년10월_남_60~69세,"14,883","1,655",786,811,831,"1,271","1,281",731,"1,421",999,"1,346","1,049","2,702"
2020년10월_남_70~79세,"8,277",974,411,559,427,685,773,446,817,558,812,538,"1,277"
2020년10월_남_80~89세,"2,626",372,136,218,135,200,239,130,248,173,280,132,363
2020년10월_남_90~99세,194,29,8,27,7,14,18,8,20,7,21,6,29
2020년10월_남_100세 이상,20,1,2,2,1,2,3,1,1,2,2,2,1
2020년10월_여_총인구수,"108,874","15,437","6,593","5,428","5,500","8,471","10,843","3,941","8,819","8,659","8,896","7,420","18,867"
2020년10월_여_연령구간인구수,"108,874","15,437","6,593","5,428","5,500","8,471","10,843","3,941","8,819","8,659","8,896","7,420","18,867"
2020년10월_여_0~9세,"7,360","1,272",588,220,376,616,971,112,395,395,513,622,"1,280"
2020년10월_여_10~19세,"8,044","1,694",815,337,436,591,660,197,441,335,480,560,"1,498"
2020년10월_여_20~29세,"12,970","1,550",633,604,555,875,"1,303",391,"1,277","1,994",901,762,"2,125"
2020년10월_여_30~39세,"13,775","1,721",683,541,573,"1,081","1,879",341,990,"1,566","1,136",978,"2,286"
2020년10월_여_40~49세,"16,381","3,005","1,240",683,860,"1,274","1,500",502,"1,143","1,113","1,101","1,119","2,841"
2020년10월_여_50~59세,"18,116","2,404","1,008",893,"1,004","1,449","1,657",714,"1,491","1,228","1,422","1,293","3,553"
2020년10월_여_60~69세,"17,473","1,962",865,999,933,"1,468","1,545",856,"1,729","1,117","1,719","1,191","3,089"
2020년10월_여_70~79세,"9,859","1,261",505,717,487,772,873,570,917,633,"1,093",615,"1,416"
2020년10월_여_80~89세,"4,184",485,222,369,230,307,382,221,380,247,462,234,645
2020년10월_여_90~99세,643,81,27,60,45,32,67,33,52,24,59,41,122
2020년10월_여_100세 이상,69,2,7,5,1,6,6,4,4,7,10,5,12
