카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년10월_계_총인구수,"313,677","20,217","14,436","13,040","11,437","27,455","21,951","25,541","17,737","16,155","11,398","28,163","40,084","28,297","11,720","19,569","6,477"
2020년10월_계_연령구간인구수,"313,677","20,217","14,436","13,040","11,437","27,455","21,951","25,541","17,737","16,155","11,398","28,163","40,084","28,297","11,720","19,569","6,477"
2020년10월_계_0~9세,"20,356","1,122",931,568,536,"1,710","1,270","1,467","1,139","1,141","1,011","2,049","3,198","1,767","1,321",984,142
2020년10월_계_10~19세,"25,677","1,615","1,128",780,795,"2,385","1,717","2,066","1,190","1,347",990,"2,480","4,047","2,541",853,"1,470",273
2020년10월_계_20~29세,"40,168","2,353","1,579","1,475","1,442","3,539","3,657","5,049","1,976","2,198","1,089","3,579","4,597","3,427","1,331","2,308",569
2020년10월_계_30~39세,"37,521","2,336","1,569","1,571","1,175","3,118","2,930","3,214","2,209","2,273","1,590","3,812","4,474","2,806","2,066","1,907",471
2020년10월_계_40~49세,"46,437","2,757","2,197","1,674","1,585","3,960","3,033","3,561","2,653","2,450","2,045","4,494","6,626","4,135","1,818","2,662",787
2020년10월_계_50~59세,"55,298","3,479","2,365","2,236","1,987","4,882","3,707","4,198","3,235","2,944","1,812","4,924","7,190","5,483","1,839","3,760","1,257"
2020년10월_계_60~69세,"50,950","3,505","2,568","2,594","2,177","4,642","3,326","3,525","3,072","2,424","1,652","4,292","5,748","4,755","1,574","3,735","1,361"
2020년10월_계_70~79세,"26,169","2,037","1,521","1,496","1,235","2,285","1,622","1,776","1,603",969,896,"1,910","2,883","2,254",658,"1,959","1,065"
2020년10월_계_80~89세,"9,602",850,502,562,442,829,602,616,550,351,283,548,"1,143",967,212,677,468
2020년10월_계_90~99세,"1,338",135,67,72,56,96,77,65,87,56,28,72,167,155,42,94,69
2020년10월_계_100세 이상,161,28,9,12,7,9,10,4,23,2,2,3,11,7,6,13,15
2020년10월_남_총인구수,"156,217","9,753","7,094","6,283","5,537","13,484","10,954","12,696","9,095","8,090","5,910","14,338","20,083","13,922","5,977","9,678","3,323"
2020년10월_남_연령구간인구수,"156,217","9,753","7,094","6,283","5,537","13,484","10,954","12,696","9,095","8,090","5,910","14,338","20,083","13,922","5,977","9,678","3,323"
2020년10월_남_0~9세,"10,418",591,479,304,285,899,644,752,582,586,507,"1,083","1,585",883,691,489,58
2020년10월_남_10~19세,"13,372",864,574,400,400,"1,246",871,"1,009",618,723,533,"1,299","2,174","1,307",457,756,141
