카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년02월_계_총인구수,"256,573","49,153","4,542","14,160","51,271","38,739","29,857","24,332","23,355","8,065","3,766","9,333"
2020년02월_계_연령구간인구수,"256,573","49,153","4,542","14,160","51,271","38,739","29,857","24,332","23,355","8,065","3,766","9,333"
2020년02월_계_0~9세,"30,095","3,581",247,944,"6,345","6,478","5,570","2,592","2,591",438,124,"1,185"
2020년02월_계_10~19세,"23,517","4,818",186,"1,596","5,796","3,383","3,215","1,678","1,692",518,126,509
2020년02월_계_20~29세,"29,215","6,635",481,"1,961","5,912","4,022","2,464","2,636","3,151",713,320,920
2020년02월_계_30~39세,"42,750","5,495",560,"1,487","7,817","9,092","6,782","3,979","4,629",697,290,"1,922"
2020년02월_계_40~49세,"42,496","7,547",565,"2,749","9,499","6,722","5,665","3,393","3,611",997,346,"1,402"
2020년02월_계_50~59세,"40,621","9,935",933,"3,027","7,935","4,901","2,883","4,295","3,251","1,390",871,"1,200"
2020년02월_계_60~69세,"27,759","6,591",814,"1,388","4,843","2,745","2,072","3,413","2,440","1,599",818,"1,036"
2020년02월_계_70~79세,"13,369","3,130",471,645,"2,209","1,032",799,"1,597","1,317",996,505,668
2020년02월_계_80~89세,"5,999","1,250",250,329,813,319,359,681,602,613,340,443
2020년02월_계_90~99세,724,161,34,31,102,43,45,68,68,100,25,47
2020년02월_계_100세 이상,28,10,1,3,0,2,3,0,3,4,1,1
2020년02월_남_총인구수,"130,385","24,537","2,479","7,462","25,442","19,789","15,045","12,335","12,229","4,016","2,042","5,009"
2020년02월_남_연령구간인구수,"130,385","24,537","2,479","7,462","25,442","19,789","15,045","12,335","12,229","4,016","2,042","5,009"
2020년02월_남_0~9세,"15,309","1,850",132,474,"3,169","3,300","2,846","1,347","1,322",212,65,592
2020년02월_남_10~19세,"12,321","2,494",94,840,"3,055","1,794","1,648",894,893,280,65,264
2020년02월_남_20~29세,"16,099","3,670",287,"1,166","3,152","2,120","1,306","1,450","1,805",414,196,533
2020년02월_남_30~39세,"22,226","2,845",344,795,"3,846","4,659","3,348","2,084","2,625",358,174,"1,148"
2020년02월_남_40~49세,"22,212","3,652",351,"1,463","4,764","3,602","2,988","1,788","1,995",530,225,854
2020년02월_남_50~59세,"20,285","4,817",526,"1,654","3,787","2,386","1,415","2,134","1,654",735,504,673
2020년02월_남_60~69세,"13,815","3,303",453,725,"2,309","1,365","1,006","1,688","1,190",789,474,513
2020년02월_남_70~79세,"6,011","1,404",203,244,"1,039",468,368,732,551,470,235,297
2020년02월_남_80~89세,"1,948",453,83,97,302,89,106,205,180,203,101,129
2020년02월_남_90~99세,151,44,6,4,19,6,13,13,13,24,3,6
2020년02월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년02월_여_총인구수,"126,188","24,616","2,063","6,698","25,829","18,950","14,812","11,997","11,126","4,049","1,724","4,324"
2020년02월_여_연령구간인구수,"126,188","24,616","2,063","6,698","25,829","18,950","14,812","11,997","11,126","4,049","1,724","4,324"
2020년02월_여_0~9세,"14,786","1,731",115,470,"3,176","3,178","2,724","1,245","1,269",226,59,593
2020년02월_여_10~19세,"11,196","2,324",92,756,"2,741","1,589","1,567",784,799,238,61,245
2020년02월_여_20~29세,"13,116","2,965",194,795,"2,760","1,902","1,158","1,186","1,346",299,124,387
2020년02월_여_30~39세,"20,524","2,650",216,692,"3,971","4,433","3,434","1,895","2,004",339,116,774
2020년02월_여_40~49세,"20,284","3,895",214,"1,286","4,735","3,120","2,677","1,605","1,616",467,121,548
2020년02월_여_50~59세,"20,336","5,118",407,"1,373","4,148","2,515","1,468","2,161","1,597",655,367,527
2020년02월_여_60~69세,"13,944","3,288",361,663,"2,534","1,380","1,066","1,725","1,250",810,344,523
2020년02월_여_70~79세,"7,358","1,726",268,401,"1,170",564,431,865,766,526,270,371
2020년02월_여_80~89세,"4,051",797,167,232,511,230,253,476,422,410,239,314
2020년02월_여_90~99세,573,117,28,27,83,37,32,55,55,76,22,41
2020년02월_여_100세 이상,20,5,1,3,0,2,2,0,2,3,1,1
