,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년07월_계_총인구수,"69,032","22,726","7,739","4,888","6,976","4,510","4,191","3,093","4,079","1,841","3,187","2,919","2,232",384,267
2020년07월_계_연령구간인구수,"69,032","22,726","7,739","4,888","6,976","4,510","4,191","3,093","4,079","1,841","3,187","2,919","2,232",384,267
2020년07월_계_0~9세,"3,311","1,464",516,183,319,159,157,70,117,58,126,71,59,5,7
2020년07월_계_10~19세,"4,644","2,196",658,210,407,206,230,124,154,74,136,122,112,12,3
2020년07월_계_20~29세,"5,464","2,331",713,315,518,270,255,199,247,87,210,176,114,21,8
2020년07월_계_30~39세,"5,388","2,183",671,331,616,322,241,189,227,76,215,160,130,19,8
2020년07월_계_40~49세,"7,823","3,240","1,062",438,745,395,437,283,355,149,286,205,191,23,14
2020년07월_계_50~59세,"12,081","3,842","1,341",877,"1,360",786,732,539,650,340,541,540,403,76,54
2020년07월_계_60~69세,"13,842","3,528","1,363","1,205","1,553","1,134",941,738,933,420,668,631,546,105,77
2020년07월_계_70~79세,"10,113","2,501",852,784,947,769,706,615,820,376,592,621,402,66,62
2020년07월_계_80~89세,"5,553","1,255",477,461,436,402,427,307,513,236,374,342,241,53,29
2020년07월_계_90~99세,775,171,85,81,72,65,62,28,60,25,35,49,33,4,5
2020년07월_계_100세 이상,38,15,1,3,3,2,3,1,3,0,4,2,1,0,0
2020년07월_남_총인구수,"34,582","11,233","3,857","2,465","3,534","2,287","2,079","1,523","2,081",924,"1,592","1,509","1,160",194,144
2020년07월_남_연령구간인구수,"34,582","11,233","3,857","2,465","3,534","2,287","2,079","1,523","2,081",924,"1,592","1,509","1,160",194,144
2020년07월_남_0~9세,"1,732",768,259,80,170,72,83,46,64,35,66,44,37,4,4
2020년07월_남_10~19세,"2,387","1,099",337,110,215,121,120,65,82,34,66,60,71,6,1
2020년07월_남_20~29세,"3,146","1,332",416,184,304,152,145,108,154,51,110,111,64,10,5
2020년07월_남_30~39세,"2,826","1,129",322,175,313,189,130,102,120,44,123,89,77,9,4
2020년07월_남_40~49세,"4,263","1,654",553,251,420,231,242,163,209,82,185,137,111,15,10
2020년07월_남_50~59세,"6,210","1,938",679,445,693,379,377,259,359,195,296,293,221,44,32
2020년07월_남_60~69세,"6,868","1,707",676,615,759,580,468,363,479,204,319,324,281,50,43
2020년07월_남_70~79세,"4,765","1,102",411,397,475,377,327,288,381,175,283,291,192,37,29
2020년07월_남_80~89세,"2,188",458,182,190,169,167,171,121,224,99,135,143,98,16,15
2020년07월_남_90~99세,188,42,22,18,14,19,15,7,9,5,9,16,8,3,1
2020년07월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년07월_여_총인구수,"34,450","11,493","3,882","2,423","3,442","2,223","2,112","1,570","1,998",917,"1,595","1,410","1,072",190,123
2020년07월_여_연령구간인구수,"34,450","11,493","3,882","2,423","3,442","2,223","2,112","1,570","1,998",917,"1,595","1,410","1,072",190,123
2020년07월_여_0~9세,"1,579",696,257,103,149,87,74,24,53,23,60,27,22,1,3
2020년07월_여_10~19세,"2,257","1,097",321,100,192,85,110,59,72,40,70,62,41,6,2
2020년07월_여_20~29세,"2,318",999,297,131,214,118,110,91,93,36,100,65,50,11,3
2020년07월_여_30~39세,"2,562","1,054",349,156,303,133,111,87,107,32,92,71,53,10,4
2020년07월_여_40~49세,"3,560","1,586",509,187,325,164,195,120,146,67,101,68,80,8,4
2020년07월_여_50~59세,"5,871","1,904",662,432,667,407,355,280,291,145,245,247,182,32,22
2020년07월_여_60~69세,"6,974","1,821",687,590,794,554,473,375,454,216,349,307,265,55,34
2020년07월_여_70~79세,"5,348","1,399",441,387,472,392,379,327,439,201,309,330,210,29,33
2020년07월_여_80~89세,"3,365",797,295,271,267,235,256,186,289,137,239,199,143,37,14
2020년07월_여_90~99세,587,129,63,63,58,46,47,21,51,20,26,33,25,1,4
2020년07월_여_100세 이상,29,11,1,3,1,2,2,0,3,0,4,1,1,0,0
