카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년08월_계_총인구수,"822,865","64,732","90,397","42,193","132,188","87,065","82,504","57,304","96,588","84,689","85,205"
2020년08월_계_연령구간인구수,"822,865","64,732","90,397","42,193","132,188","87,065","82,504","57,304","96,588","84,689","85,205"
2020년08월_계_0~9세,"58,859","3,139","5,816","2,851","10,188","8,213","4,863","3,822","10,039","4,690","5,238"
2020년08월_계_10~19세,"71,836","4,035","7,379","3,956","11,602","10,089","6,463","4,477","9,235","7,388","7,212"
2020년08월_계_20~29세,"118,205","10,218","12,936","6,210","19,787","12,290","11,768","7,952","11,547","12,683","12,814"
2020년08월_계_30~39세,"117,685","9,662","12,189","5,522","21,898","12,820","11,422","8,287","14,951","9,945","10,989"
2020년08월_계_40~49세,"130,764","9,808","14,094","6,494","20,797","15,470","12,593","8,070","17,163","13,062","13,213"
2020년08월_계_50~59세,"148,861","11,799","16,736","7,853","23,145","15,386","14,869","10,349","14,516","17,074","17,134"
2020년08월_계_60~69세,"107,827","9,600","12,752","5,766","15,956","8,436","12,206","8,789","11,283","11,613","11,426"
2020년08월_계_70~79세,"46,068","4,504","5,778","2,349","5,724","2,898","5,647","3,826","5,158","5,384","4,800"
2020년08월_계_80~89세,"19,502","1,689","2,376","1,002","2,588","1,232","2,293","1,487","2,296","2,474","2,065"
2020년08월_계_90~99세,"3,015",244,310,176,483,228,350,222,360,350,292
2020년08월_계_100세 이상,243,34,31,14,20,3,30,23,40,26,22
2020년08월_남_총인구수,"408,411","32,852","45,309","20,820","64,015","42,750","40,851","28,326","47,428","42,478","43,582"
2020년08월_남_연령구간인구수,"408,411","32,852","45,309","20,820","64,015","42,750","40,851","28,326","47,428","42,478","43,582"
2020년08월_남_0~9세,"30,163","1,660","2,988","1,456","5,263","4,165","2,524","1,948","5,109","2,355","2,695"
2020년08월_남_10~19세,"36,936","2,063","3,855","2,090","5,866","5,158","3,344","2,260","4,645","3,839","3,816"
2020년08월_남_20~29세,"60,995","5,171","6,812","3,153","9,741","6,277","6,149","4,155","5,958","6,715","6,864"
2020년08월_남_30~39세,"60,404","5,331","6,306","2,806","10,811","6,124","6,089","4,392","7,294","5,355","5,896"
2020년08월_남_40~49세,"65,756","5,326","7,345","3,178","9,889","7,268","6,370","4,019","8,773","6,601","6,987"
2020년08월_남_50~59세,"72,473","5,939","8,290","3,789","10,764","7,526","7,067","4,877","6,964","8,593","8,664"
2020년08월_남_60~69세,"53,250","4,593","6,165","2,860","8,119","4,438","5,825","4,236","5,400","5,810","5,804"
2020년08월_남_70~79세,"21,219","2,131","2,647","1,117","2,668","1,362","2,564","1,851","2,404","2,337","2,138"
2020년08월_남_80~89세,"6,479",592,809,324,788,382,846,526,780,786,646
2020년08월_남_90~99세,677,39,82,43,101,49,66,58,88,82,69
2020년08월_남_100세 이상,59,7,10,4,5,1,7,4,13,5,3
2020년08월_여_총인구수,"414,454","31,880","45,088","21,373","68,173","44,315","41,653","28,978","49,160","42,211","41,623"
2020년08월_여_연령구간인구수,"414,454","31,880","45,088","21,373","68,173","44,315","41,653","28,978","49,160","42,211","41,623"
2020년08월_여_0~9세,"28,696","1,479","2,828","1,395","4,925","4,048","2,339","1,874","4,930","2,335","2,543"
2020년08월_여_10~19세,"34,900","1,972","3,524","1,866","5,736","4,931","3,119","2,217","4,590","3,549","3,396"
2020년08월_여_20~29세,"57,210","5,047","6,124","3,057","10,046","6,013","5,619","3,797","5,589","5,968","5,950"
2020년08월_여_30~39세,"57,281","4,331","5,883","2,716","11,087","6,696","5,333","3,895","7,657","4,590","5,093"
2020년08월_여_40~49세,"65,008","4,482","6,749","3,316","10,908","8,202","6,223","4,051","8,390","6,461","6,226"
2020년08월_여_50~59세,"76,388","5,860","8,446","4,064","12,381","7,860","7,802","5,472","7,552","8,481","8,470"
2020년08월_여_60~69세,"54,577","5,007","6,587","2,906","7,837","3,998","6,381","4,553","5,883","5,803","5,622"
2020년08월_여_70~79세,"24,849","2,373","3,131","1,232","3,056","1,536","3,083","1,975","2,754","3,047","2,662"
2020년08월_여_80~89세,"13,023","1,097","1,567",678,"1,800",850,"1,447",961,"1,516","1,688","1,419"
2020년08월_여_90~99세,"2,338",205,228,133,382,179,284,164,272,268,223
2020년08월_여_100세 이상,184,27,21,10,15,2,23,19,27,21,19
