카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년04월_계_총인구수,"175,409","14,591","7,101","12,559","16,438","27,628","19,536","11,015","16,518","13,858","6,618","13,263","16,284"
2021년04월_계_연령구간인구수,"175,409","14,591","7,101","12,559","16,438","27,628","19,536","11,015","16,518","13,858","6,618","13,263","16,284"
2021년04월_계_0~9세,"10,966",628,301,665,936,"1,991",962,493,"1,994",769,451,846,930
2021년04월_계_10~19세,"16,301",999,477,989,"1,640","3,796","1,575",873,"1,513","1,230",599,"1,043","1,567"
2021년04월_계_20~29세,"24,379","2,276",793,"1,444","2,281","4,047","2,999","1,490","1,987","2,108","1,016","1,740","2,198"
2021년04월_계_30~39세,"19,871","1,552",830,"1,226","1,591","2,672","2,205","1,090","2,880","1,672",993,"1,619","1,541"
2021년04월_계_40~49세,"26,800","1,930","1,072","1,753","2,535","4,943","3,020","1,520","2,707","2,104","1,193","1,726","2,297"
2021년04월_계_50~59세,"33,329","2,721","1,341","2,341","3,163","5,615","3,702","2,140","2,614","2,649","1,152","2,620","3,271"
2021년04월_계_60~69세,"25,504","2,641","1,322","2,305","2,504","2,759","3,018","1,872","1,773","1,825",744,"2,058","2,683"
2021년04월_계_70~79세,"12,084","1,299",662,"1,181","1,208","1,133","1,414","1,016",656,989,311,"1,048","1,167"
2021년04월_계_80~89세,"5,438",462,254,585,515,597,574,460,344,453,138,509,547
2021년04월_계_90~99세,708,78,47,67,63,72,65,54,49,57,20,53,83
2021년04월_계_100세 이상,29,5,2,3,2,3,2,7,1,2,1,1,0
2021년04월_남_총인구수,"89,254","7,758","3,754","6,389","8,192","13,686","10,151","5,633","8,480","7,355","3,591","6,291","7,974"
2021년04월_남_연령구간인구수,"89,254","7,758","3,754","6,389","8,192","13,686","10,151","5,633","8,480","7,355","3,591","6,291","7,974"
2021년04월_남_0~9세,"5,538",329,159,331,469,996,480,232,"1,029",406,223,413,471
2021년04월_남_10~19세,"8,525",557,265,518,866,"1,936",856,463,787,632,302,517,826
2021년04월_남_20~29세,"13,534","1,258",454,797,"1,248","2,191","1,670",834,"1,089","1,229",587,943,"1,234"
2021년04월_남_30~39세,"10,849",889,433,668,880,"1,350","1,251",620,"1,474",983,621,857,823
2021년04월_남_40~49세,"13,715","1,102",630,927,"1,251","2,222","1,611",814,"1,449","1,145",672,834,"1,058"
2021년04월_남_50~59세,"16,920","1,446",724,"1,231","1,547","2,847","1,910","1,106","1,290","1,445",613,"1,225","1,536"
2021년04월_남_60~69세,"12,596","1,352",698,"1,134","1,170","1,401","1,472",918,913,886,380,948,"1,324"
2021년04월_남_70~79세,"5,502",632,296,557,540,503,663,479,311,445,148,412,516
2021년04월_남_80~89세,"1,933",179,88,208,204,224,226,161,127,170,43,130,173
2021년04월_남_90~99세,139,13,7,18,16,16,11,6,11,14,2,12,13
2021년04월_남_100세 이상,3,1,0,0,1,0,1,0,0,0,0,0,0
2021년04월_여_총인구수,"86,155","6,833","3,347","6,170","8,246","13,942","9,385","5,382","8,038","6,503","3,027","6,972","8,310"
2021년04월_여_연령구간인구수,"86,155","6,833","3,347","6,170","8,246","13,942","9,385","5,382","8,038","6,503","3,027","6,972","8,310"
2021년04월_여_0~9세,"5,428",299,142,334,467,995,482,261,965,363,228,433,459
2021년04월_여_10~19세,"7,776",442,212,471,774,"1,860",719,410,726,598,297,526,741
2021년04월_여_20~29세,"10,845","1,018",339,647,"1,033","1,856","1,329",656,898,879,429,797,964
2021년04월_여_30~39세,"9,022",663,397,558,711,"1,322",954,470,"1,406",689,372,762,718
2021년04월_여_40~49세,"13,085",828,442,826,"1,284","2,721","1,409",706,"1,258",959,521,892,"1,239"
2021년04월_여_50~59세,"16,409","1,275",617,"1,110","1,616","2,768","1,792","1,034","1,324","1,204",539,"1,395","1,735"
2021년04월_여_60~69세,"12,908","1,289",624,"1,171","1,334","1,358","1,546",954,860,939,364,"1,110","1,359"
2021년04월_여_70~79세,"6,582",667,366,624,668,630,751,537,345,544,163,636,651
2021년04월_여_80~89세,"3,505",283,166,377,311,373,348,299,217,283,95,379,374
2021년04월_여_90~99세,569,65,40,49,47,56,54,48,38,43,18,41,70
2021년04월_여_100세 이상,26,4,2,3,1,3,1,7,1,2,1,1,0
