카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년12월_계_총인구수,"218,388","14,699","36,065","13,723","11,268","5,900","14,265","14,431","4,417","4,752","2,667","17,257","53,797","14,868","10,279"
2020년12월_계_연령구간인구수,"218,388","14,699","36,065","13,723","11,268","5,900","14,265","14,431","4,417","4,752","2,667","17,257","53,797","14,868","10,279"
2020년12월_계_0~9세,"18,823",986,"3,328","1,074",796,307,"1,498","1,224",147,181,61,988,"6,717",946,570
2020년12월_계_10~19세,"22,231","1,378","4,477","1,034",874,422,"1,128","1,214",251,228,121,"1,544","7,841",931,788
2020년12월_계_20~29세,"30,105","1,543","5,043","1,624","1,296",693,"2,144","2,531",378,395,184,"2,851","6,833","3,070","1,520"
2020년12월_계_30~39세,"30,526","1,512","5,121","1,858","1,271",649,"2,535","2,482",352,392,150,"2,191","8,241","2,419","1,353"
2020년12월_계_40~49세,"34,690","2,021","6,698","1,961","1,613",716,"1,995","2,111",500,501,237,"2,586","10,404","1,871","1,476"
2020년12월_계_50~59세,"35,246","2,508","5,537","2,557","2,180","1,113","2,009","1,969",861,888,446,"2,970","7,943","2,300","1,965"
2020년12월_계_60~69세,"25,947","2,425","3,380","2,067","1,721","1,055","1,596","1,543",961,"1,013",680,"2,437","3,612","1,902","1,555"
2020년12월_계_70~79세,"13,065","1,411","1,591",994,914,583,858,880,568,669,396,"1,131","1,425",931,714
2020년12월_계_80~89세,"6,742",808,789,463,512,316,427,404,355,417,341,496,686,434,294
2020년12월_계_90~99세,950,96,97,84,87,45,69,69,42,62,47,59,93,59,41
2020년12월_계_100세 이상,63,11,4,7,4,1,6,4,2,6,4,4,2,5,3
2020년12월_남_총인구수,"112,947","7,467","18,918","7,204","5,744","3,133","7,726","7,358","2,375","2,503","1,370","8,576","26,907","8,424","5,242"
2020년12월_남_연령구간인구수,"112,947","7,467","18,918","7,204","5,744","3,133","7,726","7,358","2,375","2,503","1,370","8,576","26,907","8,424","5,242"
2020년12월_남_0~9세,"9,729",504,"1,694",555,409,158,769,642,84,85,35,507,"3,491",494,302
2020년12월_남_10~19세,"11,559",730,"2,322",554,462,231,577,608,143,119,65,797,"4,091",496,364
2020년12월_남_20~29세,"17,037",921,"2,950",889,714,380,"1,298","1,249",239,236,106,"1,515","3,621","2,119",800
2020년12월_남_30~39세,"16,377",791,"2,722","1,002",652,387,"1,443","1,311",225,238,94,"1,229","3,985","1,513",785
2020년12월_남_40~49세,"17,940","1,048","3,447","1,083",856,421,"1,140","1,163",289,308,151,"1,269","4,982","1,019",764
2020년12월_남_50~59세,"18,327","1,299","2,981","1,342","1,108",619,"1,083","1,039",470,488,238,"1,405","4,064","1,195",996
2020년12월_남_60~69세,"13,228","1,202","1,752","1,101",886,548,839,786,506,533,349,"1,138","1,834",951,803
2020년12월_남_70~79세,"6,013",652,739,471,421,262,403,395,272,325,192,527,600,446,308
2020년12월_남_80~89세,"2,479",291,289,185,211,116,152,146,135,160,127,169,218,174,106
2020년12월_남_90~99세,239,25,22,19,25,11,20,17,12,9,12,20,20,14,13
2020년12월_남_100세 이상,19,4,0,3,0,0,2,2,0,2,1,0,1,3,1
2020년12월_여_총인구수,"105,441","7,232","17,147","6,519","5,524","2,767","6,539","7,073","2,042","2,249","1,297","8,681","26,890","6,444","5,037"
2020년12월_여_연령구간인구수,"105,441","7,232","17,147","6,519","5,524","2,767","6,539","7,073","2,042","2,249","1,297","8,681","26,890","6,444","5,037"
2020년12월_여_0~9세,"9,094",482,"1,634",519,387,149,729,582,63,96,26,481,"3,226",452,268
2020년12월_여_10~19세,"10,672",648,"2,155",480,412,191,551,606,108,109,56,747,"3,750",435,424
2020년12월_여_20~29세,"13,068",622,"2,093",735,582,313,846,"1,282",139,159,78,"1,336","3,212",951,720
2020년12월_여_30~39세,"14,149",721,"2,399",856,619,262,"1,092","1,171",127,154,56,962,"4,256",906,568
2020년12월_여_40~49세,"16,750",973,"3,251",878,757,295,855,948,211,193,86,"1,317","5,422",852,712
2020년12월_여_50~59세,"16,919","1,209","2,556","1,215","1,072",494,926,930,391,400,208,"1,565","3,879","1,105",969
2020년12월_여_60~69세,"12,719","1,223","1,628",966,835,507,757,757,455,480,331,"1,299","1,778",951,752
2020년12월_여_70~79세,"7,052",759,852,523,493,321,455,485,296,344,204,604,825,485,406
2020년12월_여_80~89세,"4,263",517,500,278,301,200,275,258,220,257,214,327,468,260,188
2020년12월_여_90~99세,711,71,75,65,62,34,49,52,30,53,35,39,73,45,28
2020년12월_여_100세 이상,44,7,4,4,4,1,4,2,2,4,3,4,1,2,2
