카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년09월_계_총인구수,"1,596,765","848,711","193,680","193,192","267,592","194,247","209,438","131,879","31,893","50,215","45,976","36,388","84,917","36,880","92,027","28,441"
2021년09월_계_연령구간인구수,"1,596,765","848,711","193,680","193,192","267,592","194,247","209,438","131,879","31,893","50,215","45,976","36,388","84,917","36,880","92,027","28,441"
2021년09월_계_0~9세,"118,430","71,858","16,039","12,947","23,664","19,208","13,938","8,269","1,365","2,457","2,156","2,994","7,507","1,225","5,548","1,113"
2021년09월_계_10~19세,"146,872","85,017","19,709","19,580","26,362","19,366","18,545","11,383","2,034","3,781","3,210","3,369","8,369","1,871","7,401","1,892"
2021년09월_계_20~29세,"195,670","119,709","24,597","28,220","40,919","25,973","23,820","14,434","2,252","4,172","3,918","4,405","9,240","2,538","9,122","2,060"
2021년09월_계_30~39세,"191,514","118,109","23,434","22,234","41,436","31,005","23,011","12,519","2,029","3,732","3,000","4,421","11,449","2,232","9,155","1,857"
2021년09월_계_40~49세,"237,294","135,789","30,445","29,881","43,151","32,312","30,205","17,784","3,156","6,096","4,995","5,470","13,729","3,610","13,344","3,116"
2021년09월_계_50~59세,"270,258","137,648","33,394","33,694","42,963","27,597","37,032","23,516","5,628","8,770","8,101","6,018","13,792","6,996","17,382","5,375"
2021년09월_계_60~69세,"238,847","104,619","26,063","26,834","29,825","21,897","33,976","24,146","7,254","10,387","9,690","5,306","11,239","9,149","16,365","6,716"
2021년09월_계_70~79세,"119,718","47,652","12,385","12,517","12,316","10,434","17,150","12,306","4,497","6,339","6,375","2,673","5,501","5,306","8,111","3,808"
2021년09월_계_80~89세,"68,404","24,709","6,596","6,375","6,086","5,652","10,391","6,632","3,165","3,851","3,981","1,546","3,599","3,470","4,857","2,203"
2021년09월_계_90~99세,"9,438","3,487",988,886,850,763,"1,332",831,498,618,536,182,479,466,722,287
2021년09월_계_100세 이상,320,114,30,24,20,40,38,59,15,12,14,4,13,17,20,14
2021년09월_남_총인구수,"809,981","427,871","96,277","95,955","135,825","99,814","105,958","66,273","16,050","25,283","22,912","18,973","44,559","18,963","48,723","14,416"
