카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년07월_계_총인구수,"176,742","14,059","12,410","15,140","28,069","11,767","26,376","18,889","10,277","10,961","28,794"
2020년07월_계_연령구간인구수,"176,742","14,059","12,410","15,140","28,069","11,767","26,376","18,889","10,277","10,961","28,794"
2020년07월_계_0~9세,"10,458",720,873,656,"1,740",739,"1,391","1,190",348,513,"2,288"
2020년07월_계_10~19세,"11,997","1,195","1,209",684,"1,982",890,"1,695","1,276",475,734,"1,857"
2020년07월_계_20~29세,"24,273","1,891","1,434","1,829","3,170","1,296","5,046","2,852","1,932","1,468","3,355"
2020년07월_계_30~39세,"24,108","1,665","1,272","1,869","3,555","1,501","4,137","2,748","1,552","1,541","4,268"
2020년07월_계_40~49세,"25,589","2,034","2,002","1,952","3,759","1,774","3,767","2,914","1,326","1,671","4,390"
2020년07월_계_50~59세,"27,764","2,433","2,203","2,386","4,484","1,903","3,613","2,790","1,475","1,728","4,749"
2020년07월_계_60~69세,"28,035","2,106","1,877","2,949","5,023","1,984","3,616","2,622","1,671","1,666","4,521"
2020년07월_계_70~79세,"17,022","1,305","1,058","1,955","2,961","1,225","2,200","1,761","1,051","1,088","2,418"
2020년07월_계_80~89세,"6,560",604,391,770,"1,221",401,790,666,397,494,826
2020년07월_계_90~99세,873,100,82,84,167,50,114,63,44,52,117
2020년07월_계_100세 이상,63,6,9,6,7,4,7,7,6,6,5
2020년07월_남_총인구수,"83,573","6,482","5,771","7,245","13,484","5,788","12,396","8,791","4,868","4,873","13,875"
2020년07월_남_연령구간인구수,"83,573","6,482","5,771","7,245","13,484","5,788","12,396","8,791","4,868","4,873","13,875"
2020년07월_남_0~9세,"5,375",346,434,341,917,380,752,603,182,265,"1,155"
2020년07월_남_10~19세,"6,192",610,611,347,"1,027",482,901,649,241,373,951
2020년07월_남_20~29세,"11,837",953,741,907,"1,641",719,"2,248","1,328",856,684,"1,760"
2020년07월_남_30~39세,"11,996",808,595,986,"1,808",762,"2,067","1,333",802,720,"2,115"
2020년07월_남_40~49세,"12,581",919,905,"1,026","1,893",923,"1,847","1,433",695,735,"2,205"
2020년07월_남_50~59세,"12,693","1,115",962,"1,116","2,052",907,"1,631","1,272",695,754,"2,189"
2020년07월_남_60~69세,"12,512",920,855,"1,312","2,244",898,"1,608","1,148",774,682,"2,071"
2020년07월_남_70~79세,"7,679",555,498,888,"1,388",550,"1,010",745,467,473,"1,105"
2020년07월_남_80~89세,"2,487",223,153,302,468,159,297,259,148,178,300
2020년07월_남_90~99세,208,33,14,20,43,8,32,19,8,9,22
2020년07월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년07월_여_총인구수,"93,169","7,577","6,639","7,895","14,585","5,979","13,980","10,098","5,409","6,088","14,919"
2020년07월_여_연령구간인구수,"93,169","7,577","6,639","7,895","14,585","5,979","13,980","10,098","5,409","6,088","14,919"
2020년07월_여_0~9세,"5,083",374,439,315,823,359,639,587,166,248,"1,133"
2020년07월_여_10~19세,"5,805",585,598,337,955,408,794,627,234,361,906
2020년07월_여_20~29세,"12,436",938,693,922,"1,529",577,"2,798","1,524","1,076",784,"1,595"
2020년07월_여_30~39세,"12,112",857,677,883,"1,747",739,"2,070","1,415",750,821,"2,153"
2020년07월_여_40~49세,"13,008","1,115","1,097",926,"1,866",851,"1,920","1,481",631,936,"2,185"
2020년07월_여_50~59세,"15,071","1,318","1,241","1,270","2,432",996,"1,982","1,518",780,974,"2,560"
2020년07월_여_60~69세,"15,523","1,186","1,022","1,637","2,779","1,086","2,008","1,474",897,984,"2,450"
2020년07월_여_70~79세,"9,343",750,560,"1,067","1,573",675,"1,190","1,016",584,615,"1,313"
2020년07월_여_80~89세,"4,073",381,238,468,753,242,493,407,249,316,526
2020년07월_여_90~99세,665,67,68,64,124,42,82,44,36,43,95
2020년07월_여_100세 이상,50,6,6,6,4,4,4,5,6,6,3
