카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년09월_계_총인구수,"337,846","30,977","24,730","29,423","18,735","29,056","28,527","38,243","32,557","18,928","10,551","13,756","24,236","18,082","20,045"
2021년09월_계_연령구간인구수,"337,846","30,977","24,730","29,423","18,735","29,056","28,527","38,243","32,557","18,928","10,551","13,756","24,236","18,082","20,045"
2021년09월_계_0~9세,"19,747","1,194",988,"1,820","1,177","2,680","1,793","2,405","2,741",720,418,807,"1,152",668,"1,184"
2021년09월_계_10~19세,"22,979","1,377","1,363","1,831","1,694","1,966","1,870","2,605","2,805","1,034",702,774,"2,011","1,218","1,729"
2021년09월_계_20~29세,"56,597","6,223","4,501","4,538","2,236","4,176","3,651","5,289","3,807","2,205","3,363","3,504","5,521","4,806","2,777"
2021년09월_계_30~39세,"48,994","5,448","3,194","4,143","2,202","5,212","4,363","6,222","4,925","2,109","1,498","2,148","2,933","2,139","2,458"
2021년09월_계_40~49세,"49,160","4,092","2,997","4,264","2,981","4,746","4,071","6,195","5,718","2,361","1,287","1,660","3,432","2,292","3,064"
2021년09월_계_50~59세,"52,220","4,577","3,804","4,825","3,202","4,230","4,826","5,942","4,964","3,226","1,213","1,929","3,540","2,569","3,373"
2021년09월_계_60~69세,"47,309","4,283","3,941","4,309","2,815","3,393","4,341","5,552","4,398","3,799",985,"1,527","3,002","2,175","2,789"
2021년09월_계_70~79세,"27,409","2,498","2,580","2,456","1,563","1,748","2,433","2,882","2,268","2,308",667,933,"1,800","1,434","1,839"
2021년09월_계_80~89세,"11,927","1,153","1,214","1,109",782,799,"1,051","1,017",817,"1,027",368,418,744,693,735
2021년09월_계_90~99세,"1,419",126,137,120,80,96,125,123,104,134,49,53,98,83,91
2021년09월_계_100세 이상,85,6,11,8,3,10,3,11,10,5,1,3,3,5,6
2021년09월_남_총인구수,"167,083","15,618","12,682","14,768","9,033","14,050","13,875","18,961","16,268","9,416","5,020","6,586","12,095","9,015","9,696"
2021년09월_남_연령구간인구수,"167,083","15,618","12,682","14,768","9,033","14,050","13,875","18,961","16,268","9,416","5,020","6,586","12,095","9,015","9,696"
2021년09월_남_0~9세,"10,152",614,507,942,598,"1,370",894,"1,239","1,418",373,214,411,614,341,617
2021년09월_남_10~19세,"11,620",712,711,915,822,"1,003",932,"1,330","1,508",543,322,372,957,631,862
2021년09월_남_20~29세,"27,733","2,873","2,438","2,297","1,151","1,897","1,830","2,477","1,945","1,151","1,559","1,517","2,936","2,344","1,318"
2021년09월_남_30~39세,"25,287","2,822","1,768","2,113","1,131","2,465","2,242","3,206","2,479","1,147",795,"1,116","1,573","1,211","1,219"
2021년09월_남_40~49세,"25,336","2,242","1,641","2,271","1,430","2,457","2,050","3,218","2,899","1,227",629,860,"1,698","1,179","1,535"
2021년09월_남_50~59세,"26,497","2,488","2,019","2,499","1,567","2,076","2,362","2,977","2,485","1,641",623,948,"1,776","1,337","1,699"
2021년09월_남_60~69세,"22,945","2,203","1,920","2,163","1,299","1,668","2,045","2,671","2,116","1,885",444,752,"1,428","1,033","1,318"
2021년09월_남_70~79세,"12,420","1,158","1,165","1,104",670,791,"1,101","1,399","1,077","1,025",285,414,801,623,807
2021년09월_남_80~89세,"4,692",468,475,441,338,294,391,403,313,389,135,182,276,288,299
2021년09월_남_90~99세,380,37,36,22,26,26,27,40,24,35,13,13,36,27,18
2021년09월_남_100세 이상,21,1,2,1,1,3,1,1,4,0,1,1,0,1,4
2021년09월_여_총인구수,"170,763","15,359","12,048","14,655","9,702","15,006","14,652","19,282","16,289","9,512","5,531","7,170","12,141","9,067","10,349"
2021년09월_여_연령구간인구수,"170,763","15,359","12,048","14,655","9,702","15,006","14,652","19,282","16,289","9,512","5,531","7,170","12,141","9,067","10,349"
2021년09월_여_0~9세,"9,595",580,481,878,579,"1,310",899,"1,166","1,323",347,204,396,538,327,567
2021년09월_여_10~19세,"11,359",665,652,916,872,963,938,"1,275","1,297",491,380,402,"1,054",587,867
2021년09월_여_20~29세,"28,864","3,350","2,063","2,241","1,085","2,279","1,821","2,812","1,862","1,054","1,804","1,987","2,585","2,462","1,459"
2021년09월_여_30~39세,"23,707","2,626","1,426","2,030","1,071","2,747","2,121","3,016","2,446",962,703,"1,032","1,360",928,"1,239"
2021년09월_여_40~49세,"23,824","1,850","1,356","1,993","1,551","2,289","2,021","2,977","2,819","1,134",658,800,"1,734","1,113","1,529"
2021년09월_여_50~59세,"25,723","2,089","1,785","2,326","1,635","2,154","2,464","2,965","2,479","1,585",590,981,"1,764","1,232","1,674"
2021년09월_여_60~69세,"24,364","2,080","2,021","2,146","1,516","1,725","2,296","2,881","2,282","1,914",541,775,"1,574","1,142","1,471"
2021년09월_여_70~79세,"14,989","1,340","1,415","1,352",893,957,"1,332","1,483","1,191","1,283",382,519,999,811,"1,032"
2021년09월_여_80~89세,"7,235",685,739,668,444,505,660,614,504,638,233,236,468,405,436
2021년09월_여_90~99세,"1,039",89,101,98,54,70,98,83,80,99,36,40,62,56,73
2021년09월_여_100세 이상,64,5,9,7,2,7,2,10,6,5,0,2,3,4,2
