,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년01월_계_총인구수,"51,825,932","9,657,969","3,389,388","2,415,813","2,942,452","1,449,115","1,463,291","1,135,370","357,871","13,449,499","1,541,696","1,599,658","2,119,837","1,802,748","1,850,575","2,637,639","3,338,396","674,615"
2021년01월_계_연령구간인구수,"51,825,932","9,657,969","3,389,388","2,415,813","2,942,452","1,449,115","1,463,291","1,135,370","357,871","13,449,499","1,541,696","1,599,658","2,119,837","1,802,748","1,850,575","2,637,639","3,338,396","674,615"
2021년01월_계_0~9세,"3,944,244","618,497","230,816","176,889","227,148","118,800","113,762","97,748","47,226","1,140,854","105,030","122,503","171,364","127,540","131,214","188,090","266,782","59,981"
2021년01월_계_10~19세,"4,784,388","778,910","271,560","225,070","273,616","156,572","145,937","112,239","43,097","1,327,712","136,888","148,922","202,234","174,489","166,967","225,638","323,933","70,604"
2021년01월_계_20~29세,"6,792,483","1,455,044","429,313","320,703","400,479","209,152","212,178","144,200","37,735","1,809,285","179,392","198,562","242,407","211,009","200,139","283,151","377,156","82,578"
2021년01월_계_30~39세,"6,856,414","1,471,606","417,816","293,117","405,098","185,375","193,830","151,063","61,528","1,906,582","165,709","194,224","267,444","188,304","185,184","289,674","397,603","82,257"
2021년01월_계_40~49세,"8,285,935","1,524,671","510,191","382,725","483,494","240,490","236,679","187,557","69,371","2,300,938","223,835","240,713","327,795","267,631","259,461","382,585","535,531","112,268"
2021년01월_계_50~59세,"8,642,700","1,522,983","567,681","424,889","511,934","234,038","241,468","209,208","45,466","2,239,200","267,211","273,075","339,367","299,370","313,564","458,984","581,701","112,561"
2021년01월_계_60~69세,"6,794,549","1,250,098","534,388","328,155","371,191","164,625","180,804","146,754","30,553","1,548,037","243,284","225,183","281,740","257,255","273,902","411,909","466,435","80,236"
2021년01월_계_70~79세,"3,707,683","706,115","293,881","175,695","178,045","93,816","91,576","60,475","14,468","768,814","135,573","120,768","171,750","170,693","192,845","241,832","245,650","45,687"
2021년01월_계_80~89세,"1,740,386","280,163","116,604","78,265","78,046","39,892","40,750","22,857","7,164","350,794","72,528","65,860","100,324","91,787","110,137","135,776","125,370","24,069"
2021년01월_계_90~99세,"255,030","43,029","15,237","9,561","12,423","5,930","5,932","3,093","1,213","52,908","11,378","9,278","14,487","13,804","16,279","19,000","17,402","4,076"
2021년01월_계_100세 이상,"22,120","6,853","1,901",744,978,425,375,176,50,"4,375",868,570,925,866,883,"1,000",833,298
2021년01월_남_총인구수,"25,838,512","4,695,999","1,659,527","1,191,656","1,473,639","716,929","730,396","583,402","178,656","6,765,862","775,727","811,057","1,082,095","896,115","930,132","1,328,384","1,680,383","338,553"
2021년01월_남_연령구간인구수,"25,838,512","4,695,999","1,659,527","1,191,656","1,473,639","716,929","730,396","583,402","178,656","6,765,862","775,727","811,057","1,082,095","896,115","930,132","1,328,384","1,680,383","338,553"
2021년01월_남_0~9세,"2,022,468","317,563","118,407","90,568","116,621","61,027","58,464","50,226","24,186","584,069","53,706","62,672","87,762","65,428","66,870","97,000","137,066","30,833"
2021년01월_남_10~19세,"2,473,667","399,754","140,305","117,595","140,769","81,112","75,482","59,084","21,631","682,503","71,226","77,417","104,987","90,373","86,567","118,494","169,474","36,894"
2021년01월_남_20~29세,"3,566,435","704,862","223,537","171,170","208,707","109,299","111,283","80,996","19,200","952,644","100,951","110,536","133,789","113,901","111,795","160,287","209,823","43,655"
2021년01월_남_30~39세,"3,532,439","735,813","213,618","152,524","209,491","94,606","101,189","80,190","30,043","982,309","87,020","103,077","144,053","97,119","97,448","154,509","207,891","41,539"
