,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년07월_계_총인구수,"105,396","7,538","3,329","2,983","5,660","4,270","4,719","4,703","5,297","2,968","3,272","4,733","8,310","5,475","8,075","19,547","14,517"
2020년07월_계_연령구간인구수,"105,396","7,538","3,329","2,983","5,660","4,270","4,719","4,703","5,297","2,968","3,272","4,733","8,310","5,475","8,075","19,547","14,517"
2020년07월_계_0~9세,"6,025",271,108,66,190,171,204,126,167,81,85,198,450,381,342,"1,491","1,694"
2020년07월_계_10~19세,"8,439",426,136,136,290,206,373,227,300,158,91,357,736,580,571,"2,107","1,745"
2020년07월_계_20~29세,"11,444",511,223,188,343,360,470,288,400,190,178,577,924,760,905,"3,242","1,885"
2020년07월_계_30~39세,"9,733",502,204,188,327,311,397,283,351,156,194,401,848,522,716,"2,314","2,019"
2020년07월_계_40~49세,"13,577",823,286,230,533,495,594,427,566,268,313,604,"1,179",785,"1,020","3,059","2,395"
2020년07월_계_50~59세,"18,683","1,375",618,512,"1,051",975,978,841,965,540,639,813,"1,417",904,"1,559","3,242","2,254"
2020년07월_계_60~69세,"17,911","1,717",736,636,"1,349",956,813,"1,099","1,077",646,853,797,"1,393",829,"1,437","2,259","1,314"
2020년07월_계_70~79세,"11,469","1,112",562,538,888,497,511,740,820,497,530,604,864,439,975,"1,180",712
2020년07월_계_80~89세,"7,075",711,401,427,603,256,325,584,565,385,335,324,435,241,491,571,421
2020년07월_계_90~99세,980,83,50,59,81,42,53,84,79,43,50,56,58,32,57,78,75
2020년07월_계_100세 이상,60,7,5,3,5,1,1,4,7,4,4,2,6,2,2,4,3
2020년07월_남_총인구수,"52,782","3,805","1,696","1,552","2,880","2,257","2,447","2,431","2,753","1,491","1,458","2,363","4,095","2,740","4,064","9,579","7,171"
2020년07월_남_연령구간인구수,"52,782","3,805","1,696","1,552","2,880","2,257","2,447","2,431","2,753","1,491","1,458","2,363","4,095","2,740","4,064","9,579","7,171"
2020년07월_남_0~9세,"3,129",152,49,34,95,102,98,70,89,44,44,100,239,200,184,769,860
2020년07월_남_10~19세,"4,359",215,88,69,152,121,188,121,145,77,45,195,358,293,298,"1,071",923
2020년07월_남_20~29세,"6,364",319,122,124,185,212,288,185,253,103,106,319,510,370,528,"1,727","1,013"
2020년07월_남_30~39세,"5,184",303,118,112,177,183,208,167,210,101,102,238,476,276,404,"1,152",957
2020년07월_남_40~49세,"7,169",466,183,146,321,268,348,270,350,159,132,307,616,411,559,"1,496","1,137"
2020년07월_남_50~59세,"9,673",680,353,301,603,513,525,439,554,303,281,422,720,470,802,"1,562","1,145"
2020년07월_남_60~69세,"8,943",881,384,341,688,505,430,585,553,331,377,384,638,425,693,"1,058",670
2020년07월_남_70~79세,"5,230",508,259,256,429,238,244,350,388,222,236,265,366,213,411,529,316
2020년07월_남_80~89세,"2,459",257,120,157,208,104,107,219,184,140,116,118,154,77,172,198,128
2020년07월_남_90~99세,259,20,20,12,20,11,11,25,27,10,19,15,17,4,13,14,21
2020년07월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년07월_여_총인구수,"52,614","3,733","1,633","1,431","2,780","2,013","2,272","2,272","2,544","1,477","1,814","2,370","4,215","2,735","4,011","9,968","7,346"
2020년07월_여_연령구간인구수,"52,614","3,733","1,633","1,431","2,780","2,013","2,272","2,272","2,544","1,477","1,814","2,370","4,215","2,735","4,011","9,968","7,346"
2020년07월_여_0~9세,"2,896",119,59,32,95,69,106,56,78,37,41,98,211,181,158,722,834
2020년07월_여_10~19세,"4,080",211,48,67,138,85,185,106,155,81,46,162,378,287,273,"1,036",822
2020년07월_여_20~29세,"5,080",192,101,64,158,148,182,103,147,87,72,258,414,390,377,"1,515",872
2020년07월_여_30~39세,"4,549",199,86,76,150,128,189,116,141,55,92,163,372,246,312,"1,162","1,062"
2020년07월_여_40~49세,"6,408",357,103,84,212,227,246,157,216,109,181,297,563,374,461,"1,563","1,258"
2020년07월_여_50~59세,"9,010",695,265,211,448,462,453,402,411,237,358,391,697,434,757,"1,680","1,109"
2020년07월_여_60~69세,"8,968",836,352,295,661,451,383,514,524,315,476,413,755,404,744,"1,201",644
2020년07월_여_70~79세,"6,239",604,303,282,459,259,267,390,432,275,294,339,498,226,564,651,396
2020년07월_여_80~89세,"4,616",454,281,270,395,152,218,365,381,245,219,206,281,164,319,373,293
2020년07월_여_90~99세,721,63,30,47,61,31,42,59,52,33,31,41,41,28,44,64,54
2020년07월_여_100세 이상,47,3,5,3,3,1,1,4,7,3,4,2,5,1,2,1,2
