카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년10월_계_총인구수,"111,111","10,847","3,982","8,343","8,405","6,776","7,863","6,173","17,712","27,618","3,392","10,000"
2021년10월_계_연령구간인구수,"111,111","10,847","3,982","8,343","8,405","6,776","7,863","6,173","17,712","27,618","3,392","10,000"
2021년10월_계_0~9세,"4,925",382,153,351,206,313,502,321,912,"1,352",158,275
2021년10월_계_10~19세,"7,103",500,223,520,439,376,516,406,"1,367","2,069",176,511
2021년10월_계_20~29세,"11,613","1,083",418,849,735,671,762,544,"1,821","3,349",548,833
2021년10월_계_30~39세,"10,312","1,029",345,803,576,655,858,566,"1,720","2,651",313,796
2021년10월_계_40~49세,"14,662","1,384",502,"1,007","1,002",903,"1,151",881,"2,510","3,738",439,"1,145"
2021년10월_계_50~59세,"18,718","1,867",670,"1,410","1,487","1,081","1,254",987,"3,030","4,770",446,"1,716"
2021년10월_계_60~69세,"22,352","2,284",877,"1,648","1,785","1,441","1,336","1,220","3,385","5,291",663,"2,422"
2021년10월_계_70~79세,"14,550","1,562",541,"1,187","1,402",872,"1,034",857,"2,054","3,004",471,"1,566"
2021년10월_계_80~89세,"6,147",663,228,504,703,407,415,341,823,"1,245",156,662
2021년10월_계_90~99세,693,92,24,62,67,53,34,49,87,141,20,64
2021년10월_계_100세 이상,36,1,1,2,3,4,1,1,3,8,2,10
2021년10월_남_총인구수,"54,707","5,413","1,907","4,040","4,226","3,346","3,827","3,024","8,779","13,479","1,803","4,863"
2021년10월_남_연령구간인구수,"54,707","5,413","1,907","4,040","4,226","3,346","3,827","3,024","8,779","13,479","1,803","4,863"
2021년10월_남_0~9세,"2,498",202,81,180,113,168,234,172,458,654,89,147
2021년10월_남_10~19세,"3,616",260,108,269,233,182,253,212,718,"1,043",88,250
2021년10월_남_20~29세,"6,374",561,215,473,409,358,408,286,994,"1,850",354,466
2021년10월_남_30~39세,"5,549",572,175,425,329,355,455,299,941,"1,405",173,420
2021년10월_남_40~49세,"7,667",750,267,499,591,494,602,467,"1,273","1,847",257,620
2021년10월_남_50~59세,"9,635","1,047",318,695,851,568,656,515,"1,528","2,309",243,905
2021년10월_남_60~69세,"10,696","1,098",395,776,870,689,620,575,"1,610","2,553",327,"1,183"
2021년10월_남_70~79세,"6,364",671,252,518,579,382,431,370,944,"1,360",211,646
2021년10월_남_80~89세,"2,161",237,91,190,243,134,160,116,297,425,54,214
2021년10월_남_90~99세,142,15,5,15,7,15,8,12,16,32,6,11
2021년10월_남_100세 이상,5,0,0,0,1,1,0,0,0,1,1,1
2021년10월_여_총인구수,"56,404","5,434","2,075","4,303","4,179","3,430","4,036","3,149","8,933","14,139","1,589","5,137"
2021년10월_여_연령구간인구수,"56,404","5,434","2,075","4,303","4,179","3,430","4,036","3,149","8,933","14,139","1,589","5,137"
2021년10월_여_0~9세,"2,427",180,72,171,93,145,268,149,454,698,69,128
2021년10월_여_10~19세,"3,487",240,115,251,206,194,263,194,649,"1,026",88,261
2021년10월_여_20~29세,"5,239",522,203,376,326,313,354,258,827,"1,499",194,367
2021년10월_여_30~39세,"4,763",457,170,378,247,300,403,267,779,"1,246",140,376
2021년10월_여_40~49세,"6,995",634,235,508,411,409,549,414,"1,237","1,891",182,525
2021년10월_여_50~59세,"9,083",820,352,715,636,513,598,472,"1,502","2,461",203,811
2021년10월_여_60~69세,"11,656","1,186",482,872,915,752,716,645,"1,775","2,738",336,"1,239"
2021년10월_여_70~79세,"8,186",891,289,669,823,490,603,487,"1,110","1,644",260,920
2021년10월_여_80~89세,"3,986",426,137,314,460,273,255,225,526,820,102,448
2021년10월_여_90~99세,551,77,19,47,60,38,26,37,71,109,14,53
2021년10월_여_100세 이상,31,1,1,2,2,3,1,1,3,7,1,9
