,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년12월_계_총인구수,"209,157","29,710","12,587","10,209","10,774","16,447","20,934","7,419","16,808","16,537","17,101","14,470","36,161"
2020년12월_계_연령구간인구수,"209,157","29,710","12,587","10,209","10,774","16,447","20,934","7,419","16,808","16,537","17,101","14,470","36,161"
2020년12월_계_0~9세,"14,747","2,630","1,097",478,750,"1,230","1,975",222,716,775,"1,066","1,277","2,531"
2020년12월_계_10~19세,"16,467","3,563","1,551",701,981,"1,254","1,308",380,907,688,"1,014","1,127","2,993"
2020년12월_계_20~29세,"26,131","3,241","1,330","1,182","1,237","1,881","2,563",804,"2,390","3,432","1,891","1,614","4,566"
2020년12월_계_30~39세,"27,194","3,139","1,287","1,080","1,165","2,149","3,666",734,"2,050","3,147","2,370","1,881","4,526"
2020년12월_계_40~49세,"31,907","5,581","2,365","1,345","1,640","2,481","3,027",961,"2,279","2,333","2,264","2,255","5,376"
2020년12월_계_50~59세,"34,141","4,734","1,967","1,664","1,885","2,659","3,120","1,311","2,834","2,359","2,695","2,472","6,441"
2020년12월_계_60~69세,"32,509","3,605","1,663","1,804","1,773","2,766","2,863","1,586","3,172","2,122","3,062","2,258","5,835"
2020년12월_계_70~79세,"18,197","2,231",921,"1,270",912,"1,467","1,673","1,015","1,741","1,203","1,889","1,165","2,710"
2020년12월_계_80~89세,"6,931",876,360,594,371,507,642,358,639,434,760,367,"1,023"
2020년12월_계_90~99세,843,106,37,84,58,45,89,42,76,35,78,46,147
2020년12월_계_100세 이상,90,4,9,7,2,8,8,6,4,9,12,8,13
2020년12월_남_총인구수,"100,700","14,361","6,015","4,833","5,292","8,021","10,038","3,525","8,062","7,867","8,264","7,077","17,345"
2020년12월_남_연령구간인구수,"100,700","14,361","6,015","4,833","5,292","8,021","10,038","3,525","8,062","7,867","8,264","7,077","17,345"
2020년12월_남_0~9세,"7,511","1,374",516,260,385,629,"1,002",117,338,387,549,672,"1,282"
2020년12월_남_10~19세,"8,435","1,861",746,376,535,667,638,191,459,356,537,564,"1,505"
2020년12월_남_20~29세,"13,226","1,698",694,575,690,"1,000","1,269",422,"1,130","1,444","1,008",871,"2,425"
2020년12월_남_30~39세,"13,664","1,469",611,554,607,"1,103","1,810",399,"1,076","1,580","1,238",918,"2,299"
2020년12월_남_40~49세,"15,584","2,590","1,131",676,778,"1,207","1,505",467,"1,153","1,212","1,186","1,129","2,550"
2020년12월_남_50~59세,"16,175","2,342",961,778,888,"1,228","1,463",614,"1,382","1,140","1,295","1,186","2,898"
2020년12월_남_60~69세,"14,919","1,652",788,809,840,"1,283","1,294",727,"1,431",996,"1,334","1,053","2,712"
2020년12월_남_70~79세,"8,293",970,421,551,423,683,786,448,818,566,807,543,"1,277"
2020년12월_남_80~89세,"2,680",378,136,225,138,205,250,131,254,178,285,133,367
2020년12월_남_90~99세,193,26,9,27,7,14,18,8,20,6,23,6,29
2020년12월_남_100세 이상,20,1,2,2,1,2,3,1,1,2,2,2,1
2020년12월_여_총인구수,"108,457","15,349","6,572","5,376","5,482","8,426","10,896","3,894","8,746","8,670","8,837","7,393","18,816"
2020년12월_여_연령구간인구수,"108,457","15,349","6,572","5,376","5,482","8,426","10,896","3,894","8,746","8,670","8,837","7,393","18,816"
2020년12월_여_0~9세,"7,236","1,256",581,218,365,601,973,105,378,388,517,605,"1,249"
2020년12월_여_10~19세,"8,032","1,702",805,325,446,587,670,189,448,332,477,563,"1,488"
2020년12월_여_20~29세,"12,905","1,543",636,607,547,881,"1,294",382,"1,260","1,988",883,743,"2,141"
2020년12월_여_30~39세,"13,530","1,670",676,526,558,"1,046","1,856",335,974,"1,567","1,132",963,"2,227"
2020년12월_여_40~49세,"16,323","2,991","1,234",669,862,"1,274","1,522",494,"1,126","1,121","1,078","1,126","2,826"
2020년12월_여_50~59세,"17,966","2,392","1,006",886,997,"1,431","1,657",697,"1,452","1,219","1,400","1,286","3,543"
2020년12월_여_60~69세,"17,590","1,953",875,995,933,"1,483","1,569",859,"1,741","1,126","1,728","1,205","3,123"
2020년12월_여_70~79세,"9,904","1,261",500,719,489,784,887,567,923,637,"1,082",622,"1,433"
2020년12월_여_80~89세,"4,251",498,224,369,233,302,392,227,385,256,475,234,656
2020년12월_여_90~99세,650,80,28,57,51,31,71,34,56,29,55,40,118
2020년12월_여_100세 이상,70,3,7,5,1,6,5,5,3,7,10,6,12
