,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년12월_계_총인구수,"2,418,346","76,547","341,920","170,700","146,632","440,263","424,314","558,631","259,339"
2020년12월_계_연령구간인구수,"2,418,346","76,547","341,920","170,700","146,632","440,263","424,314","558,631","259,339"
2020년12월_계_0~9세,"178,226","5,142","25,193","7,564","6,821","34,031","29,784","40,273","29,418"
2020년12월_계_10~19세,"225,898","5,089","26,566","10,862","9,419","43,304","51,495","55,240","23,923"
2020년12월_계_20~29세,"321,534","11,864","41,684","21,673","20,457","62,136","55,403","79,273","29,044"
2020년12월_계_30~39세,"294,310","10,755","43,821","17,443","17,178","54,010","42,826","66,579","41,698"
2020년12월_계_40~49세,"383,839","10,766","51,410","22,825","20,403","72,657","72,866","89,441","43,471"
2020년12월_계_50~59세,"425,479","11,325","56,998","34,321","24,967","78,202","75,151","103,664","40,851"
2020년12월_계_60~69세,"325,957","10,227","51,418","31,085","23,994","53,923","52,132","73,333","29,845"
2020년12월_계_70~79세,"175,276","7,375","30,211","17,173","15,135","28,316","28,773","34,305","13,988"
2020년12월_계_80~89세,"77,665","3,413","13,013","6,896","7,232","12,187","13,943","14,706","6,275"
2020년12월_계_90~99세,"9,429",488,"1,481",755,939,"1,403","1,841","1,726",796
2020년12월_계_100세 이상,733,103,125,103,87,94,100,91,30
2020년12월_남_총인구수,"1,193,109","36,799","168,443","85,572","70,471","219,197","205,293","275,626","131,708"
2020년12월_남_연령구간인구수,"1,193,109","36,799","168,443","85,572","70,471","219,197","205,293","275,626","131,708"
2020년12월_남_0~9세,"91,285","2,655","12,867","3,912","3,525","17,393","15,320","20,617","14,996"
2020년12월_남_10~19세,"118,103","2,631","13,930","5,656","4,952","22,530","27,237","28,661","12,506"
2020년12월_남_20~29세,"171,675","5,660","22,307","11,929","10,251","33,686","29,696","42,226","15,920"
2020년12월_남_30~39세,"153,070","5,567","23,113","9,906","9,004","28,245","20,819","34,639","21,777"
2020년12월_남_40~49세,"189,358","5,470","26,487","12,259","10,288","35,656","33,201","43,315","22,682"
2020년12월_남_50~59세,"208,340","5,597","27,676","17,269","12,178","38,749","36,383","50,159","20,329"
2020년12월_남_60~69세,"155,170","4,719","23,884","14,561","10,989","26,209","24,599","35,359","14,850"
2020년12월_남_70~79세,"76,599","3,106","13,163","7,534","6,431","12,160","12,514","15,272","6,419"
2020년12월_남_80~89세,"27,260","1,256","4,652","2,383","2,612","4,256","5,067","4,989","2,045"
2020년12월_남_90~99세,"2,073",117,327,138,223,292,431,370,175
2020년12월_남_100세 이상,176,21,37,25,18,21,26,19,9
2020년12월_여_총인구수,"1,225,237","39,748","173,477","85,128","76,161","221,066","219,021","283,005","127,631"
2020년12월_여_연령구간인구수,"1,225,237","39,748","173,477","85,128","76,161","221,066","219,021","283,005","127,631"
2020년12월_여_0~9세,"86,941","2,487","12,326","3,652","3,296","16,638","14,464","19,656","14,422"
2020년12월_여_10~19세,"107,795","2,458","12,636","5,206","4,467","20,774","24,258","26,579","11,417"
2020년12월_여_20~29세,"149,859","6,204","19,377","9,744","10,206","28,450","25,707","37,047","13,124"
2020년12월_여_30~39세,"141,240","5,188","20,708","7,537","8,174","25,765","22,007","31,940","19,921"
2020년12월_여_40~49세,"194,481","5,296","24,923","10,566","10,115","37,001","39,665","46,126","20,789"
2020년12월_여_50~59세,"217,139","5,728","29,322","17,052","12,789","39,453","38,768","53,505","20,522"
2020년12월_여_60~69세,"170,787","5,508","27,534","16,524","13,005","27,714","27,533","37,974","14,995"
2020년12월_여_70~79세,"98,677","4,269","17,048","9,639","8,704","16,156","16,259","19,033","7,569"
2020년12월_여_80~89세,"50,405","2,157","8,361","4,513","4,620","7,931","8,876","9,717","4,230"
2020년12월_여_90~99세,"7,356",371,"1,154",617,716,"1,111","1,410","1,356",621
2020년12월_여_100세 이상,557,82,88,78,69,73,74,72,21
