카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년06월_계_총인구수,"228,111","36,243","19,925","59,393","31,862","16,204","64,484"
2020년06월_계_연령구간인구수,"228,111","36,243","19,925","59,393","31,862","16,204","64,484"
2020년06월_계_0~9세,"24,491","4,186",966,"7,249","4,125","1,473","6,492"
2020년06월_계_10~19세,"24,838","4,242","1,215","6,716","3,276","2,006","7,383"
2020년06월_계_20~29세,"30,949","4,524","3,702","6,880","4,104","2,199","9,540"
2020년06월_계_30~39세,"39,496","5,811","4,849","9,913","6,131","2,456","10,336"
2020년06월_계_40~49세,"42,651","6,770","3,635","11,078","5,977","3,112","12,079"
2020년06월_계_50~59세,"32,796","5,344","2,779","8,259","4,198","2,470","9,746"
2020년06월_계_60~69세,"18,967","3,026","1,648","5,353","2,495","1,376","5,069"
2020년06월_계_70~79세,"9,535","1,570",785,"2,684","1,072",745,"2,679"
2020년06월_계_80~89세,"3,861",675,307,"1,117",413,333,"1,016"
2020년06월_계_90~99세,479,86,32,131,65,29,136
2020년06월_계_100세 이상,48,9,7,13,6,5,8
2020년06월_남_총인구수,"117,949","18,155","11,689","29,958","16,377","8,366","33,404"
2020년06월_남_연령구간인구수,"117,949","18,155","11,689","29,958","16,377","8,366","33,404"
2020년06월_남_0~9세,"12,497","2,158",480,"3,679","2,115",781,"3,284"
2020년06월_남_10~19세,"12,732","2,084",631,"3,396","1,664","1,036","3,921"
2020년06월_남_20~29세,"16,713","2,371","2,092","3,648","2,195","1,208","5,199"
2020년06월_남_30~39세,"21,267","2,983","3,106","5,102","3,211","1,335","5,530"
2020년06월_남_40~49세,"22,592","3,433","2,244","5,871","3,129","1,589","6,326"
2020년06월_남_50~59세,"17,101","2,729","1,739","4,120","2,122","1,314","5,077"
2020년06월_남_60~69세,"9,338","1,485",890,"2,554","1,253",655,"2,501"
2020년06월_남_70~79세,"4,200",643,374,"1,176",527,329,"1,151"
2020년06월_남_80~89세,"1,398",251,125,381,150,110,381
2020년06월_남_90~99세,97,14,6,28,10,6,33
2020년06월_남_100세 이상,14,4,2,3,1,3,1
2020년06월_여_총인구수,"110,162","18,088","8,236","29,435","15,485","7,838","31,080"
2020년06월_여_연령구간인구수,"110,162","18,088","8,236","29,435","15,485","7,838","31,080"
2020년06월_여_0~9세,"11,994","2,028",486,"3,570","2,010",692,"3,208"
2020년06월_여_10~19세,"12,106","2,158",584,"3,320","1,612",970,"3,462"
2020년06월_여_20~29세,"14,236","2,153","1,610","3,232","1,909",991,"4,341"
2020년06월_여_30~39세,"18,229","2,828","1,743","4,811","2,920","1,121","4,806"
2020년06월_여_40~49세,"20,059","3,337","1,391","5,207","2,848","1,523","5,753"
2020년06월_여_50~59세,"15,695","2,615","1,040","4,139","2,076","1,156","4,669"
2020년06월_여_60~69세,"9,629","1,541",758,"2,799","1,242",721,"2,568"
2020년06월_여_70~79세,"5,335",927,411,"1,508",545,416,"1,528"
2020년06월_여_80~89세,"2,463",424,182,736,263,223,635
2020년06월_여_90~99세,382,72,26,103,55,23,103
2020년06월_여_100세 이상,34,5,5,10,5,2,7
