,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년02월_계_총인구수,"816,087","64,170","89,939","41,759","131,066","86,229","81,795","57,093","95,961","83,693","84,382"
2021년02월_계_연령구간인구수,"816,087","64,170","89,939","41,759","131,066","86,229","81,795","57,093","95,961","83,693","84,382"
2021년02월_계_0~9세,"56,057","2,986","5,488","2,721","9,722","7,868","4,593","3,725","9,586","4,424","4,944"
2021년02월_계_10~19세,"69,762","3,878","7,164","3,857","11,270","9,828","6,326","4,309","9,233","6,997","6,900"
2021년02월_계_20~29세,"116,672","10,139","12,899","6,109","19,425","12,101","11,605","7,836","11,371","12,564","12,623"
2021년02월_계_30~39세,"114,825","9,486","11,975","5,420","21,472","12,458","11,129","8,209","14,240","9,680","10,756"
2021년02월_계_40~49세,"128,633","9,573","13,815","6,365","20,584","15,292","12,336","7,895","17,344","12,535","12,894"
2021년02월_계_50~59세,"147,142","11,629","16,554","7,718","22,763","15,291","14,692","10,261","14,413","16,942","16,879"
2021년02월_계_60~69세,"112,543","9,817","13,325","5,947","16,814","8,936","12,619","9,119","11,756","12,182","12,028"
2021년02월_계_70~79세,"46,919","4,614","5,893","2,387","5,862","2,932","5,720","3,921","5,270","5,438","4,882"
2021년02월_계_80~89세,"20,116","1,757","2,468","1,030","2,642","1,278","2,377","1,567","2,310","2,542","2,145"
2021년02월_계_90~99세,"3,161",256,323,191,493,239,366,229,396,363,305
2021년02월_계_100세 이상,257,35,35,14,19,6,32,22,42,26,26
2021년02월_남_총인구수,"404,763","32,548","45,057","20,613","63,333","42,375","40,510","28,185","47,063","41,922","43,157"
2021년02월_남_연령구간인구수,"404,763","32,548","45,057","20,613","63,333","42,375","40,510","28,185","47,063","41,922","43,157"
2021년02월_남_0~9세,"28,812","1,586","2,810","1,399","5,008","4,001","2,379","1,917","4,916","2,231","2,565"
2021년02월_남_10~19세,"35,778","1,969","3,740","2,014","5,701","5,026","3,259","2,163","4,608","3,647","3,651"
2021년02월_남_20~29세,"60,227","5,179","6,757","3,113","9,488","6,198","6,135","4,079","5,884","6,637","6,757"
2021년02월_남_30~39세,"58,998","5,197","6,253","2,767","10,615","5,969","5,927","4,338","6,922","5,185","5,825"
2021년02월_남_40~49세,"64,835","5,233","7,212","3,125","9,828","7,212","6,258","3,945","8,841","6,368","6,813"
2021년02월_남_50~59세,"71,374","5,830","8,153","3,709","10,523","7,406","7,012","4,819","6,901","8,494","8,527"
2021년02월_남_60~69세,"55,528","4,716","6,472","2,955","8,482","4,708","5,987","4,409","5,627","6,080","6,092"
2021년02월_남_70~79세,"21,657","2,163","2,702","1,147","2,733","1,398","2,604","1,901","2,458","2,369","2,182"
2021년02월_남_80~89세,"6,766",622,857,330,847,403,868,551,794,823,671
2021년02월_남_90~99세,725,46,90,50,105,51,73,59,99,83,69
2021년02월_남_100세 이상,63,7,11,4,3,3,8,4,13,5,5
2021년02월_여_총인구수,"411,324","31,622","44,882","21,146","67,733","43,854","41,285","28,908","48,898","41,771","41,225"
2021년02월_여_연령구간인구수,"411,324","31,622","44,882","21,146","67,733","43,854","41,285","28,908","48,898","41,771","41,225"
2021년02월_여_0~9세,"27,245","1,400","2,678","1,322","4,714","3,867","2,214","1,808","4,670","2,193","2,379"
2021년02월_여_10~19세,"33,984","1,909","3,424","1,843","5,569","4,802","3,067","2,146","4,625","3,350","3,249"
2021년02월_여_20~29세,"56,445","4,960","6,142","2,996","9,937","5,903","5,470","3,757","5,487","5,927","5,866"
2021년02월_여_30~39세,"55,827","4,289","5,722","2,653","10,857","6,489","5,202","3,871","7,318","4,495","4,931"
2021년02월_여_40~49세,"63,798","4,340","6,603","3,240","10,756","8,080","6,078","3,950","8,503","6,167","6,081"
2021년02월_여_50~59세,"75,768","5,799","8,401","4,009","12,240","7,885","7,680","5,442","7,512","8,448","8,352"
2021년02월_여_60~69세,"57,015","5,101","6,853","2,992","8,332","4,228","6,632","4,710","6,129","6,102","5,936"
2021년02월_여_70~79세,"25,262","2,451","3,191","1,240","3,129","1,534","3,116","2,020","2,812","3,069","2,700"
2021년02월_여_80~89세,"13,350","1,135","1,611",700,"1,795",875,"1,509","1,016","1,516","1,719","1,474"
2021년02월_여_90~99세,"2,436",210,233,141,388,188,293,170,297,280,236
2021년02월_여_100세 이상,194,28,24,10,16,3,24,18,29,21,21
