,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년07월_계_총인구수,"151,662","49,112","2,174","3,088","2,832","2,868","2,823","1,812","1,679","58,418","12,523","12,502","1,831"
2020년07월_계_연령구간인구수,"151,662","49,112","2,174","3,088","2,832","2,868","2,823","1,812","1,679","58,418","12,523","12,502","1,831"
2020년07월_계_0~9세,"13,781","4,567",71,94,62,75,62,53,37,"6,777",991,933,59
2020년07월_계_10~19세,"16,185","5,214",143,138,118,127,96,94,63,"7,433","1,193","1,440",126
2020년07월_계_20~29세,"20,239","6,258",193,258,252,210,205,120,132,"8,378","1,744","2,286",203
2020년07월_계_30~39세,"18,895","6,157",138,165,176,167,171,101,130,"8,887","1,329","1,349",125
2020년07월_계_40~49세,"24,104","8,089",217,279,272,223,269,167,176,"10,724","2,009","1,471",208
2020년07월_계_50~59세,"28,812","8,501",443,670,579,559,514,353,321,"10,677","2,848","2,941",406
2020년07월_계_60~69세,"16,259","5,648",384,596,565,573,574,393,301,"3,677","1,565","1,650",333
2020년07월_계_70~79세,"8,027","2,878",312,489,453,511,534,296,287,"1,223",544,295,205
2020년07월_계_80~89세,"4,606","1,533",230,342,308,365,328,210,202,565,259,116,148
2020년07월_계_90~99세,732,257,42,55,46,57,68,24,29,74,41,21,18
2020년07월_계_100세 이상,22,10,1,2,1,1,2,1,1,3,0,0,0
2020년07월_남_총인구수,"79,014","25,138","1,130","1,520","1,437","1,432","1,391",906,921,"30,651","6,652","6,828","1,008"
2020년07월_남_연령구간인구수,"79,014","25,138","1,130","1,520","1,437","1,432","1,391",906,921,"30,651","6,652","6,828","1,008"
2020년07월_남_0~9세,"6,993","2,304",45,45,32,34,27,24,19,"3,419",524,488,32
2020년07월_남_10~19세,"8,377","2,727",83,70,59,73,54,52,36,"3,845",596,712,70
2020년07월_남_20~29세,"11,762","3,452",115,156,149,135,120,70,84,"4,777","1,036","1,533",135
2020년07월_남_30~39세,"10,115","3,160",83,86,102,91,100,57,80,"4,740",744,786,86
2020년07월_남_40~49세,"12,264","4,260",134,149,156,131,164,109,122,"5,261","1,068",577,133
2020년07월_남_50~59세,"15,816","4,504",258,389,323,325,301,193,208,"5,924","1,533","1,617",241
2020년07월_남_60~69세,"8,569","2,929",196,301,300,289,281,206,164,"1,981",831,910,181
2020년07월_남_70~79세,"3,535","1,270",131,208,197,219,228,112,130,524,254,172,90
2020년07월_남_80~89세,"1,446",480,72,103,111,126,107,79,73,168,60,29,38
2020년07월_남_90~99세,132,51,12,12,8,9,9,4,5,10,6,4,2
2020년07월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년07월_여_총인구수,"72,648","23,974","1,044","1,568","1,395","1,436","1,432",906,758,"27,767","5,871","5,674",823
2020년07월_여_연령구간인구수,"72,648","23,974","1,044","1,568","1,395","1,436","1,432",906,758,"27,767","5,871","5,674",823
2020년07월_여_0~9세,"6,788","2,263",26,49,30,41,35,29,18,"3,358",467,445,27
2020년07월_여_10~19세,"7,808","2,487",60,68,59,54,42,42,27,"3,588",597,728,56
2020년07월_여_20~29세,"8,477","2,806",78,102,103,75,85,50,48,"3,601",708,753,68
2020년07월_여_30~39세,"8,780","2,997",55,79,74,76,71,44,50,"4,147",585,563,39
2020년07월_여_40~49세,"11,840","3,829",83,130,116,92,105,58,54,"5,463",941,894,75
2020년07월_여_50~59세,"12,996","3,997",185,281,256,234,213,160,113,"4,753","1,315","1,324",165
2020년07월_여_60~69세,"7,690","2,719",188,295,265,284,293,187,137,"1,696",734,740,152
2020년07월_여_70~79세,"4,492","1,608",181,281,256,292,306,184,157,699,290,123,115
2020년07월_여_80~89세,"3,160","1,053",158,239,197,239,221,131,129,397,199,87,110
2020년07월_여_90~99세,600,206,30,43,38,48,59,20,24,64,35,17,16
2020년07월_여_100세 이상,17,9,0,1,1,1,2,1,1,1,0,0,0
