,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년08월_계_총인구수,"9,550,227","145,551","122,852","224,977","288,214","341,505","337,857","388,911","432,815","301,430","319,211","514,050","474,414","306,472","370,053","449,603","576,361","397,887","230,759","377,655","387,558","488,304","417,568","532,818","658,991","464,411"
2021년08월_계_연령구간인구수,"9,550,227","145,551","122,852","224,977","288,214","341,505","337,857","388,911","432,815","301,430","319,211","514,050","474,414","306,472","370,053","449,603","576,361","397,887","230,759","377,655","387,558","488,304","417,568","532,818","658,991","464,411"
2021년08월_계_0~9세,"596,448","7,155","6,419","12,951","19,613","18,280","19,830","21,784","28,048","14,585","17,579","31,284","28,284","19,285","24,017","30,291","37,746","26,485","11,954","25,248","23,581","20,551","32,470","35,302","48,652","35,054"
2021년08월_계_10~19세,"763,356","10,587","6,602","14,952","19,235","25,130","23,074","25,740","36,466","21,170","24,652","51,121","37,531","22,868","27,982","49,696","43,820","29,348","14,187","23,808","27,264","27,657","44,778","59,016","57,704","38,968"
2021년08월_계_20~29세,"1,439,293","23,034","18,344","33,358","44,172","62,215","56,421","55,124","66,073","41,696","42,271","71,052","66,090","49,429","62,040","58,322","86,518","54,380","37,213","59,179","65,474","108,940","53,378","71,527","91,838","61,205"
2021년08월_계_30~39세,"1,446,242","19,549","19,915","37,874","47,374","54,857","49,029","56,925","58,980","37,470","39,469","63,385","66,964","44,423","63,774","56,196","98,020","61,217","36,049","69,331","61,278","85,658","60,785","78,399","107,322","71,999"
2021년08월_계_40~49세,"1,493,290","21,228","17,569","34,343","43,707","50,940","49,230","56,115","68,197","44,716","46,759","82,946","74,640","45,791","60,257","77,280","89,876","61,679","31,996","55,745","57,727","66,379","75,997","97,915","107,349","74,909"
2021년08월_계_50~59세,"1,505,336","24,917","20,153","36,306","46,409","53,734","52,196","67,915","69,039","51,628","55,997","87,006","76,856","48,561","54,664","76,067","84,364","62,188","39,413","56,192","57,908","67,039","62,894","80,870","101,165","71,855"
2021년08월_계_60~69세,"1,277,991","20,258","17,851","29,023","37,442","43,829","47,271","60,159","56,540","47,091","51,019","70,189","66,424","39,454","40,713","59,928","78,972","57,227","34,357","47,970","50,360","59,890","48,304","60,855","86,724","66,141"
2021년08월_계_70~79세,"696,313","11,789","10,300","16,211","20,190","21,994","27,446","31,143","32,655","29,411","27,475","37,310","38,670","23,463","23,603","28,907","39,126","31,855","17,924","26,882","29,680","36,688","27,045","34,301","40,953","31,292"
