카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년09월_계_총인구수,"139,299","6,332","5,240","13,395","4,102","3,394","5,979","2,914","4,553","15,658","43,268","30,330","4,134"
2020년09월_계_연령구간인구수,"139,299","6,332","5,240","13,395","4,102","3,394","5,979","2,914","4,553","15,658","43,268","30,330","4,134"
2020년09월_계_0~9세,"12,062",251,246,872,146,115,204,91,204,956,"7,133","1,749",95
2020년09월_계_10~19세,"12,566",369,360,"1,138",290,212,296,149,334,"1,233","4,674","3,391",120
2020년09월_계_20~29세,"19,240",641,547,"1,634",449,369,632,301,515,"2,133","4,063","7,672",284
2020년09월_계_30~39세,"21,313",622,504,"1,643",401,312,664,243,473,"2,234","9,129","4,799",289
2020년09월_계_40~49세,"24,483",871,819,"2,073",576,491,798,410,607,"2,557","9,195","5,564",522
2020년09월_계_50~59세,"20,291","1,322",901,"2,295",749,641,"1,136",530,847,"2,787","4,443","3,720",920
2020년09월_계_60~69세,"15,703","1,262",827,"1,984",732,620,"1,101",563,784,"2,242","2,778","1,768","1,042"
2020년09월_계_70~79세,"9,274",643,646,"1,192",530,436,732,419,528,"1,006","1,350","1,184",608
2020년09월_계_80~89세,"3,673",288,323,479,188,162,338,171,214,418,441,441,210
2020년09월_계_90~99세,617,59,61,79,38,33,65,28,35,79,60,41,39
2020년09월_계_100세 이상,77,4,6,6,3,3,13,9,12,13,2,1,5
2020년09월_남_총인구수,"72,174","3,419","2,643","6,791","2,082","1,750","3,140","1,514","2,255","8,688","21,757","15,812","2,323"
2020년09월_남_연령구간인구수,"72,174","3,419","2,643","6,791","2,082","1,750","3,140","1,514","2,255","8,688","21,757","15,812","2,323"
2020년09월_남_0~9세,"6,210",134,140,433,66,69,90,62,102,497,"3,672",903,42
2020년09월_남_10~19세,"6,504",178,185,589,163,100,157,74,163,653,"2,386","1,797",59
2020년09월_남_20~29세,"9,765",380,298,865,246,202,347,175,283,"1,226","1,978","3,580",185
2020년09월_남_30~39세,"11,524",364,275,871,223,182,383,145,266,"1,339","4,441","2,850",185
2020년09월_남_40~49세,"13,410",527,442,"1,100",319,271,474,223,339,"1,510","4,892","2,965",348
2020년09월_남_50~59세,"11,117",752,482,"1,224",396,364,659,298,435,"1,572","2,277","2,117",541
2020년09월_남_60~69세,"7,830",653,397,985,345,304,562,282,358,"1,214","1,274",896,560
2020년09월_남_70~79세,"4,318",309,289,527,241,200,343,176,226,509,667,512,319
2020년09월_남_80~89세,"1,318",104,116,179,69,54,105,64,67,146,156,181,77
2020년09월_남_90~99세,153,17,18,15,14,4,16,13,9,17,13,10,7
2020년09월_남_100세 이상,25,1,1,3,0,0,4,2,7,5,1,1,0
2020년09월_여_총인구수,"67,125","2,913","2,597","6,604","2,020","1,644","2,839","1,400","2,298","6,970","21,511","14,518","1,811"
2020년09월_여_연령구간인구수,"67,125","2,913","2,597","6,604","2,020","1,644","2,839","1,400","2,298","6,970","21,511","14,518","1,811"
2020년09월_여_0~9세,"5,852",117,106,439,80,46,114,29,102,459,"3,461",846,53
2020년09월_여_10~19세,"6,062",191,175,549,127,112,139,75,171,580,"2,288","1,594",61
2020년09월_여_20~29세,"9,475",261,249,769,203,167,285,126,232,907,"2,085","4,092",99
2020년09월_여_30~39세,"9,789",258,229,772,178,130,281,98,207,895,"4,688","1,949",104
2020년09월_여_40~49세,"11,073",344,377,973,257,220,324,187,268,"1,047","4,303","2,599",174
2020년09월_여_50~59세,"9,174",570,419,"1,071",353,277,477,232,412,"1,215","2,166","1,603",379
2020년09월_여_60~69세,"7,873",609,430,999,387,316,539,281,426,"1,028","1,504",872,482
2020년09월_여_70~79세,"4,956",334,357,665,289,236,389,243,302,497,683,672,289
2020년09월_여_80~89세,"2,355",184,207,300,119,108,233,107,147,272,285,260,133
2020년09월_여_90~99세,464,42,43,64,24,29,49,15,26,62,47,31,32
2020년09월_여_100세 이상,52,3,5,3,3,3,9,7,5,8,1,0,5
