,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년06월_계_총인구수,"81,051","3,864","2,592","1,165","2,080","1,857","2,331","1,641","1,663","1,561",963,"1,572","1,905","2,296","1,911","2,111","2,749","3,584","3,444","6,210","6,787","4,204","7,344","17,217"
2020년06월_계_연령구간인구수,"81,051","3,864","2,592","1,165","2,080","1,857","2,331","1,641","1,663","1,561",963,"1,572","1,905","2,296","1,911","2,111","2,749","3,584","3,444","6,210","6,787","4,204","7,344","17,217"
2020년06월_계_0~9세,"5,170",160,94,47,68,68,86,51,65,56,29,70,70,97,100,86,119,197,174,597,602,236,435,"1,663"
2020년06월_계_10~19세,"7,464",202,170,54,118,102,129,77,94,64,35,79,95,170,115,182,205,374,269,623,782,339,664,"2,522"
2020년06월_계_20~29세,"7,593",284,216,81,147,126,121,73,99,127,63,101,130,170,112,146,170,370,372,696,620,475,797,"2,097"
2020년06월_계_30~39세,"6,627",217,149,62,133,80,121,69,95,79,61,65,100,137,100,100,160,299,266,730,678,420,641,"1,865"
2020년06월_계_40~49세,"10,961",355,306,116,183,174,240,145,150,122,63,158,176,230,170,274,305,490,482,949,"1,107",528,"1,036","3,202"
2020년06월_계_50~59세,"13,813",708,487,178,386,303,356,247,308,275,163,245,342,425,326,486,538,629,554,999,"1,036",695,"1,350","2,777"
2020년06월_계_60~69세,"12,666",788,507,227,386,360,480,346,343,275,216,258,352,410,382,345,578,547,599,761,945,688,"1,139","1,734"
2020년06월_계_70~79세,"9,744",616,397,192,335,347,447,310,263,305,186,309,340,332,343,286,417,439,473,564,674,521,777,871
2020년06월_계_80~89세,"6,051",455,220,176,279,257,309,273,205,227,131,250,264,276,223,187,216,215,218,260,298,253,440,419
2020년06월_계_90~99세,921,76,42,32,43,39,41,48,40,29,16,33,33,47,37,18,39,24,36,29,43,48,63,65
2020년06월_계_100세 이상,41,3,4,0,2,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,1,2,2
2020년06월_남_총인구수,"39,703","1,851","1,307",574,"1,022",918,"1,111",779,832,797,484,785,954,"1,135",936,"1,028","1,351","1,698","1,627","3,000","3,277","2,043","3,714","8,480"
2020년06월_남_연령구간인구수,"39,703","1,851","1,307",574,"1,022",918,"1,111",779,832,797,484,785,954,"1,135",936,"1,028","1,351","1,698","1,627","3,000","3,277","2,043","3,714","8,480"
2020년06월_남_0~9세,"2,742",87,55,23,32,39,34,32,34,34,22,34,39,53,58,45,61,109,87,313,309,128,224,890
2020년06월_남_10~19세,"3,853",98,75,32,60,59,72,37,49,36,19,39,55,94,58,89,120,184,128,298,382,195,342,"1,332"
2020년06월_남_20~29세,"4,230",150,133,43,85,81,72,38,55,75,38,53,78,92,64,78,110,204,207,382,359,270,437,"1,126"
2020년06월_남_30~39세,"3,369",118,73,35,76,46,69,39,61,38,33,36,54,73,60,56,72,149,134,367,313,228,338,901
2020년06월_남_40~49세,"5,635",191,172,77,105,112,153,95,93,74,41,104,109,124,103,133,168,232,246,456,567,265,535,"1,480"
2020년06월_남_50~59세,"7,320",374,271,95,221,174,192,138,173,174,95,149,202,242,182,274,279,314,278,512,522,324,742,"1,393"
2020년06월_남_60~69세,"6,317",415,263,119,212,188,244,179,184,142,111,124,178,229,195,182,287,240,268,360,451,330,575,841
2020년06월_남_70~79세,"4,068",248,180,89,136,125,170,128,117,134,78,148,155,129,138,116,172,179,193,225,262,213,363,370
2020년06월_남_80~89세,"1,948",159,70,52,86,86,98,81,58,80,41,86,76,88,66,53,76,78,75,80,102,80,141,136
2020년06월_남_90~99세,210,10,15,9,9,8,7,11,7,10,6,9,7,11,11,2,6,9,11,6,9,9,17,11
2020년06월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년06월_여_총인구수,"41,348","2,013","1,285",591,"1,058",939,"1,220",862,831,764,479,787,951,"1,161",975,"1,083","1,398","1,886","1,817","3,210","3,510","2,161","3,630","8,737"
2020년06월_여_연령구간인구수,"41,348","2,013","1,285",591,"1,058",939,"1,220",862,831,764,479,787,951,"1,161",975,"1,083","1,398","1,886","1,817","3,210","3,510","2,161","3,630","8,737"
2020년06월_여_0~9세,"2,428",73,39,24,36,29,52,19,31,22,7,36,31,44,42,41,58,88,87,284,293,108,211,773
2020년06월_여_10~19세,"3,611",104,95,22,58,43,57,40,45,28,16,40,40,76,57,93,85,190,141,325,400,144,322,"1,190"
2020년06월_여_20~29세,"3,363",134,83,38,62,45,49,35,44,52,25,48,52,78,48,68,60,166,165,314,261,205,360,971
2020년06월_여_30~39세,"3,258",99,76,27,57,34,52,30,34,41,28,29,46,64,40,44,88,150,132,363,365,192,303,964
2020년06월_여_40~49세,"5,326",164,134,39,78,62,87,50,57,48,22,54,67,106,67,141,137,258,236,493,540,263,501,"1,722"
2020년06월_여_50~59세,"6,493",334,216,83,165,129,164,109,135,101,68,96,140,183,144,212,259,315,276,487,514,371,608,"1,384"
2020년06월_여_60~69세,"6,349",373,244,108,174,172,236,167,159,133,105,134,174,181,187,163,291,307,331,401,494,358,564,893
2020년06월_여_70~79세,"5,676",368,217,103,199,222,277,182,146,171,108,161,185,203,205,170,245,260,280,339,412,308,414,501
