,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년08월_계_총인구수,"54,727","21,331","2,249","2,706","2,806","2,563","2,443","2,852","1,821","3,371","2,549","3,144","1,985","2,253","2,654"
2020년08월_계_연령구간인구수,"54,727","21,331","2,249","2,706","2,806","2,563","2,443","2,852","1,821","3,371","2,549","3,144","1,985","2,253","2,654"
2020년08월_계_0~9세,"2,755","1,840",57,85,89,69,64,87,47,82,73,83,47,61,71
2020년08월_계_10~19세,"4,206","2,598",109,100,209,127,149,117,54,158,112,154,73,114,132
2020년08월_계_20~29세,"4,344","2,380",144,176,167,141,173,148,75,195,160,206,128,134,117
2020년08월_계_30~39세,"3,972","2,173",128,143,138,142,130,144,99,166,163,175,114,123,134
2020년08월_계_40~49세,"6,286","3,206",190,259,248,213,245,239,161,305,261,313,177,215,254
2020년08월_계_50~59세,"9,200","3,439",412,506,468,436,439,457,285,606,502,556,312,375,407
2020년08월_계_60~69세,"9,545","2,739",473,540,533,531,444,638,413,667,519,654,423,437,534
2020년08월_계_70~79세,"8,393","1,802",415,526,596,519,480,604,338,681,465,560,399,438,570
2020년08월_계_80~89세,"5,206",979,276,320,319,338,280,367,310,439,259,383,266,296,374
2020년08월_계_90~99세,785,167,44,50,38,45,38,48,38,66,34,57,46,57,57
2020년08월_계_100세 이상,35,8,1,1,1,2,1,3,1,6,1,3,0,3,4
2020년08월_남_총인구수,"27,019","10,523","1,152","1,373","1,386","1,265","1,177","1,386",896,"1,664","1,294","1,523","1,004","1,088","1,288"
2020년08월_남_연령구간인구수,"27,019","10,523","1,152","1,373","1,386","1,265","1,177","1,386",896,"1,664","1,294","1,523","1,004","1,088","1,288"
2020년08월_남_0~9세,"1,454",960,28,44,46,42,39,48,21,46,44,42,22,34,38
2020년08월_남_10~19세,"2,270","1,393",61,58,127,61,86,52,35,86,54,73,50,54,80
2020년08월_남_20~29세,"2,457","1,310",92,101,99,84,93,81,46,117,91,118,79,73,73
2020년08월_남_30~39세,"2,128","1,068",79,84,78,87,70,86,61,100,98,99,66,68,84
2020년08월_남_40~49세,"3,595","1,631",127,164,156,128,143,162,107,192,180,183,122,137,163
2020년08월_남_50~59세,"5,026","1,709",246,309,260,258,248,262,178,330,278,305,173,215,255
2020년08월_남_60~69세,"4,703","1,299",255,270,260,251,215,310,198,352,268,330,226,222,247
2020년08월_남_70~79세,"3,584",775,185,226,242,235,196,273,143,285,195,233,177,188,231
2020년08월_남_80~89세,"1,660",347,75,107,111,107,78,105,97,140,81,133,82,89,108
2020년08월_남_90~99세,141,31,4,10,7,12,9,7,10,15,5,7,7,8,9
2020년08월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년08월_여_총인구수,"27,708","10,808","1,097","1,333","1,420","1,298","1,266","1,466",925,"1,707","1,255","1,621",981,"1,165","1,366"
2020년08월_여_연령구간인구수,"27,708","10,808","1,097","1,333","1,420","1,298","1,266","1,466",925,"1,707","1,255","1,621",981,"1,165","1,366"
2020년08월_여_0~9세,"1,301",880,29,41,43,27,25,39,26,36,29,41,25,27,33
2020년08월_여_10~19세,"1,936","1,205",48,42,82,66,63,65,19,72,58,81,23,60,52
2020년08월_여_20~29세,"1,887","1,070",52,75,68,57,80,67,29,78,69,88,49,61,44
2020년08월_여_30~39세,"1,844","1,105",49,59,60,55,60,58,38,66,65,76,48,55,50
2020년08월_여_40~49세,"2,691","1,575",63,95,92,85,102,77,54,113,81,130,55,78,91
2020년08월_여_50~59세,"4,174","1,730",166,197,208,178,191,195,107,276,224,251,139,160,152
2020년08월_여_60~69세,"4,842","1,440",218,270,273,280,229,328,215,315,251,324,197,215,287
2020년08월_여_70~79세,"4,809","1,027",230,300,354,284,284,331,195,396,270,327,222,250,339
2020년08월_여_80~89세,"3,546",632,201,213,208,231,202,262,213,299,178,250,184,207,266
2020년08월_여_90~99세,644,136,40,40,31,33,29,41,28,51,29,50,39,49,48
2020년08월_여_100세 이상,34,8,1,1,1,2,1,3,1,5,1,3,0,3,4
