카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년08월_계_총인구수,"306,472","17,173","16,130","20,507","19,627","35,256","23,871","15,433","13,794","22,743","26,662","15,535","29,778","18,150","31,813"
2021년08월_계_연령구간인구수,"306,472","17,173","16,130","20,507","19,627","35,256","23,871","15,433","13,794","22,743","26,662","15,535","29,778","18,150","31,813"
2021년08월_계_0~9세,"19,285","1,171","1,414","1,199",680,"1,583","1,479",728,769,"1,465","1,209","2,083","2,618","1,355","1,532"
2021년08월_계_10~19세,"22,868","1,402","1,023","1,317",951,"2,343","1,852","1,045","1,007","1,721","2,108","1,462","2,383","1,926","2,328"
2021년08월_계_20~29세,"49,429","2,135","2,259","3,409","7,732","7,566","3,086","2,059","1,759","2,816","4,131","1,466","4,245","2,123","4,643"
2021년08월_계_30~39세,"44,423","2,314","2,830","3,322","3,450","5,552","3,333","1,943","1,858","3,028","3,526","2,308","4,475","2,320","4,164"
2021년08월_계_40~49세,"45,791","2,707","2,576","2,973","1,956","4,765","3,640","2,075","1,943","3,327","3,820","3,084","4,863","3,199","4,863"
2021년08월_계_50~59세,"48,561","2,972","2,729","3,283","1,964","5,147","4,045","2,651","2,486","3,903","4,526","2,138","4,413","2,975","5,329"
2021년08월_계_60~69세,"39,454","2,245","1,812","2,753","1,414","4,142","3,358","2,334","2,110","3,412","3,823","1,575","3,480","2,274","4,722"
2021년08월_계_70~79세,"23,463","1,364",971,"1,398",901,"2,622","1,967","1,621","1,205","1,928","2,206",919,"2,169","1,308","2,884"
2021년08월_계_80~89세,"11,545",769,448,717,505,"1,330",988,863,574,"1,004","1,131",439,994,589,"1,194"
2021년08월_계_90~99세,"1,537",89,63,124,69,195,120,90,78,133,152,57,136,79,152
2021년08월_계_100세 이상,116,5,5,12,5,11,3,24,5,6,30,4,2,2,2
2021년08월_남_총인구수,"146,553","8,143","7,722","9,883","8,684","16,943","11,211","7,474","6,509","10,981","12,870","7,475","14,393","8,764","15,501"
2021년08월_남_연령구간인구수,"146,553","8,143","7,722","9,883","8,684","16,943","11,211","7,474","6,509","10,981","12,870","7,475","14,393","8,764","15,501"
2021년08월_남_0~9세,"9,781",584,714,605,353,789,741,366,407,740,602,"1,064","1,315",691,810
2021년08월_남_10~19세,"11,425",704,497,629,425,"1,180",903,567,515,852,"1,082",705,"1,175","1,016","1,175"
2021년08월_남_20~29세,"23,587","1,014","1,036","1,639","2,983","3,815","1,523","1,025",868,"1,426","2,080",709,"2,100","1,032","2,337"
2021년08월_남_30~39세,"21,933","1,129","1,364","1,633","1,721","2,775","1,609","1,021",898,"1,514","1,858","1,011","2,167","1,091","2,142"
2021년08월_남_40~49세,"22,598","1,306","1,323","1,485",940,"2,283","1,742","1,045",938,"1,646","1,869","1,592","2,434","1,588","2,407"
2021년08월_남_50~59세,"23,692","1,488","1,349","1,626",988,"2,472","1,895","1,319","1,172","1,904","2,195","1,064","2,200","1,435","2,585"
2021년08월_남_60~69세,"18,619","1,076",851,"1,345",665,"1,920","1,530","1,090",990,"1,654","1,746",740,"1,665","1,086","2,261"
2021년08월_남_70~79세,"10,015",552,417,619,389,"1,093",846,673,480,832,970,385,922,563,"1,274"
2021년08월_남_80~89세,"4,456",266,153,269,198,544,390,326,219,376,431,186,380,243,475
2021년08월_남_90~99세,412,22,17,30,20,69,32,30,20,37,30,18,34,18,35
2021년08월_남_100세 이상,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021년08월_여_총인구수,"159,919","9,030","8,408","10,624","10,943","18,313","12,660","7,959","7,285","11,762","13,792","8,060","15,385","9,386","16,312"
2021년08월_여_연령구간인구수,"159,919","9,030","8,408","10,624","10,943","18,313","12,660","7,959","7,285","11,762","13,792","8,060","15,385","9,386","16,312"
2021년08월_여_0~9세,"9,504",587,700,594,327,794,738,362,362,725,607,"1,019","1,303",664,722
2021년08월_여_10~19세,"11,443",698,526,688,526,"1,163",949,478,492,869,"1,026",757,"1,208",910,"1,153"
2021년08월_여_20~29세,"25,842","1,121","1,223","1,770","4,749","3,751","1,563","1,034",891,"1,390","2,051",757,"2,145","1,091","2,306"
2021년08월_여_30~39세,"22,490","1,185","1,466","1,689","1,729","2,777","1,724",922,960,"1,514","1,668","1,297","2,308","1,229","2,022"
2021년08월_여_40~49세,"23,193","1,401","1,253","1,488","1,016","2,482","1,898","1,030","1,005","1,681","1,951","1,492","2,429","1,611","2,456"
2021년08월_여_50~59세,"24,869","1,484","1,380","1,657",976,"2,675","2,150","1,332","1,314","1,999","2,331","1,074","2,213","1,540","2,744"
2021년08월_여_60~69세,"20,835","1,169",961,"1,408",749,"2,222","1,828","1,244","1,120","1,758","2,077",835,"1,815","1,188","2,461"
2021년08월_여_70~79세,"13,448",812,554,779,512,"1,529","1,121",948,725,"1,096","1,236",534,"1,247",745,"1,610"
2021년08월_여_80~89세,"7,089",503,295,448,307,786,598,537,355,628,700,253,614,346,719
2021년08월_여_90~99세,"1,125",67,46,94,49,126,88,60,58,96,122,39,102,61,117
2021년08월_여_100세 이상,81,3,4,9,3,8,3,12,3,6,23,3,1,1,2
