카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년08월_계_총인구수,"258,234","48,645","4,648","13,971","51,125","38,700","29,808","25,391","23,498","8,014","3,699","10,735"
2020년08월_계_연령구간인구수,"258,234","48,645","4,648","13,971","51,125","38,700","29,808","25,391","23,498","8,014","3,699","10,735"
2020년08월_계_0~9세,"29,840","3,427",268,879,"6,148","6,426","5,456","2,716","2,553",416,115,"1,436"
2020년08월_계_10~19세,"23,671","4,654",179,"1,514","5,882","3,384","3,335","1,738","1,702",509,125,649
2020년08월_계_20~29세,"29,184","6,470",472,"1,931","5,799","4,024","2,493","2,747","3,207",704,291,"1,046"
2020년08월_계_30~39세,"42,180","5,394",582,"1,434","7,597","8,714","6,489","4,147","4,607",675,284,"2,257"
2020년08월_계_40~49세,"42,943","7,298",566,"2,659","9,495","6,914","5,825","3,602","3,621",977,332,"1,654"
2020년08월_계_50~59세,"40,734","9,844",935,"3,021","7,966","4,945","2,905","4,354","3,222","1,373",831,"1,338"
2020년08월_계_60~69세,"28,938","6,869",874,"1,498","5,010","2,844","2,087","3,594","2,549","1,630",834,"1,149"
2020년08월_계_70~79세,"13,808","3,221",481,656,"2,292","1,067",807,"1,711","1,345","1,013",511,704
2020년08월_계_80~89세,"6,156","1,290",257,336,835,340,360,710,618,611,343,456
2020년08월_계_90~99세,753,168,33,40,101,40,49,72,71,102,32,45
2020년08월_계_100세 이상,27,10,1,3,0,2,2,0,3,4,1,1
2020년08월_남_총인구수,"131,183","24,278","2,527","7,376","25,318","19,806","15,084","12,851","12,263","3,993","1,995","5,692"
2020년08월_남_연령구간인구수,"131,183","24,278","2,527","7,376","25,318","19,806","15,084","12,851","12,263","3,993","1,995","5,692"
2020년08월_남_0~9세,"15,214","1,783",139,433,"3,083","3,274","2,819","1,411","1,286",207,55,724
2020년08월_남_10~19세,"12,419","2,416",89,795,"3,097","1,796","1,720",927,900,274,64,341
2020년08월_남_20~29세,"16,036","3,556",281,"1,163","3,077","2,127","1,327","1,497","1,821",403,181,603
2020년08월_남_30~39세,"21,953","2,840",347,768,"3,741","4,456","3,214","2,168","2,621",342,166,"1,290"
2020년08월_남_40~49세,"22,403","3,517",354,"1,421","4,717","3,724","3,045","1,905","1,997",518,215,990
2020년08월_남_50~59세,"20,308","4,763",517,"1,647","3,805","2,422","1,452","2,135","1,622",735,483,727
2020년08월_남_60~69세,"14,372","3,428",495,788,"2,376","1,409","1,005","1,770","1,258",792,486,565
2020년08월_남_70~79세,"6,308","1,444",215,259,"1,100",499,384,799,561,495,240,312
2020년08월_남_80~89세,"2,006",482,84,98,300,95,101,225,183,203,100,135
2020년08월_남_90~99세,156,44,6,4,22,4,16,14,13,23,5,5
2020년08월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년08월_여_총인구수,"127,051","24,367","2,121","6,595","25,807","18,894","14,724","12,540","11,235","4,021","1,704","5,043"
2020년08월_여_연령구간인구수,"127,051","24,367","2,121","6,595","25,807","18,894","14,724","12,540","11,235","4,021","1,704","5,043"
2020년08월_여_0~9세,"14,626","1,644",129,446,"3,065","3,152","2,637","1,305","1,267",209,60,712
2020년08월_여_10~19세,"11,252","2,238",90,719,"2,785","1,588","1,615",811,802,235,61,308
2020년08월_여_20~29세,"13,148","2,914",191,768,"2,722","1,897","1,166","1,250","1,386",301,110,443
2020년08월_여_30~39세,"20,227","2,554",235,666,"3,856","4,258","3,275","1,979","1,986",333,118,967
2020년08월_여_40~49세,"20,540","3,781",212,"1,238","4,778","3,190","2,780","1,697","1,624",459,117,664
2020년08월_여_50~59세,"20,426","5,081",418,"1,374","4,161","2,523","1,453","2,219","1,600",638,348,611
2020년08월_여_60~69세,"14,566","3,441",379,710,"2,634","1,435","1,082","1,824","1,291",838,348,584
2020년08월_여_70~79세,"7,500","1,777",266,397,"1,192",568,423,912,784,518,271,392
2020년08월_여_80~89세,"4,150",808,173,238,535,245,259,485,435,408,243,321
2020년08월_여_90~99세,597,124,27,36,79,36,33,58,58,79,27,40
2020년08월_여_100세 이상,19,5,1,3,0,2,1,0,2,3,1,1
